,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
25600,58.0,2008-10-08,87,0.0,3.0,42.0,0.0,0.0,0.375,32.0,29.0,0.0,0.3333333333333333,0.45714285714285713,35.0,5.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.65,20.0,13.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
25326,51.0,2008-08-27,66,1.0,3.0,29.0,0.0,0.3333333333333333,0.45714285714285713,35.0,5.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.65,20.0,13.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
25119,47.0,2008-07-29,60,1.0,3.0,5.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.65,20.0,13.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5909090909090909,22.0,13.0,0.0,0.0,0.4,30.0,0.0,0.0
25086,46.0,2008-07-24,64,1.0,3.0,2.0,1.0,1.0,0.65,20.0,13.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5909090909090909,22.0,13.0,0.0,0.0,0.4,30.0,2.0,1.0,0.6,0.5555555555555556,54.0,1.0,0.0
25066,46.0,2008-07-22,64,1.0,3.0,13.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5909090909090909,22.0,13.0,0.0,0.0,0.4,30.0,2.0,1.0,0.6,0.5555555555555556,54.0,4.0,0.0,0.0,0.2,15.0,0.0,1.0
24840,38.0,2008-07-09,59,1.0,0.0,1.0,1.0,1.0,0.5909090909090909,22.0,13.0,0.0,0.0,0.4,30.0,2.0,1.0,0.6,0.5555555555555556,54.0,4.0,0.0,0.0,0.2,15.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
24830,38.0,2008-07-08,59,1.0,0.0,13.0,0.0,0.0,0.4,30.0,2.0,1.0,0.6,0.5555555555555556,54.0,4.0,0.0,0.0,0.2,15.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5833333333333334,12.0,0.0,1.0
24771,37.0,2008-06-25,63,1.0,2.0,2.0,1.0,0.6,0.5555555555555556,54.0,4.0,0.0,0.0,0.2,15.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5833333333333334,12.0,8.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
24701,37.0,2008-06-23,63,1.0,2.0,4.0,0.0,0.0,0.2,15.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5833333333333334,12.0,8.0,0.0,0.0,0.38095238095238093,21.0,13.0,0.0,0.0,0.3333333333333333,27.0,0.0,1.0
24694,36.0,2008-06-19,68,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5833333333333334,12.0,8.0,0.0,0.0,0.38095238095238093,21.0,13.0,0.0,0.0,0.3333333333333333,27.0,29.0,0.0,0.0,0.25,16.0,2.0,0.0
24683,36.0,2008-06-18,68,1.0,2.0,1.0,1.0,1.0,0.5833333333333334,12.0,8.0,0.0,0.0,0.38095238095238093,21.0,13.0,0.0,0.0,0.3333333333333333,27.0,29.0,0.0,0.0,0.25,16.0,28.0,0.0,0.0,0.4,20.0,1.0,1.0
24675,36.0,2008-06-17,68,1.0,2.0,8.0,0.0,0.0,0.38095238095238093,21.0,13.0,0.0,0.0,0.3333333333333333,27.0,29.0,0.0,0.0,0.25,16.0,28.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
24521,32.0,2008-06-09,69,1.0,2.0,13.0,0.0,0.0,0.3333333333333333,27.0,29.0,0.0,0.0,0.25,16.0,28.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.64,25.0,0.0,0.0
24426,31.0,2008-05-27,67,1.0,0.0,29.0,0.0,0.0,0.25,16.0,28.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.64,25.0,10.0,0.0,0.0,0.4,20.0,0.0,0.0
24146,25.0,2008-04-28,64,1.0,0.0,28.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.64,25.0,10.0,0.0,0.0,0.4,20.0,3.0,1.0,0.6666666666666666,0.5454545454545454,33.0,0.0,0.0
23966,20.0,2008-03-31,59,1.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.64,25.0,10.0,0.0,0.0,0.4,20.0,3.0,1.0,0.6666666666666666,0.5454545454545454,33.0,11.0,0.0,0.0,0.4090909090909091,22.0,2.0,0.0
23953,20.0,2008-03-29,59,1.0,3.0,2.0,1.0,0.6666666666666666,0.64,25.0,10.0,0.0,0.0,0.4,20.0,3.0,1.0,0.6666666666666666,0.5454545454545454,33.0,11.0,0.0,0.0,0.4090909090909091,22.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0
23921,20.0,2008-03-27,59,1.0,3.0,10.0,0.0,0.0,0.4,20.0,3.0,1.0,0.6666666666666666,0.5454545454545454,33.0,11.0,0.0,0.0,0.4090909090909091,22.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5384615384615384,26.0,0.0,1.0
23853,19.0,2008-03-17,60,1.0,3.0,3.0,1.0,0.6666666666666666,0.5454545454545454,33.0,11.0,0.0,0.0,0.4090909090909091,22.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5384615384615384,26.0,43.0,0.0,0.25,0.4358974358974359,39.0,1.0,0.0
