,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46563,52.0,2016-09-02,22,1.0,3.0,3.0,1.0,0.6,0.5,48.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.7058823529411765,17.0,5.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
46526,52.0,2016-08-30,22,1.0,3.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.7058823529411765,17.0,5.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,0.0,1.0
46462,51.0,2016-08-25,21,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,5.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
46455,51.0,2016-08-24,21,1.0,3.0,5.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,1.0,0.5909090909090909,22.0,21.0,0.0,0.0,0.4,20.0,0.0,1.0
46417,50.0,2016-08-19,23,1.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,1.0,0.5909090909090909,22.0,21.0,0.0,0.0,0.4,20.0,3.0,0.0,0.0,0.4,20.0,3.0,0.0
46411,50.0,2016-08-18,23,1.0,3.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,1.0,0.5909090909090909,22.0,21.0,0.0,0.0,0.4,20.0,3.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.5384615384615384,26.0,2.0,1.0
46402,50.0,2016-08-17,23,1.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,21.0,0.0,0.0,0.4,20.0,3.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0
46384,50.0,2016-08-16,23,1.0,3.0,21.0,0.0,0.0,0.4,20.0,3.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
46281,47.0,2016-07-26,21,1.0,3.0,3.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.631578947368421,19.0,5.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
46257,46.0,2016-07-23,25,1.0,3.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.631578947368421,19.0,5.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,3.0,0.0
46254,46.0,2016-07-22,25,1.0,3.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.631578947368421,19.0,5.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,9.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0
46245,46.0,2016-07-21,25,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,5.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,9.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,0.75,0.5681818181818182,44.0,1.0,1.0
46233,46.0,2016-07-20,25,1.0,3.0,5.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,9.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,0.75,0.5681818181818182,44.0,2.0,1.0,1.0,0.6551724137931034,29.0,0.0,1.0
46127,42.0,2016-07-15,25,1.0,2.0,2.0,1.0,1.0,0.7058823529411765,17.0,9.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,0.75,0.5681818181818182,44.0,2.0,1.0,1.0,0.6551724137931034,29.0,3.0,1.0,1.0,0.5714285714285714,35.0,1.0,0.0
