,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
34972,27.0,2012-05-01,144,1.0,0.0,7.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.0,0.1,10.0,67.0,0.0,0.0,0.07692307692307693,13.0,2.0,1.0,1.0,0.6666666666666666,18.0,133.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
34872,24.0,2012-04-24,141,1.0,0.0,15.0,0.0,0.0,0.1,10.0,67.0,0.0,0.0,0.07692307692307693,13.0,2.0,1.0,1.0,0.6666666666666666,18.0,133.0,0.0,0.0,0.29411764705882354,17.0,18.0,0.0,0.0,0.2962962962962963,27.0,0.0,0.0
34773,22.0,2012-04-09,123,1.0,0.0,67.0,0.0,0.0,0.07692307692307693,13.0,2.0,1.0,1.0,0.6666666666666666,18.0,133.0,0.0,0.0,0.29411764705882354,17.0,18.0,0.0,0.0,0.2962962962962963,27.0,2.0,1.0,1.0,0.75,8.0,0.0,0.0
34248,8.0,2012-02-02,125,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,18.0,133.0,0.0,0.0,0.29411764705882354,17.0,18.0,0.0,0.0,0.2962962962962963,27.0,2.0,1.0,1.0,0.75,8.0,27.0,0.0,0.0,0.25,16.0,1.0,0.0
34240,8.0,2012-01-31,125,1.0,0.0,133.0,0.0,0.0,0.29411764705882354,17.0,18.0,0.0,0.0,0.2962962962962963,27.0,2.0,1.0,1.0,0.75,8.0,27.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0
33507,52.0,2011-09-20,96,0.0,3.0,18.0,0.0,0.0,0.2962962962962963,27.0,2.0,1.0,1.0,0.75,8.0,27.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.3157894736842105,19.0,3.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
33426,50.0,2011-09-02,104,1.0,3.0,2.0,1.0,1.0,0.75,8.0,27.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.3157894736842105,19.0,3.0,1.0,1.0,0.5909090909090909,22.0,12.0,0.0,0.0,0.07692307692307693,13.0,1.0,0.0
33401,50.0,2011-08-31,104,1.0,3.0,27.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.3157894736842105,19.0,3.0,1.0,1.0,0.5909090909090909,22.0,12.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,0.6666666666666666,0.5,32.0,0.0,1.0
33132,45.0,2011-08-04,97,1.0,0.0,7.0,0.0,0.0,0.3157894736842105,19.0,3.0,1.0,1.0,0.5909090909090909,22.0,12.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,0.6666666666666666,0.5,32.0,503.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
33106,44.0,2011-07-28,101,1.0,0.0,3.0,1.0,1.0,0.5909090909090909,22.0,12.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,0.6666666666666666,0.5,32.0,503.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.2,15.0,1.0,0.0
33088,44.0,2011-07-25,101,1.0,0.0,12.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,0.6666666666666666,0.5,32.0,503.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.2,15.0,204.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
32916,38.0,2011-07-13,101,1.0,0.0,1.0,1.0,0.6666666666666666,0.5,32.0,503.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.2,15.0,204.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
32906,38.0,2011-07-12,101,1.0,0.0,503.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.2,15.0,204.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.29411764705882354,17.0,22.0,0.0,0.0,0.21739130434782608,23.0,0.0,1.0
29142,16.0,2010-02-24,192,1.0,0.0,8.0,0.0,0.0,0.2,15.0,204.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.29411764705882354,17.0,22.0,0.0,0.0,0.21739130434782608,23.0,25.0,0.0,0.25,0.3333333333333333,33.0,0.0,0.0
29049,13.0,2010-02-16,187,1.0,0.0,204.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.29411764705882354,17.0,22.0,0.0,0.0,0.21739130434782608,23.0,25.0,0.0,0.25,0.3333333333333333,33.0,3.0,1.0,0.75,0.5945945945945946,37.0,0.0,0.0
27656,42.0,2009-07-27,125,1.0,0.0,13.0,0.0,0.0,0.29411764705882354,17.0,22.0,0.0,0.0,0.21739130434782608,23.0,25.0,0.0,0.25,0.3333333333333333,33.0,3.0,1.0,0.75,0.5945945945945946,37.0,5.0,0.0,0.0,0.2,15.0,0.0,0.0
27555,39.0,2009-07-14,103,1.0,0.0,22.0,0.0,0.0,0.21739130434782608,23.0,25.0,0.0,0.25,0.3333333333333333,33.0,3.0,1.0,0.75,0.5945945945945946,37.0,5.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
27381,36.0,2009-06-22,85,1.0,2.0,25.0,0.0,0.25,0.3333333333333333,33.0,3.0,1.0,0.75,0.5945945945945946,37.0,5.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,0.0
27170,31.0,2009-05-28,80,1.0,0.0,3.0,1.0,0.75,0.5945945945945946,37.0,5.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.3333333333333333,0.48148148148148145,27.0,14.0,0.0,0.3333333333333333,0.4827586206896552,29.0,1.0,0.0
27118,31.0,2009-05-25,80,1.0,0.0,5.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.3333333333333333,0.48148148148148145,27.0,14.0,0.0,0.3333333333333333,0.4827586206896552,29.0,14.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0
27074,30.0,2009-05-20,79,1.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.3333333333333333,0.48148148148148145,27.0,14.0,0.0,0.3333333333333333,0.4827586206896552,29.0,14.0,0.0,0.0,0.14285714285714285,14.0,10.0,0.0,0.0,0.14285714285714285,14.0,1.0,0.0
27065,30.0,2009-05-19,79,1.0,0.0,14.0,0.0,0.3333333333333333,0.48148148148148145,27.0,14.0,0.0,0.3333333333333333,0.4827586206896552,29.0,14.0,0.0,0.0,0.14285714285714285,14.0,10.0,0.0,0.0,0.14285714285714285,14.0,3.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
26941,27.0,2009-05-05,73,1.0,0.0,14.0,0.0,0.3333333333333333,0.4827586206896552,29.0,14.0,0.0,0.0,0.14285714285714285,14.0,10.0,0.0,0.0,0.14285714285714285,14.0,3.0,1.0,1.0,0.631578947368421,19.0,12.0,0.0,0.0,0.35,20.0,0.0,0.0
26814,24.0,2009-04-21,77,1.0,0.0,14.0,0.0,0.0,0.14285714285714285,14.0,10.0,0.0,0.0,0.14285714285714285,14.0,3.0,1.0,1.0,0.631578947368421,19.0,12.0,0.0,0.0,0.35,20.0,18.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
26723,22.0,2009-04-07,78,1.0,0.0,10.0,0.0,0.0,0.14285714285714285,14.0,3.0,1.0,1.0,0.631578947368421,19.0,12.0,0.0,0.0,0.35,20.0,18.0,0.0,0.0,0.4090909090909091,22.0,4.0,0.0,0.3333333333333333,0.42857142857142855,28.0,0.0,0.0
26633,20.0,2009-03-28,73,1.0,3.0,3.0,1.0,1.0,0.631578947368421,19.0,12.0,0.0,0.0,0.35,20.0,18.0,0.0,0.0,0.4090909090909091,22.0,4.0,0.0,0.3333333333333333,0.42857142857142855,28.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,1.0,0.0
26586,20.0,2009-03-25,73,1.0,3.0,12.0,0.0,0.0,0.35,20.0,18.0,0.0,0.0,0.4090909090909091,22.0,4.0,0.0,0.3333333333333333,0.42857142857142855,28.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,8.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0
26516,19.0,2009-03-13,68,1.0,3.0,18.0,0.0,0.0,0.4090909090909091,22.0,4.0,0.0,0.3333333333333333,0.42857142857142855,28.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,8.0,0.0,0.0,0.3157894736842105,19.0,6.0,0.0,0.3333333333333333,0.35714285714285715,28.0,0.0,0.0
