,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
11539,64.0,2003-10-23,41,0.0,3.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,8.0,0.0,0.0,0.3333333333333333,9.0,7.0,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.3333333333333333,0.5,28.0,2.0,1.0,1.0,0.6842105263157895,19.0,1.0,0.0
11532,64.0,2003-10-22,41,0.0,3.0,8.0,0.0,0.0,0.3333333333333333,9.0,7.0,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.3333333333333333,0.5,28.0,2.0,1.0,1.0,0.6842105263157895,19.0,30.0,0.0,0.0,0.40625,32.0,0.0,1.0
11452,62.0,2003-10-14,40,0.0,3.0,7.0,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.3333333333333333,0.5,28.0,2.0,1.0,1.0,0.6842105263157895,19.0,30.0,0.0,0.0,0.40625,32.0,3.0,1.0,0.75,0.6111111111111112,36.0,0.0,0.0
11384,60.0,2003-10-07,39,0.0,1.0,5.0,0.0,0.3333333333333333,0.5,28.0,2.0,1.0,1.0,0.6842105263157895,19.0,30.0,0.0,0.0,0.40625,32.0,3.0,1.0,0.75,0.6111111111111112,36.0,2.0,1.0,0.75,0.5789473684210527,38.0,0.0,0.0
11316,58.0,2003-10-02,29,0.0,1.0,2.0,1.0,1.0,0.6842105263157895,19.0,30.0,0.0,0.0,0.40625,32.0,3.0,1.0,0.75,0.6111111111111112,36.0,2.0,1.0,0.75,0.5789473684210527,38.0,13.0,0.0,0.0,0.26666666666666666,15.0,1.0,0.0
11308,58.0,2003-09-30,29,0.0,1.0,30.0,0.0,0.0,0.40625,32.0,3.0,1.0,0.75,0.6111111111111112,36.0,2.0,1.0,0.75,0.5789473684210527,38.0,13.0,0.0,0.0,0.26666666666666666,15.0,1.0,1.0,1.0,0.6,20.0,0.0,1.0
11091,51.0,2003-08-31,28,1.0,3.0,3.0,1.0,0.75,0.6111111111111112,36.0,2.0,1.0,0.75,0.5789473684210527,38.0,13.0,0.0,0.0,0.26666666666666666,15.0,1.0,1.0,1.0,0.6,20.0,5.0,0.0,0.0,0.29411764705882354,17.0,2.0,0.0
11056,51.0,2003-08-28,28,1.0,3.0,2.0,1.0,0.75,0.5789473684210527,38.0,13.0,0.0,0.0,0.26666666666666666,15.0,1.0,1.0,1.0,0.6,20.0,5.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.52,25.0,1.0,1.0
11014,51.0,2003-08-26,28,1.0,3.0,13.0,0.0,0.0,0.26666666666666666,15.0,1.0,1.0,1.0,0.6,20.0,5.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.52,25.0,5.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,1.0
10927,49.0,2003-08-13,25,1.0,3.0,1.0,1.0,1.0,0.6,20.0,5.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.52,25.0,5.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.5384615384615384,26.0,1.0,0.0
10917,49.0,2003-08-12,25,1.0,3.0,5.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.52,25.0,5.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.5384615384615384,26.0,6.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
