,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46357,49.0,2016-08-11,144,1.0,3.0,1.0,1.0,0.6666666666666666,0.6363636363636364,22.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5384615384615384,26.0,70.0,0.0,0.25,0.4358974358974359,39.0,138.0,0.0,0.0,0.2,15.0,1.0,0.0
46344,49.0,2016-08-10,144,1.0,3.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5384615384615384,26.0,70.0,0.0,0.25,0.4358974358974359,39.0,138.0,0.0,0.0,0.2,15.0,3.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
46332,48.0,2016-08-04,127,1.0,3.0,2.0,1.0,1.0,0.5384615384615384,26.0,70.0,0.0,0.25,0.4358974358974359,39.0,138.0,0.0,0.0,0.2,15.0,3.0,1.0,1.0,0.6666666666666666,18.0,272.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
46324,48.0,2016-08-02,127,1.0,3.0,70.0,0.0,0.25,0.4358974358974359,39.0,138.0,0.0,0.0,0.2,15.0,3.0,1.0,1.0,0.6666666666666666,18.0,272.0,0.0,0.0,0.3684210526315789,19.0,42.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
45675,33.0,2016-05-24,155,1.0,0.0,138.0,0.0,0.0,0.2,15.0,3.0,1.0,1.0,0.6666666666666666,18.0,272.0,0.0,0.0,0.3684210526315789,19.0,42.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
44421,1.0,2016-01-07,277,1.0,3.0,3.0,1.0,1.0,0.6666666666666666,18.0,272.0,0.0,0.0,0.3684210526315789,19.0,42.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.0,0.3157894736842105,19.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,0.0
44404,1.0,2016-01-04,277,1.0,3.0,272.0,0.0,0.0,0.3684210526315789,19.0,42.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.0,0.3157894736842105,19.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,0.0,1.0
42577,21.0,2015-04-07,114,1.0,0.0,42.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.0,0.3157894736842105,19.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,14.0,0.0,0.25,0.40476190476190477,42.0,0.0,0.0
42295,16.0,2015-02-24,97,1.0,3.0,14.0,0.0,0.0,0.3157894736842105,19.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,14.0,0.0,0.25,0.40476190476190477,42.0,95.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
42156,11.0,2015-02-10,99,0.0,3.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,14.0,0.0,0.25,0.40476190476190477,42.0,95.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,0.0
42050,7.0,2015-02-04,98,0.0,3.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,14.0,0.0,0.25,0.40476190476190477,42.0,95.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,27.0,0.0,0.0,0.25,16.0,1.0,0.0
42038,7.0,2015-02-02,98,0.0,3.0,14.0,0.0,0.25,0.40476190476190477,42.0,95.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,27.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
41927,6.0,2015-01-19,95,1.0,3.0,95.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,27.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,22.0,0.0,0.0,0.40625,32.0,0.0,0.0
41639,60.0,2014-10-16,93,0.0,3.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,27.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,22.0,0.0,0.0,0.40625,32.0,21.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
41630,60.0,2014-10-15,93,0.0,3.0,27.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,22.0,0.0,0.0,0.40625,32.0,21.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.3333333333333333,0.45161290322580644,31.0,0.0,1.0
