,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
27396,36.0,2009-06-23,110,1.0,2.0,120.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.3333333333333333,0.4666666666666667,30.0,6.0,0.0,0.3333333333333333,0.42424242424242425,33.0,13.0,0.0,0.0,0.28,25.0,2.0,1.0,0.6,0.5116279069767442,43.0,0.0,0.0
26432,17.0,2009-02-23,120,1.0,3.0,13.0,0.0,0.3333333333333333,0.4666666666666667,30.0,6.0,0.0,0.3333333333333333,0.42424242424242425,33.0,13.0,0.0,0.0,0.28,25.0,2.0,1.0,0.6,0.5116279069767442,43.0,14.0,0.0,0.0,0.07692307692307693,13.0,0.0,0.0
26280,12.0,2009-02-10,89,0.0,3.0,6.0,0.0,0.3333333333333333,0.42424242424242425,33.0,13.0,0.0,0.0,0.28,25.0,2.0,1.0,0.6,0.5116279069767442,43.0,14.0,0.0,0.0,0.07692307692307693,13.0,92.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,0.0
26196,9.0,2009-02-04,88,0.0,1.0,13.0,0.0,0.0,0.28,25.0,2.0,1.0,0.6,0.5116279069767442,43.0,14.0,0.0,0.0,0.07692307692307693,13.0,92.0,0.0,0.3333333333333333,0.48484848484848486,33.0,5.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
26085,6.0,2009-01-22,92,1.0,3.0,2.0,1.0,0.6,0.5116279069767442,43.0,14.0,0.0,0.0,0.07692307692307693,13.0,92.0,0.0,0.3333333333333333,0.48484848484848486,33.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,1.0,0.0
26057,6.0,2009-01-20,92,1.0,3.0,14.0,0.0,0.0,0.07692307692307693,13.0,92.0,0.0,0.3333333333333333,0.48484848484848486,33.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,6.0,0.0,0.3333333333333333,0.5454545454545454,33.0,0.0,1.0
25887,2.0,2009-01-06,89,1.0,3.0,92.0,0.0,0.3333333333333333,0.48484848484848486,33.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,6.0,0.0,0.3333333333333333,0.5454545454545454,33.0,27.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
25618,59.0,2008-10-06,103,0.0,3.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,6.0,0.0,0.3333333333333333,0.5454545454545454,33.0,27.0,0.0,0.0,0.3157894736842105,19.0,3.0,1.0,0.75,0.5609756097560976,41.0,0.0,0.0
25527,56.0,2008-10-01,105,1.0,3.0,1.0,1.0,1.0,0.75,16.0,6.0,0.0,0.3333333333333333,0.5454545454545454,33.0,27.0,0.0,0.0,0.3157894736842105,19.0,3.0,1.0,0.75,0.5609756097560976,41.0,38.0,0.0,0.3333333333333333,0.5,30.0,1.0,0.0
25511,56.0,2008-09-30,105,1.0,3.0,6.0,0.0,0.3333333333333333,0.5454545454545454,33.0,27.0,0.0,0.0,0.3157894736842105,19.0,3.0,1.0,0.75,0.5609756097560976,41.0,38.0,0.0,0.3333333333333333,0.5,30.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
