,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46589,52.0,2016-09-05,23,1.0,3.0,1.0,1.0,1.0,0.59375,32.0,2.0,1.0,1.0,0.5757575757575758,33.0,3.0,1.0,0.6,0.5081967213114754,61.0,13.0,0.0,0.0,0.4,20.0,3.0,1.0,1.0,0.6190476190476191,21.0,3.0,0.0
46581,52.0,2016-09-04,23,1.0,3.0,2.0,1.0,1.0,0.5757575757575758,33.0,3.0,1.0,0.6,0.5081967213114754,61.0,13.0,0.0,0.0,0.4,20.0,3.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.7,10.0,2.0,1.0
46566,52.0,2016-09-02,23,1.0,3.0,3.0,1.0,0.6,0.5081967213114754,61.0,13.0,0.0,0.0,0.4,20.0,3.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.7,10.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0
46523,52.0,2016-08-30,23,1.0,3.0,13.0,0.0,0.0,0.4,20.0,3.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.7,10.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,1.0
46392,50.0,2016-08-17,20,1.0,3.0,3.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.7,10.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,14.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
46368,49.0,2016-08-14,24,1.0,3.0,1.0,1.0,1.0,0.7,10.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,14.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5652173913043478,23.0,3.0,1.0
46366,49.0,2016-08-13,24,1.0,3.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,14.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,2.0,1.0
46364,49.0,2016-08-12,24,1.0,3.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,14.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,2.0,0.0,0.3333333333333333,0.4857142857142857,35.0,1.0,1.0
46360,49.0,2016-08-11,24,1.0,3.0,14.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,2.0,0.0,0.3333333333333333,0.4857142857142857,35.0,1.0,1.0,1.0,0.6,20.0,0.0,1.0
46304,47.0,2016-07-28,27,1.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,2.0,0.0,0.3333333333333333,0.4857142857142857,35.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.5384615384615384,26.0,2.0,0.0
