,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
43560,45.0,2015-07-28,131,1.0,0.0,5.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5,30.0,8.0,0.0,0.3333333333333333,0.4074074074074074,27.0,12.0,0.0,0.25,0.29411764705882354,34.0,2.0,1.0,1.0,0.5714285714285714,35.0,0.0,0.0
43518,43.0,2015-07-23,132,1.0,0.0,1.0,1.0,0.6666666666666666,0.5,30.0,8.0,0.0,0.3333333333333333,0.4074074074074074,27.0,12.0,0.0,0.25,0.29411764705882354,34.0,2.0,1.0,1.0,0.5714285714285714,35.0,22.0,0.0,0.0,0.35,20.0,1.0,0.0
43513,43.0,2015-07-22,132,1.0,0.0,8.0,0.0,0.3333333333333333,0.4074074074074074,27.0,12.0,0.0,0.25,0.29411764705882354,34.0,2.0,1.0,1.0,0.5714285714285714,35.0,22.0,0.0,0.0,0.35,20.0,13.0,0.0,0.25,0.358974358974359,39.0,0.0,1.0
43431,40.0,2015-07-14,130,1.0,2.0,12.0,0.0,0.25,0.29411764705882354,34.0,2.0,1.0,1.0,0.5714285714285714,35.0,22.0,0.0,0.0,0.35,20.0,13.0,0.0,0.25,0.358974358974359,39.0,28.0,0.0,0.0,0.2,15.0,0.0,0.0
43374,39.0,2015-07-02,107,1.0,2.0,2.0,1.0,1.0,0.5714285714285714,35.0,22.0,0.0,0.0,0.35,20.0,13.0,0.0,0.25,0.358974358974359,39.0,28.0,0.0,0.0,0.2,15.0,84.0,0.0,0.3333333333333333,0.5,26.0,1.0,0.0
43338,39.0,2015-06-30,107,1.0,2.0,22.0,0.0,0.0,0.35,20.0,13.0,0.0,0.25,0.358974358974359,39.0,28.0,0.0,0.0,0.2,15.0,84.0,0.0,0.3333333333333333,0.5,26.0,15.0,0.0,0.4,0.46,50.0,0.0,1.0
43128,34.0,2015-06-08,77,1.0,2.0,13.0,0.0,0.25,0.358974358974359,39.0,28.0,0.0,0.0,0.2,15.0,84.0,0.0,0.3333333333333333,0.5,26.0,15.0,0.0,0.4,0.46,50.0,12.0,0.0,0.0,0.2,15.0,0.0,0.0
43048,33.0,2015-05-26,79,1.0,0.0,28.0,0.0,0.0,0.2,15.0,84.0,0.0,0.3333333333333333,0.5,26.0,15.0,0.0,0.4,0.46,50.0,12.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
42786,27.0,2015-04-28,77,1.0,0.0,84.0,0.0,0.3333333333333333,0.5,26.0,15.0,0.0,0.4,0.46,50.0,12.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.5652173913043478,23.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0
42097,9.0,2015-02-03,107,0.0,3.0,15.0,0.0,0.4,0.46,50.0,12.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.5652173913043478,23.0,128.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.6333333333333333,30.0,0.0,0.0
41923,6.0,2015-01-19,102,1.0,3.0,12.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.5652173913043478,23.0,128.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.6333333333333333,30.0,2.0,1.0,1.0,0.59375,32.0,0.0,0.0
41848,3.0,2015-01-07,99,1.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,128.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.6333333333333333,30.0,2.0,1.0,1.0,0.59375,32.0,8.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
41834,3.0,2015-01-06,99,1.0,3.0,128.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.6333333333333333,30.0,2.0,1.0,1.0,0.59375,32.0,8.0,0.0,0.0,0.29411764705882354,17.0,18.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
41344,51.0,2014-08-31,92,1.0,3.0,4.0,1.0,1.0,0.6333333333333333,30.0,2.0,1.0,1.0,0.59375,32.0,8.0,0.0,0.0,0.29411764705882354,17.0,18.0,0.0,0.0,0.4090909090909091,22.0,161.0,0.0,0.0,0.3333333333333333,18.0,2.0,0.0
41306,51.0,2014-08-27,92,1.0,3.0,2.0,1.0,1.0,0.59375,32.0,8.0,0.0,0.0,0.29411764705882354,17.0,18.0,0.0,0.0,0.4090909090909091,22.0,161.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0
41259,51.0,2014-08-25,92,1.0,3.0,8.0,0.0,0.0,0.29411764705882354,17.0,18.0,0.0,0.0,0.4090909090909091,22.0,161.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6666666666666666,18.0,12.0,0.0,0.3333333333333333,0.4375,32.0,0.0,1.0
41196,50.0,2014-08-17,93,1.0,3.0,18.0,0.0,0.0,0.4090909090909091,22.0,161.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6666666666666666,18.0,12.0,0.0,0.3333333333333333,0.4375,32.0,20.0,0.0,0.0,0.32142857142857145,28.0,0.0,0.0
41053,47.0,2014-07-30,82,1.0,3.0,161.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6666666666666666,18.0,12.0,0.0,0.3333333333333333,0.4375,32.0,20.0,0.0,0.0,0.32142857142857145,28.0,2.0,1.0,0.3333333333333333,0.5625,32.0,0.0,0.0
39652,14.0,2014-02-19,116,0.0,3.0,2.0,1.0,1.0,0.6666666666666666,18.0,12.0,0.0,0.3333333333333333,0.4375,32.0,20.0,0.0,0.0,0.32142857142857145,28.0,2.0,1.0,0.3333333333333333,0.5625,32.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,0.0
39639,14.0,2014-02-17,116,0.0,3.0,12.0,0.0,0.3333333333333333,0.4375,32.0,20.0,0.0,0.0,0.32142857142857145,28.0,2.0,1.0,0.3333333333333333,0.5625,32.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
39503,9.0,2014-02-05,112,0.0,3.0,20.0,0.0,0.0,0.32142857142857145,28.0,2.0,1.0,0.3333333333333333,0.5625,32.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.631578947368421,19.0,167.0,0.0,0.0,0.25,16.0,0.0,0.0
39396,6.0,2014-01-16,99,1.0,3.0,2.0,1.0,0.3333333333333333,0.5625,32.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.631578947368421,19.0,167.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.6129032258064516,31.0,1.0,0.0
39356,6.0,2014-01-14,99,1.0,3.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.631578947368421,19.0,167.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.6129032258064516,31.0,6.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,1.0
39301,5.0,2014-01-08,102,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,167.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.6129032258064516,31.0,6.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,1.0,0.0
39292,5.0,2014-01-07,102,1.0,3.0,167.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.6129032258064516,31.0,6.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,6.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
38367,45.0,2013-07-24,127,1.0,0.0,1.0,1.0,0.6666666666666666,0.6129032258064516,31.0,6.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
38361,45.0,2013-07-23,127,1.0,0.0,6.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.3076923076923077,26.0,0.0,1.0
38278,42.0,2013-07-17,135,1.0,0.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.3076923076923077,26.0,27.0,0.0,0.4,0.43137254901960786,51.0,1.0,0.0
38262,42.0,2013-07-16,135,1.0,0.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.3076923076923077,26.0,27.0,0.0,0.4,0.43137254901960786,51.0,3.0,1.0,1.0,0.75,24.0,0.0,1.0
38152,38.0,2013-07-10,133,1.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.3076923076923077,26.0,27.0,0.0,0.4,0.43137254901960786,51.0,3.0,1.0,1.0,0.75,24.0,7.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
38146,38.0,2013-07-09,133,1.0,0.0,14.0,0.0,0.0,0.3076923076923077,26.0,27.0,0.0,0.4,0.43137254901960786,51.0,3.0,1.0,1.0,0.75,24.0,7.0,0.0,0.0,0.4090909090909091,22.0,25.0,0.0,0.0,0.25,16.0,0.0,1.0
38045,37.0,2013-06-25,132,1.0,2.0,27.0,0.0,0.4,0.43137254901960786,51.0,3.0,1.0,1.0,0.75,24.0,7.0,0.0,0.0,0.4090909090909091,22.0,25.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.8,15.0,0.0,0.0
37816,32.0,2013-05-29,104,1.0,0.0,3.0,1.0,1.0,0.75,24.0,7.0,0.0,0.0,0.4090909090909091,22.0,25.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.8,15.0,13.0,0.0,0.3333333333333333,0.36,25.0,1.0,0.0
37746,32.0,2013-05-26,104,1.0,0.0,7.0,0.0,0.0,0.4090909090909091,22.0,25.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.8,15.0,13.0,0.0,0.3333333333333333,0.36,25.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
37692,30.0,2013-05-19,105,1.0,0.0,25.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.8,15.0,13.0,0.0,0.3333333333333333,0.36,25.0,2.0,1.0,1.0,0.6666666666666666,18.0,19.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
37481,24.0,2013-04-24,84,1.0,0.0,1.0,1.0,1.0,0.8,15.0,13.0,0.0,0.3333333333333333,0.36,25.0,2.0,1.0,1.0,0.6666666666666666,18.0,19.0,0.0,0.0,0.4090909090909091,22.0,23.0,0.0,0.3333333333333333,0.43478260869565216,23.0,1.0,0.0
37468,24.0,2013-04-23,84,1.0,0.0,13.0,0.0,0.3333333333333333,0.36,25.0,2.0,1.0,1.0,0.6666666666666666,18.0,19.0,0.0,0.0,0.4090909090909091,22.0,23.0,0.0,0.3333333333333333,0.43478260869565216,23.0,13.0,0.0,0.3333333333333333,0.5,32.0,0.0,1.0
37358,21.0,2013-04-10,85,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,18.0,19.0,0.0,0.0,0.4090909090909091,22.0,23.0,0.0,0.3333333333333333,0.43478260869565216,23.0,13.0,0.0,0.3333333333333333,0.5,32.0,4.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
37345,21.0,2013-04-08,85,1.0,0.0,19.0,0.0,0.0,0.4090909090909091,22.0,23.0,0.0,0.3333333333333333,0.43478260869565216,23.0,13.0,0.0,0.3333333333333333,0.5,32.0,4.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5,32.0,0.0,1.0
37253,20.0,2013-03-20,82,1.0,3.0,23.0,0.0,0.3333333333333333,0.43478260869565216,23.0,13.0,0.0,0.3333333333333333,0.5,32.0,4.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5,32.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,0.0,0.0
37128,18.0,2013-02-25,78,1.0,3.0,13.0,0.0,0.3333333333333333,0.5,32.0,4.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5,32.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,17.0,0.0,0.0,0.28,25.0,0.0,0.0
36922,11.0,2013-02-12,79,0.0,3.0,4.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5,32.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,17.0,0.0,0.0,0.28,25.0,2.0,1.0,0.6,0.5254237288135594,59.0,0.0,0.0
36884,9.0,2013-02-08,83,0.0,3.0,1.0,1.0,0.6666666666666666,0.5,32.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,17.0,0.0,0.0,0.28,25.0,2.0,1.0,0.6,0.5254237288135594,59.0,2.0,1.0,1.0,0.72,25.0,2.0,0.0
36876,9.0,2013-02-07,83,0.0,3.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,17.0,0.0,0.0,0.28,25.0,2.0,1.0,0.6,0.5254237288135594,59.0,2.0,1.0,1.0,0.72,25.0,14.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0
36864,9.0,2013-02-05,83,0.0,3.0,17.0,0.0,0.0,0.28,25.0,2.0,1.0,0.6,0.5254237288135594,59.0,2.0,1.0,1.0,0.72,25.0,14.0,0.0,0.0,0.38095238095238093,21.0,127.0,0.0,0.25,0.4634146341463415,41.0,0.0,1.0
36788,6.0,2013-01-19,93,1.0,3.0,2.0,1.0,0.6,0.5254237288135594,59.0,2.0,1.0,1.0,0.72,25.0,14.0,0.0,0.0,0.38095238095238093,21.0,127.0,0.0,0.25,0.4634146341463415,41.0,35.0,0.0,0.0,0.2,15.0,2.0,0.0
36764,6.0,2013-01-17,93,1.0,3.0,2.0,1.0,1.0,0.72,25.0,14.0,0.0,0.0,0.38095238095238093,21.0,127.0,0.0,0.25,0.4634146341463415,41.0,35.0,0.0,0.0,0.2,15.0,6.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0
36713,6.0,2013-01-15,93,1.0,3.0,14.0,0.0,0.0,0.38095238095238093,21.0,127.0,0.0,0.25,0.4634146341463415,41.0,35.0,0.0,0.0,0.2,15.0,6.0,0.0,0.0,0.14285714285714285,14.0,6.0,0.0,0.3333333333333333,0.5,34.0,0.0,1.0
36575,2.0,2013-01-01,94,1.0,3.0,127.0,0.0,0.25,0.4634146341463415,41.0,35.0,0.0,0.0,0.2,15.0,6.0,0.0,0.0,0.14285714285714285,14.0,6.0,0.0,0.3333333333333333,0.5,34.0,1.0,1.0,1.0,0.75,16.0,0.0,0.0
35990,51.0,2012-08-27,77,1.0,3.0,35.0,0.0,0.0,0.2,15.0,6.0,0.0,0.0,0.14285714285714285,14.0,6.0,0.0,0.3333333333333333,0.5,34.0,1.0,1.0,1.0,0.75,16.0,15.0,0.0,0.0,0.35714285714285715,28.0,0.0,0.0
35748,45.0,2012-07-23,77,1.0,0.0,6.0,0.0,0.0,0.14285714285714285,14.0,6.0,0.0,0.3333333333333333,0.5,34.0,1.0,1.0,1.0,0.75,16.0,15.0,0.0,0.0,0.35714285714285715,28.0,26.0,0.0,0.0,0.3076923076923077,26.0,0.0,0.0
35696,43.0,2012-07-17,77,1.0,0.0,6.0,0.0,0.3333333333333333,0.5,34.0,1.0,1.0,1.0,0.75,16.0,15.0,0.0,0.0,0.35714285714285715,28.0,26.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.75,0.5681818181818182,44.0,0.0,0.0
35648,41.0,2012-07-11,71,1.0,0.0,1.0,1.0,1.0,0.75,16.0,15.0,0.0,0.0,0.35714285714285715,28.0,26.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.75,0.5681818181818182,44.0,14.0,0.0,0.0,0.25,16.0,1.0,0.0
