,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
34434,15.0,2012-02-21,546,0.0,3.0,253.0,0.0,0.0,0.38095238095238093,21.0,22.0,0.0,0.25,0.39473684210526316,38.0,27.0,0.0,0.0,0.4,20.0,6.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.2,15.0,0.0,0.0
32720,35.0,2011-06-13,95,1.0,2.0,22.0,0.0,0.25,0.39473684210526316,38.0,27.0,0.0,0.0,0.4,20.0,6.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.2,15.0,13.0,0.0,0.0,0.4444444444444444,9.0,0.0,0.0
32474,31.0,2011-05-22,87,1.0,0.0,27.0,0.0,0.0,0.4,20.0,6.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.2,15.0,13.0,0.0,0.0,0.4444444444444444,9.0,33.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,0.0
32304,27.0,2011-04-25,84,1.0,0.0,6.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.2,15.0,13.0,0.0,0.0,0.4444444444444444,9.0,33.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
32209,24.0,2011-04-19,84,1.0,0.0,14.0,0.0,0.0,0.2,15.0,13.0,0.0,0.0,0.4444444444444444,9.0,33.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,0.0,0.0
32114,22.0,2011-04-05,80,1.0,0.0,13.0,0.0,0.0,0.4444444444444444,9.0,33.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,3.0,0.0,0.3333333333333333,0.43333333333333335,30.0,0.0,0.0
32002,20.0,2011-03-23,82,1.0,3.0,33.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,3.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,0.0,0.0
31793,15.0,2011-02-18,110,0.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,3.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,35.0,0.0,0.0,0.25,16.0,2.0,0.0
31786,15.0,2011-02-16,110,0.0,3.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,3.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,35.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0
31769,15.0,2011-02-14,110,0.0,3.0,3.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,35.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,126.0,0.0,0.4,0.47058823529411764,51.0,0.0,1.0
