,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
11241,56.0,2003-09-23,167,1.0,3.0,27.0,0.0,0.0,0.4117647058823529,34.0,28.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,0.6666666666666666,0.5,32.0,7.0,0.0,0.3333333333333333,0.5,26.0,12.0,0.0,0.3333333333333333,0.39285714285714285,28.0,0.0,0.0
11036,51.0,2003-08-27,173,1.0,3.0,28.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,0.6666666666666666,0.5,32.0,7.0,0.0,0.3333333333333333,0.5,26.0,12.0,0.0,0.3333333333333333,0.39285714285714285,28.0,2.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
10804,47.0,2003-07-30,156,1.0,3.0,1.0,1.0,0.6666666666666666,0.5,32.0,7.0,0.0,0.3333333333333333,0.5,26.0,12.0,0.0,0.3333333333333333,0.39285714285714285,28.0,2.0,1.0,1.0,0.6190476190476191,21.0,43.0,0.0,0.4,0.4489795918367347,49.0,1.0,0.0
10790,47.0,2003-07-29,156,1.0,3.0,7.0,0.0,0.3333333333333333,0.5,26.0,12.0,0.0,0.3333333333333333,0.39285714285714285,28.0,2.0,1.0,1.0,0.6190476190476191,21.0,43.0,0.0,0.4,0.4489795918367347,49.0,83.0,0.0,0.0,0.4,20.0,0.0,1.0
10609,42.0,2003-07-22,154,1.0,3.0,12.0,0.0,0.3333333333333333,0.39285714285714285,28.0,2.0,1.0,1.0,0.6190476190476191,21.0,43.0,0.0,0.4,0.4489795918367347,49.0,83.0,0.0,0.0,0.4,20.0,22.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
10505,39.0,2003-07-10,153,1.0,2.0,2.0,1.0,1.0,0.6190476190476191,21.0,43.0,0.0,0.4,0.4489795918367347,49.0,83.0,0.0,0.0,0.4,20.0,22.0,0.0,0.0,0.29411764705882354,17.0,28.0,0.0,0.25,0.4358974358974359,39.0,1.0,0.0
10495,39.0,2003-07-08,153,1.0,2.0,43.0,0.0,0.4,0.4489795918367347,49.0,83.0,0.0,0.0,0.4,20.0,22.0,0.0,0.0,0.29411764705882354,17.0,28.0,0.0,0.25,0.4358974358974359,39.0,12.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
10044,31.0,2003-05-26,172,1.0,0.0,83.0,0.0,0.0,0.4,20.0,22.0,0.0,0.0,0.29411764705882354,17.0,28.0,0.0,0.25,0.4358974358974359,39.0,12.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5384615384615384,26.0,0.0,0.0
9381,17.0,2003-03-04,146,1.0,3.0,22.0,0.0,0.0,0.29411764705882354,17.0,28.0,0.0,0.25,0.4358974358974359,39.0,12.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5384615384615384,26.0,91.0,0.0,0.0,0.4,20.0,0.0,0.0
9156,10.0,2003-02-10,150,1.0,0.0,28.0,0.0,0.25,0.4358974358974359,39.0,12.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5384615384615384,26.0,91.0,0.0,0.0,0.4,20.0,21.0,0.0,0.5,0.4166666666666667,24.0,0.0,0.0
