,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
30448,45.0,2010-08-02,151,1.0,3.0,27.0,0.0,0.0,0.3684210526315789,19.0,180.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.75,16.0,70.0,0.0,0.0,0.46153846153846156,26.0,26.0,0.0,0.0,0.25,16.0,0.0,0.0
30201,37.0,2010-07-06,147,1.0,2.0,180.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.75,16.0,70.0,0.0,0.0,0.46153846153846156,26.0,26.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6,20.0,0.0,0.0
28631,2.0,2010-01-07,117,1.0,3.0,2.0,1.0,1.0,0.75,16.0,70.0,0.0,0.0,0.46153846153846156,26.0,26.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6,20.0,27.0,0.0,0.25,0.4444444444444444,45.0,1.0,0.0
28625,2.0,2010-01-05,117,1.0,3.0,70.0,0.0,0.0,0.46153846153846156,26.0,26.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6,20.0,27.0,0.0,0.25,0.4444444444444444,45.0,2.0,1.0,0.75,0.5806451612903226,31.0,0.0,1.0
28373,58.0,2009-10-27,87,0.0,3.0,26.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6,20.0,27.0,0.0,0.25,0.4444444444444444,45.0,2.0,1.0,0.75,0.5806451612903226,31.0,7.0,0.0,0.0,0.25,16.0,0.0,0.0
28144,51.0,2009-10-01,105,0.0,3.0,1.0,1.0,1.0,0.6,20.0,27.0,0.0,0.25,0.4444444444444444,45.0,2.0,1.0,0.75,0.5806451612903226,31.0,7.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,1.0,0.0
28140,51.0,2009-09-30,105,0.0,3.0,27.0,0.0,0.25,0.4444444444444444,45.0,2.0,1.0,0.75,0.5806451612903226,31.0,7.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,22.0,0.0,0.3333333333333333,0.4666666666666667,30.0,0.0,1.0
28014,49.0,2009-09-03,100,1.0,3.0,2.0,1.0,0.75,0.5806451612903226,31.0,7.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,22.0,0.0,0.3333333333333333,0.4666666666666667,30.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
27987,49.0,2009-09-01,100,1.0,3.0,7.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,22.0,0.0,0.3333333333333333,0.4666666666666667,30.0,6.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.5,28.0,0.0,1.0
27915,48.0,2009-08-25,100,1.0,3.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,22.0,0.0,0.3333333333333333,0.4666666666666667,30.0,6.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.5,28.0,10.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
