,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
41261,51.0,2014-08-25,117,1.0,3.0,5.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.48148148148148145,27.0,55.0,0.0,0.25,0.40476190476190477,42.0,8.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.3333333333333333,0.35714285714285715,28.0,0.0,0.0
41226,50.0,2014-08-20,117,1.0,3.0,2.0,1.0,0.6666666666666666,0.48148148148148145,27.0,55.0,0.0,0.25,0.40476190476190477,42.0,8.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.3333333333333333,0.35714285714285715,28.0,14.0,0.0,0.4,0.40816326530612246,49.0,1.0,0.0
41199,50.0,2014-08-18,117,1.0,3.0,55.0,0.0,0.25,0.40476190476190477,42.0,8.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.3333333333333333,0.35714285714285715,28.0,14.0,0.0,0.4,0.40816326530612246,49.0,68.0,0.0,0.3333333333333333,0.4583333333333333,24.0,0.0,1.0
40691,37.0,2014-06-24,75,1.0,2.0,8.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.3333333333333333,0.35714285714285715,28.0,14.0,0.0,0.4,0.40816326530612246,49.0,68.0,0.0,0.3333333333333333,0.4583333333333333,24.0,13.0,0.0,0.0,0.4,20.0,0.0,0.0
40618,36.0,2014-06-16,73,1.0,2.0,6.0,0.0,0.3333333333333333,0.35714285714285715,28.0,14.0,0.0,0.4,0.40816326530612246,49.0,68.0,0.0,0.3333333333333333,0.4583333333333333,24.0,13.0,0.0,0.0,0.4,20.0,17.0,0.0,0.0,0.25,16.0,0.0,0.0
40549,34.0,2014-06-10,72,1.0,2.0,14.0,0.0,0.4,0.40816326530612246,49.0,68.0,0.0,0.3333333333333333,0.4583333333333333,24.0,13.0,0.0,0.0,0.4,20.0,17.0,0.0,0.0,0.25,16.0,35.0,0.0,0.25,0.42857142857142855,42.0,0.0,0.0
40421,32.0,2014-05-27,71,1.0,0.0,68.0,0.0,0.3333333333333333,0.4583333333333333,24.0,13.0,0.0,0.0,0.4,20.0,17.0,0.0,0.0,0.25,16.0,35.0,0.0,0.25,0.42857142857142855,42.0,6.0,0.0,0.3333333333333333,0.4,30.0,0.0,0.0
39906,20.0,2014-03-20,63,1.0,3.0,13.0,0.0,0.0,0.4,20.0,17.0,0.0,0.0,0.25,16.0,35.0,0.0,0.25,0.42857142857142855,42.0,6.0,0.0,0.3333333333333333,0.4,30.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,0.0
39808,19.0,2014-03-07,64,1.0,3.0,17.0,0.0,0.0,0.25,16.0,35.0,0.0,0.25,0.42857142857142855,42.0,6.0,0.0,0.3333333333333333,0.4,30.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,131.0,0.0,0.25,0.4666666666666667,45.0,0.0,0.0
39616,13.0,2014-02-18,66,1.0,3.0,35.0,0.0,0.25,0.42857142857142855,42.0,6.0,0.0,0.3333333333333333,0.4,30.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,131.0,0.0,0.25,0.4666666666666667,45.0,3.0,1.0,0.75,0.5531914893617021,47.0,0.0,0.0
39344,6.0,2014-01-14,93,1.0,3.0,6.0,0.0,0.3333333333333333,0.4,30.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,131.0,0.0,0.25,0.4666666666666667,45.0,3.0,1.0,0.75,0.5531914893617021,47.0,139.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
39273,4.0,2014-01-08,95,1.0,3.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,131.0,0.0,0.25,0.4666666666666667,45.0,3.0,1.0,0.75,0.5531914893617021,47.0,139.0,0.0,0.0,0.4090909090909091,22.0,56.0,0.0,0.0,0.35,20.0,1.0,0.0
39267,4.0,2014-01-07,95,1.0,3.0,131.0,0.0,0.25,0.4666666666666667,45.0,3.0,1.0,0.75,0.5531914893617021,47.0,139.0,0.0,0.0,0.4090909090909091,22.0,56.0,0.0,0.0,0.35,20.0,165.0,0.0,0.0,0.28,25.0,0.0,1.0
38687,51.0,2013-08-29,124,1.0,3.0,3.0,1.0,0.75,0.5531914893617021,47.0,139.0,0.0,0.0,0.4090909090909091,22.0,56.0,0.0,0.0,0.35,20.0,165.0,0.0,0.0,0.28,25.0,2.0,1.0,0.6,0.5283018867924528,53.0,1.0,0.0
38616,51.0,2013-08-26,124,1.0,3.0,139.0,0.0,0.0,0.4090909090909091,22.0,56.0,0.0,0.0,0.35,20.0,165.0,0.0,0.0,0.28,25.0,2.0,1.0,0.6,0.5283018867924528,53.0,35.0,0.0,0.3333333333333333,0.4,25.0,0.0,1.0
37379,22.0,2013-04-09,189,1.0,0.0,56.0,0.0,0.0,0.35,20.0,165.0,0.0,0.0,0.28,25.0,2.0,1.0,0.6,0.5283018867924528,53.0,35.0,0.0,0.3333333333333333,0.4,25.0,531.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
36920,11.0,2013-02-12,223,0.0,3.0,165.0,0.0,0.0,0.28,25.0,2.0,1.0,0.6,0.5283018867924528,53.0,35.0,0.0,0.3333333333333333,0.4,25.0,531.0,0.0,0.0,0.29411764705882354,17.0,162.0,0.0,0.25,0.43902439024390244,41.0,0.0,0.0
