,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46598,53.0,2016-09-19,31,0.0,3.0,21.0,0.0,0.0,0.18181818181818182,22.0,39.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,1.0,0.65,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
46478,52.0,2016-08-29,29,1.0,3.0,39.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,1.0,0.65,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
46204,45.0,2016-07-21,28,1.0,0.0,2.0,1.0,1.0,0.65,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.8571428571428571,14.0,1.0,0.0
46195,45.0,2016-07-19,28,1.0,0.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.8571428571428571,14.0,2.0,1.0,0.6666666666666666,0.5,26.0,0.0,1.0
46104,41.0,2016-07-17,47,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.8571428571428571,14.0,2.0,1.0,0.6666666666666666,0.5,26.0,14.0,0.0,0.0,0.4444444444444444,36.0,4.0,1.0
46103,41.0,2016-07-16,47,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.8571428571428571,14.0,2.0,1.0,0.6666666666666666,0.5,26.0,14.0,0.0,0.0,0.4444444444444444,36.0,36.0,0.0,0.5,0.4772727272727273,44.0,3.0,1.0
46101,41.0,2016-07-15,47,1.0,0.0,1.0,1.0,1.0,0.8571428571428571,14.0,2.0,1.0,0.6666666666666666,0.5,26.0,14.0,0.0,0.0,0.4444444444444444,36.0,36.0,0.0,0.5,0.4772727272727273,44.0,70.0,0.0,0.0,0.375,8.0,2.0,1.0
46096,41.0,2016-07-14,47,1.0,0.0,2.0,1.0,0.6666666666666666,0.5,26.0,14.0,0.0,0.0,0.4444444444444444,36.0,36.0,0.0,0.5,0.4772727272727273,44.0,70.0,0.0,0.0,0.375,8.0,20.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0
46081,41.0,2016-07-12,47,1.0,0.0,14.0,0.0,0.0,0.4444444444444444,36.0,36.0,0.0,0.5,0.4772727272727273,44.0,70.0,0.0,0.0,0.375,8.0,20.0,0.0,0.3333333333333333,0.4230769230769231,26.0,9.0,1.0,0.6666666666666666,0.6206896551724138,29.0,0.0,1.0
45967,39.0,2016-06-28,48,1.0,2.0,36.0,0.0,0.5,0.4772727272727273,44.0,70.0,0.0,0.0,0.375,8.0,20.0,0.0,0.3333333333333333,0.4230769230769231,26.0,9.0,1.0,0.6666666666666666,0.6206896551724138,29.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,0.0,0.0
