,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
29963,33.0,2010-06-07,109,1.0,2.0,13.0,0.0,0.0,0.21739130434782608,23.0,20.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.56,25.0,28.0,0.0,0.0,0.38095238095238093,21.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0
29844,31.0,2010-05-25,111,1.0,0.0,20.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.56,25.0,28.0,0.0,0.0,0.38095238095238093,21.0,11.0,0.0,0.0,0.0,4.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,0.0,0.0
29702,28.0,2010-05-05,106,1.0,0.0,1.0,1.0,1.0,0.56,25.0,28.0,0.0,0.0,0.38095238095238093,21.0,11.0,0.0,0.0,0.0,4.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,10.0,0.0,0.0,0.2,15.0,1.0,0.0
29692,28.0,2010-05-04,106,1.0,0.0,28.0,0.0,0.0,0.38095238095238093,21.0,11.0,0.0,0.0,0.0,4.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,10.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.75,16.0,0.0,1.0
29420,21.0,2010-04-06,93,1.0,0.0,11.0,0.0,0.0,0.0,4.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,10.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.75,16.0,24.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
29353,20.0,2010-03-26,97,1.0,3.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,10.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.75,16.0,24.0,0.0,0.0,0.3333333333333333,18.0,12.0,0.0,0.0,0.2,15.0,1.0,0.0
29317,20.0,2010-03-24,97,1.0,3.0,10.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.75,16.0,24.0,0.0,0.0,0.3333333333333333,18.0,12.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,1.0
29263,19.0,2010-03-14,96,1.0,3.0,2.0,1.0,1.0,0.75,16.0,24.0,0.0,0.0,0.3333333333333333,18.0,12.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,14.0,0.0,0.4,0.4489795918367347,49.0,1.0,0.0
29233,19.0,2010-03-12,96,1.0,3.0,24.0,0.0,0.0,0.3333333333333333,18.0,12.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,14.0,0.0,0.4,0.4489795918367347,49.0,14.0,0.0,0.0,0.16666666666666666,6.0,0.0,1.0
29047,13.0,2010-02-16,74,1.0,0.0,12.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,14.0,0.0,0.4,0.4489795918367347,49.0,14.0,0.0,0.0,0.16666666666666666,6.0,68.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
28938,9.0,2010-02-04,75,0.0,3.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,14.0,0.0,0.4,0.4489795918367347,49.0,14.0,0.0,0.0,0.16666666666666666,6.0,68.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.8,15.0,1.0,0.0
28925,9.0,2010-02-02,75,0.0,3.0,14.0,0.0,0.4,0.4489795918367347,49.0,14.0,0.0,0.0,0.16666666666666666,6.0,68.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.8,15.0,8.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
28766,6.0,2010-01-19,73,1.0,3.0,14.0,0.0,0.0,0.16666666666666666,6.0,68.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.8,15.0,8.0,0.0,0.0,0.3684210526315789,19.0,26.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
28653,3.0,2010-01-05,71,1.0,3.0,68.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.8,15.0,8.0,0.0,0.0,0.3684210526315789,19.0,26.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,0.0,0.0
28445,60.0,2009-10-29,55,0.0,3.0,1.0,1.0,1.0,0.8,15.0,8.0,0.0,0.0,0.3684210526315789,19.0,26.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,16.0,0.0,0.25,0.38235294117647056,34.0,1.0,0.0
28440,60.0,2009-10-28,55,0.0,3.0,8.0,0.0,0.0,0.3684210526315789,19.0,26.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,16.0,0.0,0.25,0.38235294117647056,34.0,2.0,1.0,0.75,0.6176470588235294,34.0,0.0,1.0
28309,56.0,2009-10-20,55,0.0,3.0,26.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,16.0,0.0,0.25,0.38235294117647056,34.0,2.0,1.0,0.75,0.6176470588235294,34.0,2.0,1.0,0.75,0.5882352941176471,34.0,0.0,0.0
28093,50.0,2009-09-24,57,1.0,0.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,16.0,0.0,0.25,0.38235294117647056,34.0,2.0,1.0,0.75,0.6176470588235294,34.0,2.0,1.0,0.75,0.5882352941176471,34.0,35.0,0.0,0.3333333333333333,0.3793103448275862,29.0,1.0,0.0
28075,50.0,2009-09-22,57,1.0,0.0,16.0,0.0,0.25,0.38235294117647056,34.0,2.0,1.0,0.75,0.6176470588235294,34.0,2.0,1.0,0.75,0.5882352941176471,34.0,35.0,0.0,0.3333333333333333,0.3793103448275862,29.0,13.0,0.0,0.3333333333333333,0.42424242424242425,33.0,0.0,1.0
28052,49.0,2009-09-06,62,1.0,3.0,2.0,1.0,0.75,0.6176470588235294,34.0,2.0,1.0,0.75,0.5882352941176471,34.0,35.0,0.0,0.3333333333333333,0.3793103448275862,29.0,13.0,0.0,0.3333333333333333,0.42424242424242425,33.0,2.0,1.0,0.6666666666666666,0.5,26.0,2.0,0.0
28032,49.0,2009-09-04,62,1.0,3.0,2.0,1.0,0.75,0.5882352941176471,34.0,35.0,0.0,0.3333333333333333,0.3793103448275862,29.0,13.0,0.0,0.3333333333333333,0.42424242424242425,33.0,2.0,1.0,0.6666666666666666,0.5,26.0,22.0,0.0,0.4,0.49056603773584906,53.0,1.0,1.0
28001,49.0,2009-09-02,62,1.0,3.0,35.0,0.0,0.3333333333333333,0.3793103448275862,29.0,13.0,0.0,0.3333333333333333,0.42424242424242425,33.0,2.0,1.0,0.6666666666666666,0.5,26.0,22.0,0.0,0.4,0.49056603773584906,53.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
27724,44.0,2009-07-29,82,1.0,0.0,13.0,0.0,0.3333333333333333,0.42424242424242425,33.0,2.0,1.0,0.6666666666666666,0.5,26.0,22.0,0.0,0.4,0.49056603773584906,53.0,7.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
