,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
21725,32.0,2007-06-12,1494,1.0,2.0,754.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,0.6666666666666666,0.5,30.0,2.0,1.0,0.6666666666666666,0.4838709677419355,31.0,84.0,0.0,0.3333333333333333,0.4375,32.0,117.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
15786,30.0,2005-05-19,287,1.0,0.0,0.0,1.0,0.6666666666666666,0.5,30.0,2.0,1.0,0.6666666666666666,0.4838709677419355,31.0,84.0,0.0,0.3333333333333333,0.4375,32.0,117.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,2.0,0.0
15782,30.0,2005-05-19,287,1.0,0.0,2.0,1.0,0.6666666666666666,0.4838709677419355,31.0,84.0,0.0,0.3333333333333333,0.4375,32.0,117.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,19.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0
15775,30.0,2005-05-17,287,1.0,0.0,84.0,0.0,0.3333333333333333,0.4375,32.0,117.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,19.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6666666666666666,0.53125,32.0,0.0,1.0
15151,18.0,2005-02-22,303,1.0,3.0,117.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,19.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,1.0,0.65,20.0,0.0,0.0
14414,64.0,2004-10-28,272,0.0,1.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,19.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,1.0,0.65,20.0,8.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
14406,64.0,2004-10-26,272,0.0,1.0,19.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,1.0,0.65,20.0,8.0,0.0,0.0,0.3684210526315789,19.0,103.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
14215,58.0,2004-10-07,300,1.0,3.0,0.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,1.0,0.65,20.0,8.0,0.0,0.0,0.3684210526315789,19.0,103.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.5652173913043478,23.0,2.0,0.0
14206,58.0,2004-10-07,300,1.0,3.0,1.0,1.0,1.0,0.65,20.0,8.0,0.0,0.0,0.3684210526315789,19.0,103.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.5652173913043478,23.0,413.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0
14190,58.0,2004-10-06,300,1.0,3.0,8.0,0.0,0.0,0.3684210526315789,19.0,103.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.5652173913043478,23.0,413.0,0.0,0.0,0.29411764705882354,17.0,118.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
14057,54.0,2004-09-28,321,0.0,3.0,103.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.5652173913043478,23.0,413.0,0.0,0.0,0.29411764705882354,17.0,118.0,0.0,0.0,0.4090909090909091,22.0,71.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
13119,33.0,2004-06-17,392,1.0,2.0,3.0,1.0,1.0,0.5652173913043478,23.0,413.0,0.0,0.0,0.29411764705882354,17.0,118.0,0.0,0.0,0.4090909090909091,22.0,71.0,0.0,0.0,0.3157894736842105,19.0,21.0,0.0,0.0,0.4,20.0,1.0,0.0
13100,33.0,2004-06-14,392,1.0,2.0,413.0,0.0,0.0,0.29411764705882354,17.0,118.0,0.0,0.0,0.4090909090909091,22.0,71.0,0.0,0.0,0.3157894736842105,19.0,21.0,0.0,0.0,0.4,20.0,0.0,1.0,1.0,0.75,16.0,0.0,1.0
9804,26.0,2003-04-28,189,1.0,0.0,118.0,0.0,0.0,0.4090909090909091,22.0,71.0,0.0,0.0,0.3157894736842105,19.0,21.0,0.0,0.0,0.4,20.0,0.0,1.0,1.0,0.75,16.0,7.0,0.0,0.3333333333333333,0.4838709677419355,31.0,0.0,0.0
8824,2.0,2002-12-31,165,1.0,3.0,71.0,0.0,0.0,0.3157894736842105,19.0,21.0,0.0,0.0,0.4,20.0,0.0,1.0,1.0,0.75,16.0,7.0,0.0,0.3333333333333333,0.4838709677419355,31.0,14.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
8661,63.0,2002-10-21,127,0.0,3.0,21.0,0.0,0.0,0.4,20.0,0.0,1.0,1.0,0.75,16.0,7.0,0.0,0.3333333333333333,0.4838709677419355,31.0,14.0,0.0,0.0,0.38095238095238093,21.0,49.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
8487,58.0,2002-09-30,132,1.0,3.0,0.0,1.0,1.0,0.75,16.0,7.0,0.0,0.3333333333333333,0.4838709677419355,31.0,14.0,0.0,0.0,0.38095238095238093,21.0,49.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
8472,58.0,2002-09-30,132,1.0,3.0,7.0,0.0,0.3333333333333333,0.4838709677419355,31.0,14.0,0.0,0.0,0.38095238095238093,21.0,49.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,1.0
