,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
44232,61.0,2015-10-20,74,0.0,3.0,27.0,0.0,0.0,0.3333333333333333,18.0,22.0,0.0,0.5,0.42105263157894735,38.0,7.0,0.0,0.3333333333333333,0.48717948717948717,39.0,1.0,1.0,1.0,0.5384615384615384,26.0,5.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
44005,54.0,2015-09-23,70,0.0,3.0,22.0,0.0,0.5,0.42105263157894735,38.0,7.0,0.0,0.3333333333333333,0.48717948717948717,39.0,1.0,1.0,1.0,0.5384615384615384,26.0,5.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,0.0,0.0
43887,52.0,2015-09-01,71,1.0,3.0,7.0,0.0,0.3333333333333333,0.48717948717948717,39.0,1.0,1.0,1.0,0.5384615384615384,26.0,5.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,50.0,0.0,0.0,0.4444444444444444,36.0,0.0,0.0
43821,51.0,2015-08-25,70,1.0,3.0,1.0,1.0,1.0,0.5384615384615384,26.0,5.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,50.0,0.0,0.0,0.4444444444444444,36.0,12.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
43811,51.0,2015-08-24,70,1.0,3.0,5.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,50.0,0.0,0.0,0.4444444444444444,36.0,12.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,0.0,1.0
43774,50.0,2015-08-19,79,1.0,3.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,50.0,0.0,0.0,0.4444444444444444,36.0,12.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,17.0,0.0,0.0,0.4,30.0,1.0,0.0
43756,50.0,2015-08-18,79,1.0,3.0,50.0,0.0,0.0,0.4444444444444444,36.0,12.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,17.0,0.0,0.0,0.4,30.0,2.0,1.0,0.6,0.5098039215686274,51.0,0.0,1.0
43298,39.0,2015-06-29,71,1.0,2.0,12.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,17.0,0.0,0.0,0.4,30.0,2.0,1.0,0.6,0.5098039215686274,51.0,3.0,1.0,0.75,0.55,40.0,0.0,0.0
43228,37.0,2015-06-17,70,1.0,2.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,17.0,0.0,0.0,0.4,30.0,2.0,1.0,0.6,0.5098039215686274,51.0,3.0,1.0,0.75,0.55,40.0,21.0,0.0,0.3333333333333333,0.4375,32.0,1.0,0.0
43224,37.0,2015-06-16,70,1.0,2.0,17.0,0.0,0.0,0.4,30.0,2.0,1.0,0.6,0.5098039215686274,51.0,3.0,1.0,0.75,0.55,40.0,21.0,0.0,0.3333333333333333,0.4375,32.0,6.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
43106,33.0,2015-05-30,84,1.0,0.0,2.0,1.0,0.6,0.5098039215686274,51.0,3.0,1.0,0.75,0.55,40.0,21.0,0.0,0.3333333333333333,0.4375,32.0,6.0,0.0,0.0,0.4090909090909091,22.0,34.0,0.0,0.3333333333333333,0.4444444444444444,27.0,2.0,0.0
43082,33.0,2015-05-28,84,1.0,0.0,3.0,1.0,0.75,0.55,40.0,21.0,0.0,0.3333333333333333,0.4375,32.0,6.0,0.0,0.0,0.4090909090909091,22.0,34.0,0.0,0.3333333333333333,0.4444444444444444,27.0,7.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0
43034,33.0,2015-05-25,84,1.0,0.0,21.0,0.0,0.3333333333333333,0.4375,32.0,6.0,0.0,0.0,0.4090909090909091,22.0,34.0,0.0,0.3333333333333333,0.4444444444444444,27.0,7.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,0.0,1.0
42838,29.0,2015-05-04,103,1.0,0.0,6.0,0.0,0.0,0.4090909090909091,22.0,34.0,0.0,0.3333333333333333,0.4444444444444444,27.0,7.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,0.0,0.0
