,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
16494,45.0,2005-07-25,681,1.0,0.0,368.0,0.0,0.0,0.5,6.0,3.0,1.0,0.6666666666666666,0.625,24.0,63.0,0.0,0.0,0.38095238095238093,21.0,301.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.3,10.0,0.0,0.0
13605,44.0,2004-07-22,453,1.0,0.0,3.0,1.0,0.6666666666666666,0.625,24.0,63.0,0.0,0.0,0.38095238095238093,21.0,301.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.3,10.0,6.0,0.0,0.3333333333333333,0.35714285714285715,28.0,1.0,0.0
13585,44.0,2004-07-19,453,1.0,0.0,63.0,0.0,0.0,0.38095238095238093,21.0,301.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.3,10.0,6.0,0.0,0.3333333333333333,0.35714285714285715,28.0,14.0,0.0,0.0,0.14285714285714285,21.0,0.0,1.0
12834,28.0,2004-05-17,422,1.0,0.0,301.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.3,10.0,6.0,0.0,0.3333333333333333,0.35714285714285715,28.0,14.0,0.0,0.0,0.14285714285714285,21.0,29.0,0.0,0.0,0.3793103448275862,29.0,0.0,0.0
10695,44.0,2003-07-21,159,1.0,0.0,7.0,0.0,0.0,0.3,10.0,6.0,0.0,0.3333333333333333,0.35714285714285715,28.0,14.0,0.0,0.0,0.14285714285714285,21.0,29.0,0.0,0.0,0.3793103448275862,29.0,21.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
10518,40.0,2003-07-14,124,1.0,0.0,6.0,0.0,0.3333333333333333,0.35714285714285715,28.0,14.0,0.0,0.0,0.14285714285714285,21.0,29.0,0.0,0.0,0.3793103448275862,29.0,21.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
10463,38.0,2003-07-08,124,1.0,0.0,14.0,0.0,0.0,0.14285714285714285,21.0,29.0,0.0,0.0,0.3793103448275862,29.0,21.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
10339,36.0,2003-06-24,120,1.0,2.0,29.0,0.0,0.0,0.3793103448275862,29.0,21.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.14285714285714285,14.0,12.0,0.0,0.3333333333333333,0.44,25.0,0.0,0.0
10030,31.0,2003-05-26,103,1.0,0.0,21.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.14285714285714285,14.0,12.0,0.0,0.3333333333333333,0.44,25.0,3.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
9866,28.0,2003-05-05,105,1.0,0.0,6.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.14285714285714285,14.0,12.0,0.0,0.3333333333333333,0.44,25.0,3.0,1.0,1.0,0.5652173913043478,23.0,41.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,0.0
9816,26.0,2003-04-29,103,1.0,0.0,7.0,0.0,0.0,0.14285714285714285,14.0,12.0,0.0,0.3333333333333333,0.44,25.0,3.0,1.0,1.0,0.5652173913043478,23.0,41.0,0.0,0.3333333333333333,0.48148148148148145,27.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,0.0
9782,25.0,2003-04-22,103,1.0,0.0,12.0,0.0,0.3333333333333333,0.44,25.0,3.0,1.0,1.0,0.5652173913043478,23.0,41.0,0.0,0.3333333333333333,0.48148148148148145,27.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,8.0,0.0,0.3333333333333333,0.35714285714285715,28.0,0.0,0.0
9615,21.0,2003-04-10,103,1.0,0.0,3.0,1.0,1.0,0.5652173913043478,23.0,41.0,0.0,0.3333333333333333,0.48148148148148145,27.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,8.0,0.0,0.3333333333333333,0.35714285714285715,28.0,28.0,0.0,0.25,0.4186046511627907,43.0,1.0,0.0
9593,21.0,2003-04-07,103,1.0,0.0,41.0,0.0,0.3333333333333333,0.48148148148148145,27.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,8.0,0.0,0.3333333333333333,0.35714285714285715,28.0,28.0,0.0,0.25,0.4186046511627907,43.0,13.0,0.0,0.5,0.42105263157894735,19.0,0.0,1.0
9354,16.0,2003-02-25,104,1.0,3.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,8.0,0.0,0.3333333333333333,0.35714285714285715,28.0,28.0,0.0,0.25,0.4186046511627907,43.0,13.0,0.0,0.5,0.42105263157894735,19.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
9227,12.0,2003-02-19,103,0.0,3.0,8.0,0.0,0.3333333333333333,0.35714285714285715,28.0,28.0,0.0,0.25,0.4186046511627907,43.0,13.0,0.0,0.5,0.42105263157894735,19.0,2.0,1.0,1.0,0.5652173913043478,23.0,84.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
9128,9.0,2003-02-11,104,0.0,3.0,28.0,0.0,0.25,0.4186046511627907,43.0,13.0,0.0,0.5,0.42105263157894735,19.0,2.0,1.0,1.0,0.5652173913043478,23.0,84.0,0.0,0.0,0.3157894736842105,19.0,14.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
8990,6.0,2003-01-14,105,1.0,3.0,13.0,0.0,0.5,0.42105263157894735,19.0,2.0,1.0,1.0,0.5652173913043478,23.0,84.0,0.0,0.0,0.3157894736842105,19.0,14.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
8828,2.0,2003-01-01,108,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,84.0,0.0,0.0,0.3157894736842105,19.0,14.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.0,0.3684210526315789,19.0,28.0,0.0,0.3333333333333333,0.4375,32.0,0.0,0.0
8812,2.0,2002-12-30,108,1.0,3.0,84.0,0.0,0.0,0.3157894736842105,19.0,14.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.0,0.3684210526315789,19.0,28.0,0.0,0.3333333333333333,0.4375,32.0,21.0,0.0,0.3333333333333333,0.4090909090909091,22.0,0.0,1.0
8551,60.0,2002-10-07,115,0.0,3.0,14.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.0,0.3684210526315789,19.0,28.0,0.0,0.3333333333333333,0.4375,32.0,21.0,0.0,0.3333333333333333,0.4090909090909091,22.0,0.0,1.0,0.6666666666666666,0.625,24.0,0.0,0.0
