,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46355,49.0,2016-08-11,130,1.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,9.0,0.0,0.3333333333333333,0.5,34.0,13.0,0.0,0.0,0.35,20.0,7.0,0.0,0.3333333333333333,0.4,25.0,145.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
46348,49.0,2016-08-10,130,1.0,3.0,9.0,0.0,0.3333333333333333,0.5,34.0,13.0,0.0,0.0,0.35,20.0,7.0,0.0,0.3333333333333333,0.4,25.0,145.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.5384615384615384,13.0,0.0,1.0
46318,48.0,2016-08-01,131,1.0,3.0,13.0,0.0,0.0,0.35,20.0,7.0,0.0,0.3333333333333333,0.4,25.0,145.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.5384615384615384,13.0,7.0,0.0,0.3333333333333333,0.4411764705882353,34.0,0.0,0.0
46224,46.0,2016-07-19,133,1.0,3.0,7.0,0.0,0.3333333333333333,0.4,25.0,145.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.5384615384615384,13.0,7.0,0.0,0.3333333333333333,0.4411764705882353,34.0,8.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
46111,42.0,2016-07-12,129,1.0,2.0,145.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.5384615384615384,13.0,7.0,0.0,0.3333333333333333,0.4411764705882353,34.0,8.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.0,0.3870967741935484,31.0,0.0,0.0
44856,13.0,2016-02-18,103,1.0,3.0,2.0,1.0,1.0,0.5384615384615384,13.0,7.0,0.0,0.3333333333333333,0.4411764705882353,34.0,8.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.6923076923076923,26.0,1.0,0.0
44842,13.0,2016-02-16,103,1.0,3.0,7.0,0.0,0.3333333333333333,0.4411764705882353,34.0,8.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.6923076923076923,26.0,12.0,0.0,0.0,0.35,20.0,0.0,1.0
44782,11.0,2016-02-09,95,0.0,3.0,8.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.6923076923076923,26.0,12.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,0.0,0.0
44696,8.0,2016-02-01,95,1.0,0.0,12.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.6923076923076923,26.0,12.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,88.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
44605,6.0,2016-01-20,103,1.0,3.0,2.0,1.0,1.0,0.6923076923076923,26.0,12.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,88.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,1.0,0.0
44546,6.0,2016-01-18,103,1.0,3.0,12.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,88.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,2.0,1.0,0.6666666666666666,0.5,38.0,0.0,1.0
44441,2.0,2016-01-06,104,1.0,3.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,88.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,2.0,1.0,0.6666666666666666,0.5,38.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
44434,2.0,2016-01-05,104,1.0,3.0,88.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,2.0,1.0,0.6666666666666666,0.5,38.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.5625,32.0,0.0,1.0
44136,58.0,2015-10-09,124,1.0,3.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,2.0,1.0,0.6666666666666666,0.5,38.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.5625,32.0,25.0,0.0,0.0,0.3333333333333333,27.0,2.0,0.0
44131,58.0,2015-10-08,124,1.0,3.0,2.0,1.0,0.6666666666666666,0.5,38.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.5625,32.0,25.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.5,48.0,1.0,1.0
44118,58.0,2015-10-06,124,1.0,3.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.5625,32.0,25.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.5,48.0,35.0,0.0,0.0,0.25,16.0,0.0,1.0
44067,56.0,2015-09-30,128,1.0,3.0,2.0,1.0,0.6666666666666666,0.5625,32.0,25.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.5,48.0,35.0,0.0,0.0,0.25,16.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,1.0,0.0
44053,56.0,2015-09-28,128,1.0,3.0,25.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.5,48.0,35.0,0.0,0.0,0.25,16.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,8.0,0.0,0.3333333333333333,0.4,30.0,0.0,1.0
43935,52.0,2015-09-03,117,1.0,3.0,2.0,1.0,0.75,0.5,48.0,35.0,0.0,0.0,0.25,16.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,8.0,0.0,0.3333333333333333,0.4,30.0,108.0,0.0,0.0,0.44,25.0,1.0,0.0
43878,52.0,2015-09-01,117,1.0,3.0,35.0,0.0,0.0,0.25,16.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,8.0,0.0,0.3333333333333333,0.4,30.0,108.0,0.0,0.0,0.44,25.0,2.0,1.0,1.0,0.6,20.0,0.0,1.0
43532,44.0,2015-07-28,129,1.0,3.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,8.0,0.0,0.3333333333333333,0.4,30.0,108.0,0.0,0.0,0.44,25.0,2.0,1.0,1.0,0.6,20.0,11.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
43476,42.0,2015-07-21,126,1.0,0.0,8.0,0.0,0.3333333333333333,0.4,30.0,108.0,0.0,0.0,0.44,25.0,2.0,1.0,1.0,0.6,20.0,11.0,0.0,0.0,0.43478260869565216,23.0,18.0,0.0,0.0,0.35,20.0,0.0,0.0
43422,40.0,2015-07-13,125,1.0,2.0,108.0,0.0,0.0,0.44,25.0,2.0,1.0,1.0,0.6,20.0,11.0,0.0,0.0,0.43478260869565216,23.0,18.0,0.0,0.0,0.35,20.0,10.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,0.0
42510,20.0,2015-03-27,146,1.0,3.0,2.0,1.0,1.0,0.6,20.0,11.0,0.0,0.0,0.43478260869565216,23.0,18.0,0.0,0.0,0.35,20.0,10.0,0.0,0.3333333333333333,0.4482758620689655,29.0,3.0,1.0,0.6666666666666666,0.5151515151515151,33.0,1.0,0.0
42490,20.0,2015-03-25,146,1.0,3.0,11.0,0.0,0.0,0.43478260869565216,23.0,18.0,0.0,0.0,0.35,20.0,10.0,0.0,0.3333333333333333,0.4482758620689655,29.0,3.0,1.0,0.6666666666666666,0.5151515151515151,33.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,0.0,1.0
42410,19.0,2015-03-14,141,1.0,3.0,18.0,0.0,0.0,0.35,20.0,10.0,0.0,0.3333333333333333,0.4482758620689655,29.0,3.0,1.0,0.6666666666666666,0.5151515151515151,33.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,8.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
42298,16.0,2015-02-24,142,1.0,3.0,10.0,0.0,0.3333333333333333,0.4482758620689655,29.0,3.0,1.0,0.6666666666666666,0.5151515151515151,33.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,8.0,0.0,0.0,0.43478260869565216,23.0,208.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
42141,10.0,2015-02-14,156,0.0,3.0,3.0,1.0,0.6666666666666666,0.5151515151515151,33.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,8.0,0.0,0.0,0.43478260869565216,23.0,208.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.65,20.0,2.0,0.0
42131,10.0,2015-02-11,156,0.0,3.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,8.0,0.0,0.0,0.43478260869565216,23.0,208.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.65,20.0,861.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0
42126,10.0,2015-02-10,156,0.0,3.0,8.0,0.0,0.0,0.43478260869565216,23.0,208.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.65,20.0,861.0,0.0,0.0,0.29411764705882354,17.0,1280.0,0.0,0.0,0.21739130434782608,23.0,0.0,1.0
