,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
22021,38.0,2007-07-10,1511,1.0,0.0,986.0,0.0,0.0,0.29411764705882354,17.0,68.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.5384615384615384,26.0,2.0,1.0,1.0,0.5652173913043478,23.0,15.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,0.0
14375,63.0,2004-10-27,171,0.0,1.0,68.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.5384615384615384,26.0,2.0,1.0,1.0,0.5652173913043478,23.0,15.0,0.0,0.3333333333333333,0.4642857142857143,28.0,7.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
13797,48.0,2004-08-20,153,1.0,0.0,1.0,1.0,1.0,0.5384615384615384,26.0,2.0,1.0,1.0,0.5652173913043478,23.0,15.0,0.0,0.3333333333333333,0.4642857142857143,28.0,7.0,0.0,0.0,0.46153846153846156,26.0,4.0,0.0,0.3333333333333333,0.5,28.0,2.0,0.0
13791,48.0,2004-08-19,153,1.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,15.0,0.0,0.3333333333333333,0.4642857142857143,28.0,7.0,0.0,0.0,0.46153846153846156,26.0,4.0,0.0,0.3333333333333333,0.5,28.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,1.0,1.0
13779,48.0,2004-08-17,153,1.0,0.0,15.0,0.0,0.3333333333333333,0.4642857142857143,28.0,7.0,0.0,0.0,0.46153846153846156,26.0,4.0,0.0,0.3333333333333333,0.5,28.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,14.0,0.0,0.3333333333333333,0.5,26.0,0.0,1.0
13682,46.0,2004-08-02,163,1.0,3.0,7.0,0.0,0.0,0.46153846153846156,26.0,4.0,0.0,0.3333333333333333,0.5,28.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,14.0,0.0,0.3333333333333333,0.5,26.0,29.0,0.0,0.0,0.25,16.0,0.0,0.0
13615,45.0,2004-07-26,170,1.0,3.0,4.0,0.0,0.3333333333333333,0.5,28.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,14.0,0.0,0.3333333333333333,0.5,26.0,29.0,0.0,0.0,0.25,16.0,38.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
13519,42.0,2004-07-22,173,1.0,3.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,14.0,0.0,0.3333333333333333,0.5,26.0,29.0,0.0,0.0,0.25,16.0,38.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,0.0
13493,42.0,2004-07-20,173,1.0,3.0,14.0,0.0,0.3333333333333333,0.5,26.0,29.0,0.0,0.0,0.25,16.0,38.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,0.0,1.0
13328,37.0,2004-07-06,162,1.0,0.0,29.0,0.0,0.0,0.25,16.0,38.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,188.0,0.0,0.0,0.4,20.0,0.0,0.0
13015,31.0,2004-06-07,167,1.0,2.0,38.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,188.0,0.0,0.0,0.4,20.0,20.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
12689,25.0,2004-04-30,191,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,188.0,0.0,0.0,0.4,20.0,20.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.7058823529411765,17.0,2.0,0.0
12682,25.0,2004-04-28,191,1.0,0.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,188.0,0.0,0.0,0.4,20.0,20.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0
12675,25.0,2004-04-27,191,1.0,0.0,188.0,0.0,0.0,0.4,20.0,20.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.53125,32.0,61.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,1.0
11496,63.0,2003-10-22,125,0.0,1.0,20.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.53125,32.0,61.0,0.0,0.3333333333333333,0.4482758620689655,29.0,8.0,0.0,0.3333333333333333,0.42424242424242425,33.0,0.0,0.0
11362,59.0,2003-10-02,130,1.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.53125,32.0,61.0,0.0,0.3333333333333333,0.4482758620689655,29.0,8.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,0.0
11349,59.0,2003-09-30,130,1.0,3.0,1.0,1.0,0.6666666666666666,0.53125,32.0,61.0,0.0,0.3333333333333333,0.4482758620689655,29.0,8.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0
11337,59.0,2003-09-29,130,1.0,3.0,61.0,0.0,0.3333333333333333,0.4482758620689655,29.0,8.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.4230769230769231,26.0,5.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
10762,46.0,2003-07-30,152,1.0,0.0,8.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.4230769230769231,26.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,0.0,0.0
10661,43.0,2003-07-22,152,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.4230769230769231,26.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,15.0,0.0,0.25,0.4318181818181818,44.0,1.0,0.0
10643,43.0,2003-07-21,152,1.0,0.0,6.0,0.0,0.3333333333333333,0.4230769230769231,26.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,15.0,0.0,0.25,0.4318181818181818,44.0,5.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
10560,41.0,2003-07-15,149,1.0,0.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,15.0,0.0,0.25,0.4318181818181818,44.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
10477,38.0,2003-07-10,152,1.0,0.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,15.0,0.0,0.25,0.4318181818181818,44.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
10466,38.0,2003-07-08,152,1.0,0.0,15.0,0.0,0.25,0.4318181818181818,44.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
10298,36.0,2003-06-23,101,1.0,2.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.4117647058823529,34.0,0.0,0.0
10256,34.0,2003-06-18,90,1.0,2.0,1.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.4117647058823529,34.0,9.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
