,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
44160,59.0,2015-10-13,614,1.0,3.0,278.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,1.0,0.5652173913043478,23.0,192.0,0.0,0.0,0.4117647058823529,34.0,2.0,1.0,0.75,0.5416666666666666,48.0,2.0,1.0,1.0,0.5757575757575758,33.0,0.0,0.0
41789,1.0,2015-01-08,177,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,192.0,0.0,0.0,0.4117647058823529,34.0,2.0,1.0,0.75,0.5416666666666666,48.0,2.0,1.0,1.0,0.5757575757575758,33.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,0.0
41777,1.0,2015-01-06,177,1.0,3.0,192.0,0.0,0.0,0.4117647058823529,34.0,2.0,1.0,0.75,0.5416666666666666,48.0,2.0,1.0,1.0,0.5757575757575758,33.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,15.0,0.0,0.25,0.41025641025641024,39.0,0.0,1.0
40749,37.0,2014-06-28,72,1.0,2.0,2.0,1.0,0.75,0.5416666666666666,48.0,2.0,1.0,1.0,0.5757575757575758,33.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,15.0,0.0,0.25,0.41025641025641024,39.0,18.0,0.0,0.0,0.3333333333333333,18.0,2.0,0.0
40728,37.0,2014-06-26,72,1.0,2.0,2.0,1.0,1.0,0.5757575757575758,33.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,15.0,0.0,0.25,0.41025641025641024,39.0,18.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5,30.0,1.0,1.0
40683,37.0,2014-06-24,72,1.0,2.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,15.0,0.0,0.25,0.41025641025641024,39.0,18.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5,30.0,6.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
40511,33.0,2014-06-10,68,1.0,2.0,15.0,0.0,0.25,0.41025641025641024,39.0,18.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5,30.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
40412,32.0,2014-05-26,63,1.0,0.0,18.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5,30.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6190476190476191,21.0,8.0,0.0,0.0,0.07692307692307693,13.0,0.0,0.0
40256,28.0,2014-05-08,78,1.0,0.0,1.0,1.0,0.6666666666666666,0.5,30.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6190476190476191,21.0,8.0,0.0,0.0,0.07692307692307693,13.0,33.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,0.0
40243,28.0,2014-05-07,78,1.0,0.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6190476190476191,21.0,8.0,0.0,0.0,0.07692307692307693,13.0,33.0,0.0,0.3333333333333333,0.4666666666666667,30.0,13.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
40205,27.0,2014-05-01,76,1.0,0.0,2.0,1.0,1.0,0.6190476190476191,21.0,8.0,0.0,0.0,0.07692307692307693,13.0,33.0,0.0,0.3333333333333333,0.4666666666666667,30.0,13.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.3333333333333333,0.5,28.0,1.0,0.0
40196,27.0,2014-04-29,76,1.0,0.0,8.0,0.0,0.0,0.07692307692307693,13.0,33.0,0.0,0.3333333333333333,0.4666666666666667,30.0,13.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.3333333333333333,0.5,28.0,21.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,1.0
40093,24.0,2014-04-21,75,1.0,0.0,33.0,0.0,0.3333333333333333,0.4666666666666667,30.0,13.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.3333333333333333,0.5,28.0,21.0,0.0,0.3333333333333333,0.4482758620689655,29.0,23.0,0.0,0.4,0.4782608695652174,46.0,0.0,0.0
39881,20.0,2014-03-19,81,1.0,3.0,13.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.3333333333333333,0.5,28.0,21.0,0.0,0.3333333333333333,0.4482758620689655,29.0,23.0,0.0,0.4,0.4782608695652174,46.0,12.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,0.0
39788,19.0,2014-03-06,82,1.0,3.0,8.0,0.0,0.3333333333333333,0.5,28.0,21.0,0.0,0.3333333333333333,0.4482758620689655,29.0,23.0,0.0,0.4,0.4782608695652174,46.0,12.0,0.0,0.3333333333333333,0.4074074074074074,27.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
39710,16.0,2014-02-26,83,1.0,3.0,21.0,0.0,0.3333333333333333,0.4482758620689655,29.0,23.0,0.0,0.4,0.4782608695652174,46.0,12.0,0.0,0.3333333333333333,0.4074074074074074,27.0,2.0,1.0,1.0,0.631578947368421,19.0,67.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
39446,7.0,2014-02-05,75,0.0,3.0,23.0,0.0,0.4,0.4782608695652174,46.0,12.0,0.0,0.3333333333333333,0.4074074074074074,27.0,2.0,1.0,1.0,0.631578947368421,19.0,67.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
39338,6.0,2014-01-13,72,1.0,3.0,12.0,0.0,0.3333333333333333,0.4074074074074074,27.0,2.0,1.0,1.0,0.631578947368421,19.0,67.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6190476190476191,21.0,4.0,0.0,0.0,0.35,20.0,0.0,0.0
39247,3.0,2014-01-01,72,1.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,67.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6190476190476191,21.0,4.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
39227,3.0,2013-12-30,72,1.0,3.0,67.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6190476190476191,21.0,4.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.5652173913043478,23.0,22.0,0.0,0.3333333333333333,0.4838709677419355,31.0,2.0,1.0
39068,62.0,2013-10-24,70,0.0,3.0,3.0,1.0,1.0,0.6190476190476191,21.0,4.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.5652173913043478,23.0,22.0,0.0,0.3333333333333333,0.4838709677419355,31.0,28.0,0.0,0.0,0.375,32.0,1.0,0.0
39048,62.0,2013-10-21,70,0.0,3.0,4.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.5652173913043478,23.0,22.0,0.0,0.3333333333333333,0.4838709677419355,31.0,28.0,0.0,0.0,0.375,32.0,8.0,0.0,0.0,0.25,16.0,0.0,1.0
39036,61.0,2013-10-17,74,0.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,22.0,0.0,0.3333333333333333,0.4838709677419355,31.0,28.0,0.0,0.0,0.375,32.0,8.0,0.0,0.0,0.25,16.0,35.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
39031,61.0,2013-10-16,74,0.0,3.0,22.0,0.0,0.3333333333333333,0.4838709677419355,31.0,28.0,0.0,0.0,0.375,32.0,8.0,0.0,0.0,0.25,16.0,35.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.40625,32.0,0.0,1.0
