,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
16967,54.0,2005-09-27,146,0.0,3.0,25.0,0.0,0.0,0.21739130434782608,23.0,2.0,1.0,1.0,0.6333333333333333,30.0,56.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5384615384615384,26.0,12.0,0.0,0.0,0.3333333333333333,27.0,0.0,0.0
16860,51.0,2005-09-02,141,1.0,3.0,2.0,1.0,1.0,0.6333333333333333,30.0,56.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5384615384615384,26.0,12.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.5789473684210527,38.0,1.0,0.0
16835,51.0,2005-08-31,141,1.0,3.0,56.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5384615384615384,26.0,12.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.5789473684210527,38.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
16274,39.0,2005-07-06,150,1.0,2.0,1.0,1.0,1.0,0.5384615384615384,26.0,12.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.5789473684210527,38.0,7.0,0.0,0.0,0.43478260869565216,23.0,245.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,0.0
16262,39.0,2005-07-05,150,1.0,2.0,12.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.5789473684210527,38.0,7.0,0.0,0.0,0.43478260869565216,23.0,245.0,0.0,0.3333333333333333,0.45454545454545453,33.0,40.0,0.0,0.4,0.5,48.0,0.0,1.0
16161,36.0,2005-06-23,157,1.0,2.0,2.0,1.0,0.75,0.5789473684210527,38.0,7.0,0.0,0.0,0.43478260869565216,23.0,245.0,0.0,0.3333333333333333,0.45454545454545453,33.0,40.0,0.0,0.4,0.5,48.0,3.0,1.0,0.6,0.5263157894736842,38.0,1.0,0.0
16124,36.0,2005-06-21,157,1.0,2.0,7.0,0.0,0.0,0.43478260869565216,23.0,245.0,0.0,0.3333333333333333,0.45454545454545453,33.0,40.0,0.0,0.4,0.5,48.0,3.0,1.0,0.6,0.5263157894736842,38.0,42.0,0.0,0.0,0.25,16.0,0.0,1.0
16016,34.0,2005-06-14,157,1.0,2.0,245.0,0.0,0.3333333333333333,0.45454545454545453,33.0,40.0,0.0,0.4,0.5,48.0,3.0,1.0,0.6,0.5263157894736842,38.0,42.0,0.0,0.0,0.25,16.0,24.0,0.0,0.0,0.3448275862068966,29.0,0.0,0.0
14293,61.0,2004-10-12,114,0.0,3.0,40.0,0.0,0.4,0.5,48.0,3.0,1.0,0.6,0.5263157894736842,38.0,42.0,0.0,0.0,0.25,16.0,24.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,1.0,0.782608695652174,23.0,0.0,0.0
13903,50.0,2004-09-02,118,1.0,3.0,3.0,1.0,0.6,0.5263157894736842,38.0,42.0,0.0,0.0,0.25,16.0,24.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,1.0,0.782608695652174,23.0,7.0,0.0,0.3333333333333333,0.5,30.0,1.0,0.0
13845,50.0,2004-08-30,118,1.0,3.0,42.0,0.0,0.0,0.25,16.0,24.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,1.0,0.782608695652174,23.0,7.0,0.0,0.3333333333333333,0.5,30.0,7.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
13588,44.0,2004-07-19,81,1.0,0.0,24.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,1.0,0.782608695652174,23.0,7.0,0.0,0.3333333333333333,0.5,30.0,7.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.6666666666666666,24.0,0.0,0.0
13237,35.0,2004-06-25,76,1.0,2.0,3.0,1.0,1.0,0.782608695652174,23.0,7.0,0.0,0.3333333333333333,0.5,30.0,7.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.6666666666666666,24.0,11.0,0.0,0.25,0.42857142857142855,42.0,1.0,0.0
13183,35.0,2004-06-22,76,1.0,2.0,7.0,0.0,0.3333333333333333,0.5,30.0,7.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.6666666666666666,24.0,11.0,0.0,0.25,0.42857142857142855,42.0,2.0,1.0,1.0,0.5757575757575758,33.0,0.0,1.0
13141,34.0,2004-06-15,76,1.0,2.0,7.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.6666666666666666,24.0,11.0,0.0,0.25,0.42857142857142855,42.0,2.0,1.0,1.0,0.5757575757575758,33.0,29.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
13068,32.0,2004-06-08,64,1.0,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,24.0,11.0,0.0,0.25,0.42857142857142855,42.0,2.0,1.0,1.0,0.5757575757575758,33.0,29.0,0.0,0.0,0.4090909090909091,22.0,30.0,0.0,0.0,0.44,25.0,1.0,0.0
13052,32.0,2004-06-07,64,1.0,2.0,11.0,0.0,0.25,0.42857142857142855,42.0,2.0,1.0,1.0,0.5757575757575758,33.0,29.0,0.0,0.0,0.4090909090909091,22.0,30.0,0.0,0.0,0.44,25.0,3.0,1.0,0.6666666666666666,0.4482758620689655,29.0,0.0,1.0
12965,30.0,2004-05-27,71,1.0,0.0,2.0,1.0,1.0,0.5757575757575758,33.0,29.0,0.0,0.0,0.4090909090909091,22.0,30.0,0.0,0.0,0.44,25.0,3.0,1.0,0.6666666666666666,0.4482758620689655,29.0,29.0,0.0,0.5,0.5217391304347826,23.0,1.0,0.0
12936,30.0,2004-05-25,71,1.0,0.0,29.0,0.0,0.0,0.4090909090909091,22.0,30.0,0.0,0.0,0.44,25.0,3.0,1.0,0.6666666666666666,0.4482758620689655,29.0,29.0,0.0,0.5,0.5217391304347826,23.0,8.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
12667,25.0,2004-04-26,73,1.0,0.0,30.0,0.0,0.0,0.44,25.0,3.0,1.0,0.6666666666666666,0.4482758620689655,29.0,29.0,0.0,0.5,0.5217391304347826,23.0,8.0,0.0,0.0,0.38095238095238093,21.0,3.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
12411,19.0,2004-03-27,71,1.0,3.0,3.0,1.0,0.6666666666666666,0.4482758620689655,29.0,29.0,0.0,0.5,0.5217391304347826,23.0,8.0,0.0,0.0,0.38095238095238093,21.0,3.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.8,15.0,1.0,0.0
12361,19.0,2004-03-24,71,1.0,3.0,29.0,0.0,0.5,0.5217391304347826,23.0,8.0,0.0,0.0,0.38095238095238093,21.0,3.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
12145,14.0,2004-02-24,51,0.0,3.0,8.0,0.0,0.0,0.38095238095238093,21.0,3.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0,1.0,0.6190476190476191,21.0,20.0,0.0,0.25,0.3870967741935484,31.0,0.0,0.0
12079,12.0,2004-02-16,50,0.0,3.0,3.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0,1.0,0.6190476190476191,21.0,20.0,0.0,0.25,0.3870967741935484,31.0,2.0,1.0,1.0,0.6666666666666666,27.0,0.0,0.0
11947,7.0,2004-02-13,51,0.0,1.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0,1.0,0.6190476190476191,21.0,20.0,0.0,0.25,0.3870967741935484,31.0,2.0,1.0,1.0,0.6666666666666666,27.0,85.0,0.0,0.0,0.38095238095238093,21.0,2.0,0.0
11939,7.0,2004-02-12,51,0.0,1.0,1.0,1.0,1.0,0.6190476190476191,21.0,20.0,0.0,0.25,0.3870967741935484,31.0,2.0,1.0,1.0,0.6666666666666666,27.0,85.0,0.0,0.0,0.38095238095238093,21.0,12.0,0.0,0.3333333333333333,0.43478260869565216,23.0,1.0,1.0
11930,7.0,2004-02-11,51,0.0,1.0,20.0,0.0,0.25,0.3870967741935484,31.0,2.0,1.0,1.0,0.6666666666666666,27.0,85.0,0.0,0.0,0.38095238095238093,21.0,12.0,0.0,0.3333333333333333,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.53125,32.0,0.0,1.0
11887,6.0,2004-01-22,43,1.0,3.0,2.0,1.0,1.0,0.6666666666666666,27.0,85.0,0.0,0.0,0.38095238095238093,21.0,12.0,0.0,0.3333333333333333,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.53125,32.0,8.0,0.0,0.0,0.3157894736842105,19.0,1.0,0.0
11846,6.0,2004-01-20,43,1.0,3.0,85.0,0.0,0.0,0.38095238095238093,21.0,12.0,0.0,0.3333333333333333,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.53125,32.0,8.0,0.0,0.0,0.3157894736842105,19.0,4.0,0.0,0.0,0.44,25.0,0.0,1.0
11589,66.0,2003-10-27,42,0.0,1.0,12.0,0.0,0.3333333333333333,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.53125,32.0,8.0,0.0,0.0,0.3157894736842105,19.0,4.0,0.0,0.0,0.44,25.0,1.0,1.0,0.6666666666666666,0.6206896551724138,29.0,0.0,0.0
11468,62.0,2003-10-15,36,0.0,3.0,1.0,1.0,0.6666666666666666,0.53125,32.0,8.0,0.0,0.0,0.3157894736842105,19.0,4.0,0.0,0.0,0.44,25.0,1.0,1.0,0.6666666666666666,0.6206896551724138,29.0,31.0,0.0,0.4,0.4716981132075472,53.0,1.0,0.0
