,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
24402,31.0,2008-05-25,1141,1.0,0.0,34.0,0.0,0.0,0.2,15.0,26.0,0.0,0.0,0.3157894736842105,19.0,42.0,0.0,0.0,0.3157894736842105,19.0,329.0,0.0,0.0,0.25,16.0,12.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
24091,24.0,2008-04-21,1145,1.0,0.0,26.0,0.0,0.0,0.3157894736842105,19.0,42.0,0.0,0.0,0.3157894736842105,19.0,329.0,0.0,0.0,0.25,16.0,12.0,0.0,0.0,0.38095238095238093,21.0,8.0,0.0,0.0,0.4,20.0,0.0,0.0
23900,20.0,2008-03-26,0,1.0,3.0,42.0,0.0,0.0,0.3157894736842105,19.0,329.0,0.0,0.0,0.25,16.0,12.0,0.0,0.0,0.38095238095238093,21.0,8.0,0.0,0.0,0.4,20.0,1.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
23470,8.0,2008-02-13,677,1.0,0.0,329.0,0.0,0.0,0.25,16.0,12.0,0.0,0.0,0.38095238095238093,21.0,8.0,0.0,0.0,0.4,20.0,1.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,0.0
21100,20.0,2007-03-21,670,1.0,3.0,12.0,0.0,0.0,0.38095238095238093,21.0,8.0,0.0,0.0,0.4,20.0,1.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,1.0,0.75,16.0,0.0,0.0
21000,19.0,2007-03-09,680,1.0,3.0,8.0,0.0,0.0,0.4,20.0,1.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,1.0,0.75,16.0,13.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
20978,18.0,2007-03-01,804,1.0,3.0,1.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,1.0,0.75,16.0,13.0,0.0,0.0,0.29411764705882354,17.0,2.0,0.0,0.0,0.46153846153846156,26.0,1.0,0.0
20972,18.0,2007-02-28,804,1.0,3.0,13.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,1.0,0.75,16.0,13.0,0.0,0.0,0.29411764705882354,17.0,2.0,0.0,0.0,0.46153846153846156,26.0,342.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,0.0
20731,10.0,2007-02-15,1076,1.0,0.0,2.0,1.0,1.0,0.75,16.0,13.0,0.0,0.0,0.29411764705882354,17.0,2.0,0.0,0.0,0.46153846153846156,26.0,342.0,0.0,0.3333333333333333,0.4642857142857143,28.0,173.0,0.0,0.25,0.42857142857142855,42.0,1.0,0.0
20717,10.0,2007-02-13,1076,1.0,0.0,13.0,0.0,0.0,0.29411764705882354,17.0,2.0,0.0,0.0,0.46153846153846156,26.0,342.0,0.0,0.3333333333333333,0.4642857142857143,28.0,173.0,0.0,0.25,0.42857142857142855,42.0,2.0,1.0,0.75,0.5813953488372093,43.0,0.0,1.0
