,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46632,54.0,2016-09-21,79,0.0,3.0,23.0,0.0,0.25,0.4,35.0,7.0,0.0,0.0,0.14285714285714285,14.0,53.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5555555555555556,36.0,7.0,0.0,0.3333333333333333,0.5,36.0,0.0,0.0
46494,52.0,2016-08-29,67,1.0,3.0,7.0,0.0,0.0,0.14285714285714285,14.0,53.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5555555555555556,36.0,7.0,0.0,0.3333333333333333,0.5,36.0,29.0,0.0,0.25,0.4444444444444444,36.0,0.0,0.0
46437,51.0,2016-08-22,66,1.0,3.0,53.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5555555555555556,36.0,7.0,0.0,0.3333333333333333,0.5,36.0,29.0,0.0,0.25,0.4444444444444444,36.0,6.0,0.0,0.0,0.2,15.0,0.0,0.0
46002,39.0,2016-06-30,57,1.0,2.0,2.0,1.0,1.0,0.5555555555555556,36.0,7.0,0.0,0.3333333333333333,0.5,36.0,29.0,0.0,0.25,0.4444444444444444,36.0,6.0,0.0,0.0,0.2,15.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
45967,39.0,2016-06-28,57,1.0,2.0,7.0,0.0,0.3333333333333333,0.5,36.0,29.0,0.0,0.25,0.4444444444444444,36.0,6.0,0.0,0.0,0.2,15.0,6.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,0.0,1.0
45897,38.0,2016-06-21,56,1.0,2.0,29.0,0.0,0.25,0.4444444444444444,36.0,6.0,0.0,0.0,0.2,15.0,6.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,11.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
45640,33.0,2016-05-23,83,1.0,0.0,6.0,0.0,0.0,0.2,15.0,6.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,11.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.8181818181818182,11.0,0.0,0.0
45587,31.0,2016-05-17,81,1.0,0.0,6.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,11.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.8181818181818182,11.0,8.0,0.0,0.3333333333333333,0.4,25.0,0.0,0.0
45553,30.0,2016-05-11,87,1.0,0.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,11.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.8181818181818182,11.0,8.0,0.0,0.3333333333333333,0.4,25.0,20.0,0.0,0.3333333333333333,0.36,25.0,1.0,0.0
45536,30.0,2016-05-09,87,1.0,0.0,11.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.8181818181818182,11.0,8.0,0.0,0.3333333333333333,0.4,25.0,20.0,0.0,0.3333333333333333,0.36,25.0,3.0,1.0,0.5,0.5238095238095238,21.0,0.0,1.0
45454,28.0,2016-04-28,88,1.0,0.0,2.0,1.0,1.0,0.8181818181818182,11.0,8.0,0.0,0.3333333333333333,0.4,25.0,20.0,0.0,0.3333333333333333,0.36,25.0,3.0,1.0,0.5,0.5238095238095238,21.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,0.0
45444,28.0,2016-04-26,88,1.0,0.0,8.0,0.0,0.3333333333333333,0.4,25.0,20.0,0.0,0.3333333333333333,0.36,25.0,3.0,1.0,0.5,0.5238095238095238,21.0,2.0,1.0,1.0,0.6666666666666666,18.0,11.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
45313,24.0,2016-04-18,89,1.0,0.0,20.0,0.0,0.3333333333333333,0.36,25.0,3.0,1.0,0.5,0.5238095238095238,21.0,2.0,1.0,1.0,0.6666666666666666,18.0,11.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
45185,20.0,2016-03-29,90,1.0,3.0,3.0,1.0,0.5,0.5238095238095238,21.0,2.0,1.0,1.0,0.6666666666666666,18.0,11.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,16.0,0.0,0.0,0.29411764705882354,17.0,2.0,0.0
45163,20.0,2016-03-26,90,1.0,3.0,2.0,1.0,1.0,0.6666666666666666,18.0,11.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,16.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.56,25.0,1.0,1.0
45130,20.0,2016-03-24,90,1.0,3.0,11.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,16.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.56,25.0,7.0,0.0,0.0,0.375,16.0,0.0,1.0
45066,19.0,2016-03-13,90,1.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,16.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.56,25.0,7.0,0.0,0.0,0.375,16.0,3.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
45029,19.0,2016-03-11,90,1.0,3.0,16.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.56,25.0,7.0,0.0,0.0,0.375,16.0,3.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6842105263157895,19.0,0.0,1.0
44975,17.0,2016-02-24,84,1.0,3.0,1.0,1.0,1.0,0.56,25.0,7.0,0.0,0.0,0.375,16.0,3.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6842105263157895,19.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,0.0
