,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
37130,18.0,2013-02-25,167,1.0,3.0,55.0,0.0,0.3333333333333333,0.4074074074074074,27.0,162.0,0.0,0.0,0.43478260869565216,23.0,4.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,0.6666666666666666,0.5625,32.0,8.0,0.0,0.3333333333333333,0.5172413793103449,29.0,0.0,0.0
36552,1.0,2013-01-01,162,1.0,3.0,162.0,0.0,0.0,0.43478260869565216,23.0,4.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,0.6666666666666666,0.5625,32.0,8.0,0.0,0.3333333333333333,0.5172413793103449,29.0,13.0,0.0,0.0,0.25,24.0,0.0,0.0
35773,46.0,2012-07-23,130,1.0,3.0,4.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,0.6666666666666666,0.5625,32.0,8.0,0.0,0.3333333333333333,0.5172413793103449,29.0,13.0,0.0,0.0,0.25,24.0,8.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
35676,42.0,2012-07-19,132,1.0,3.0,2.0,1.0,0.6666666666666666,0.5625,32.0,8.0,0.0,0.3333333333333333,0.5172413793103449,29.0,13.0,0.0,0.0,0.25,24.0,8.0,0.0,0.0,0.14285714285714285,14.0,6.0,0.0,0.3333333333333333,0.46875,32.0,1.0,0.0
35666,42.0,2012-07-17,132,1.0,3.0,8.0,0.0,0.3333333333333333,0.5172413793103449,29.0,13.0,0.0,0.0,0.25,24.0,8.0,0.0,0.0,0.14285714285714285,14.0,6.0,0.0,0.3333333333333333,0.46875,32.0,14.0,0.0,0.0,0.21739130434782608,23.0,0.0,1.0
35576,39.0,2012-07-09,126,1.0,2.0,13.0,0.0,0.0,0.25,24.0,8.0,0.0,0.0,0.14285714285714285,14.0,6.0,0.0,0.3333333333333333,0.46875,32.0,14.0,0.0,0.0,0.21739130434782608,23.0,28.0,0.0,0.3333333333333333,0.4411764705882353,34.0,0.0,0.0
35464,37.0,2012-06-26,116,1.0,2.0,8.0,0.0,0.0,0.14285714285714285,14.0,6.0,0.0,0.3333333333333333,0.46875,32.0,14.0,0.0,0.0,0.21739130434782608,23.0,28.0,0.0,0.3333333333333333,0.4411764705882353,34.0,8.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
35400,36.0,2012-06-18,115,1.0,2.0,6.0,0.0,0.3333333333333333,0.46875,32.0,14.0,0.0,0.0,0.21739130434782608,23.0,28.0,0.0,0.3333333333333333,0.4411764705882353,34.0,8.0,0.0,0.0,0.4090909090909091,22.0,10.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
35318,34.0,2012-06-12,100,1.0,2.0,14.0,0.0,0.0,0.21739130434782608,23.0,28.0,0.0,0.3333333333333333,0.4411764705882353,34.0,8.0,0.0,0.0,0.4090909090909091,22.0,10.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
35214,32.0,2012-05-29,102,1.0,0.0,28.0,0.0,0.3333333333333333,0.4411764705882353,34.0,8.0,0.0,0.0,0.4090909090909091,22.0,10.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6666666666666666,18.0,17.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
