,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46215,46.0,2016-07-19,311,1.0,3.0,7.0,0.0,0.0,0.43478260869565216,23.0,715.0,0.0,0.0,0.2,15.0,5.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.4166666666666667,24.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
46110,42.0,2016-07-12,327,1.0,2.0,715.0,0.0,0.0,0.2,15.0,5.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.4166666666666667,24.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
41041,47.0,2014-07-28,168,1.0,3.0,5.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.4166666666666667,24.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.3684210526315789,19.0,15.0,0.0,0.4,0.5,48.0,0.0,0.0
40941,43.0,2014-07-23,171,1.0,3.0,7.0,0.0,0.0,0.4166666666666667,24.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.3684210526315789,19.0,15.0,0.0,0.4,0.5,48.0,108.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
40868,41.0,2014-07-16,155,1.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.3684210526315789,19.0,15.0,0.0,0.4,0.5,48.0,108.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
40856,41.0,2014-07-14,155,1.0,0.0,6.0,0.0,0.0,0.3684210526315789,19.0,15.0,0.0,0.4,0.5,48.0,108.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5,30.0,0.0,1.0
40813,39.0,2014-07-08,149,1.0,2.0,15.0,0.0,0.4,0.5,48.0,108.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5,30.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
40668,37.0,2014-06-23,148,1.0,2.0,108.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5,30.0,2.0,1.0,1.0,0.631578947368421,19.0,42.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
39801,19.0,2014-03-07,127,1.0,3.0,21.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5,30.0,2.0,1.0,1.0,0.631578947368421,19.0,42.0,0.0,0.0,0.3684210526315789,19.0,153.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
39572,11.0,2014-02-14,141,0.0,3.0,1.0,1.0,0.6666666666666666,0.5,30.0,2.0,1.0,1.0,0.631578947368421,19.0,42.0,0.0,0.0,0.3684210526315789,19.0,153.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,0.0
39566,11.0,2014-02-13,141,0.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,42.0,0.0,0.0,0.3684210526315789,19.0,153.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,20.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0
39558,11.0,2014-02-11,141,0.0,3.0,42.0,0.0,0.0,0.3684210526315789,19.0,153.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,20.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
39178,1.0,2013-12-31,142,1.0,3.0,153.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,20.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,14.0,0.0,0.0,0.3793103448275862,29.0,0.0,0.0
38431,47.0,2013-07-31,139,1.0,3.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,20.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,14.0,0.0,0.0,0.3793103448275862,29.0,28.0,0.0,0.0,0.32142857142857145,28.0,1.0,0.0
38417,47.0,2013-07-30,139,1.0,3.0,20.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,14.0,0.0,0.0,0.3793103448275862,29.0,28.0,0.0,0.0,0.32142857142857145,28.0,315.0,0.0,0.3333333333333333,0.5161290322580645,31.0,0.0,1.0
38186,39.0,2013-07-10,163,1.0,2.0,1.0,1.0,1.0,0.631578947368421,19.0,14.0,0.0,0.0,0.3793103448275862,29.0,28.0,0.0,0.0,0.32142857142857145,28.0,315.0,0.0,0.3333333333333333,0.5161290322580645,31.0,526.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
