,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46642,54.0,2016-09-22,46,0.0,3.0,1.0,1.0,1.0,0.6190476190476191,21.0,18.0,0.0,0.0,0.28,25.0,3.0,1.0,1.0,0.5714285714285714,35.0,2.0,1.0,0.75,0.55,40.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
46636,54.0,2016-09-21,46,0.0,3.0,18.0,0.0,0.0,0.28,25.0,3.0,1.0,1.0,0.5714285714285714,35.0,2.0,1.0,0.75,0.55,40.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.0,0.5,10.0,0.0,1.0
46574,52.0,2016-09-03,47,1.0,3.0,3.0,1.0,1.0,0.5714285714285714,35.0,2.0,1.0,0.75,0.55,40.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.0,0.5,10.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
46545,52.0,2016-08-31,47,1.0,3.0,2.0,1.0,0.75,0.55,40.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.0,0.5,10.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.25,16.0,1.0,1.0
46472,52.0,2016-08-29,47,1.0,3.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.0,0.5,10.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.25,16.0,23.0,0.0,0.0,0.3939393939393939,33.0,0.0,1.0
46465,51.0,2016-08-25,42,1.0,3.0,1.0,1.0,0.0,0.5,10.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.25,16.0,23.0,0.0,0.0,0.3939393939393939,33.0,2.0,1.0,1.0,0.6206896551724138,29.0,2.0,0.0
46460,51.0,2016-08-24,42,1.0,3.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.25,16.0,23.0,0.0,0.0,0.3939393939393939,33.0,2.0,1.0,1.0,0.6206896551724138,29.0,3.0,1.0,0.6,0.5306122448979592,49.0,1.0,1.0
46442,51.0,2016-08-23,42,1.0,3.0,29.0,0.0,0.0,0.25,16.0,23.0,0.0,0.0,0.3939393939393939,33.0,2.0,1.0,1.0,0.6206896551724138,29.0,3.0,1.0,0.6,0.5306122448979592,49.0,13.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
46266,47.0,2016-07-25,45,1.0,3.0,23.0,0.0,0.0,0.3939393939393939,33.0,2.0,1.0,1.0,0.6206896551724138,29.0,3.0,1.0,0.6,0.5306122448979592,49.0,13.0,0.0,0.0,0.4090909090909091,22.0,20.0,0.0,0.0,0.3333333333333333,27.0,0.0,0.0
46018,39.0,2016-07-02,42,1.0,2.0,2.0,1.0,1.0,0.6206896551724138,29.0,3.0,1.0,0.6,0.5306122448979592,49.0,13.0,0.0,0.0,0.4090909090909091,22.0,20.0,0.0,0.0,0.3333333333333333,27.0,3.0,1.0,1.0,0.6923076923076923,26.0,2.0,0.0
45996,39.0,2016-06-30,42,1.0,2.0,3.0,1.0,0.6,0.5306122448979592,49.0,13.0,0.0,0.0,0.4090909090909091,22.0,20.0,0.0,0.0,0.3333333333333333,27.0,3.0,1.0,1.0,0.6923076923076923,26.0,3.0,0.0,0.3333333333333333,0.3333333333333333,21.0,1.0,1.0
45949,39.0,2016-06-27,42,1.0,2.0,13.0,0.0,0.0,0.4090909090909091,22.0,20.0,0.0,0.0,0.3333333333333333,27.0,3.0,1.0,1.0,0.6923076923076923,26.0,3.0,0.0,0.3333333333333333,0.3333333333333333,21.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
45820,36.0,2016-06-14,43,1.0,2.0,20.0,0.0,0.0,0.3333333333333333,27.0,3.0,1.0,1.0,0.6923076923076923,26.0,3.0,0.0,0.3333333333333333,0.3333333333333333,21.0,1.0,1.0,1.0,0.5909090909090909,22.0,3.0,1.0,1.0,0.75,16.0,0.0,0.0
45696,33.0,2016-05-25,40,1.0,0.0,3.0,1.0,1.0,0.6923076923076923,26.0,3.0,0.0,0.3333333333333333,0.3333333333333333,21.0,1.0,1.0,1.0,0.5909090909090909,22.0,3.0,1.0,1.0,0.75,16.0,12.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
45634,33.0,2016-05-22,40,1.0,0.0,3.0,0.0,0.3333333333333333,0.3333333333333333,21.0,1.0,1.0,1.0,0.5909090909090909,22.0,3.0,1.0,1.0,0.75,16.0,12.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6,20.0,0.0,1.0
45599,31.0,2016-05-19,40,1.0,0.0,1.0,1.0,1.0,0.5909090909090909,22.0,3.0,1.0,1.0,0.75,16.0,12.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6,20.0,10.0,0.0,0.0,0.25,16.0,2.0,0.0
45591,31.0,2016-05-18,40,1.0,0.0,3.0,1.0,1.0,0.75,16.0,12.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6,20.0,10.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0
45577,31.0,2016-05-15,40,1.0,0.0,12.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6,20.0,10.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
45490,29.0,2016-05-03,39,1.0,0.0,1.0,1.0,1.0,0.6,20.0,10.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.5652173913043478,23.0,10.0,0.0,0.0,0.44,25.0,1.0,0.0
45471,29.0,2016-05-02,39,1.0,0.0,10.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.5652173913043478,23.0,10.0,0.0,0.0,0.44,25.0,12.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
45354,24.0,2016-04-22,47,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.5652173913043478,23.0,10.0,0.0,0.0,0.44,25.0,12.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,2.0,0.0
45349,24.0,2016-04-21,47,1.0,0.0,1.0,1.0,1.0,0.5652173913043478,23.0,10.0,0.0,0.0,0.44,25.0,12.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0
45339,24.0,2016-04-20,47,1.0,0.0,10.0,0.0,0.0,0.44,25.0,12.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,2.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
45256,23.0,2016-04-10,46,1.0,0.0,12.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,2.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,9.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
