,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46476,52.0,2016-08-29,99,1.0,3.0,39.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,8.0,0.0,0.0,0.29411764705882354,17.0,9.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.75,0.5365853658536586,41.0,0.0,0.0
46242,46.0,2016-07-21,102,1.0,3.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,8.0,0.0,0.0,0.29411764705882354,17.0,9.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.75,0.5365853658536586,41.0,3.0,1.0,0.75,0.5681818181818182,44.0,1.0,0.0
46227,46.0,2016-07-19,102,1.0,3.0,8.0,0.0,0.0,0.29411764705882354,17.0,9.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.75,0.5365853658536586,41.0,3.0,1.0,0.75,0.5681818181818182,44.0,21.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
46105,42.0,2016-07-11,98,1.0,2.0,9.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.75,0.5365853658536586,41.0,3.0,1.0,0.75,0.5681818181818182,44.0,21.0,0.0,0.0,0.29411764705882354,17.0,60.0,0.0,0.0,0.35,20.0,0.0,0.0
46019,39.0,2016-07-02,123,1.0,2.0,2.0,1.0,0.75,0.5365853658536586,41.0,3.0,1.0,0.75,0.5681818181818182,44.0,21.0,0.0,0.0,0.29411764705882354,17.0,60.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.6842105263157895,19.0,2.0,0.0
45989,39.0,2016-06-30,123,1.0,2.0,3.0,1.0,0.75,0.5681818181818182,44.0,21.0,0.0,0.0,0.29411764705882354,17.0,60.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.6842105263157895,19.0,64.0,0.0,0.0,0.4166666666666667,24.0,1.0,1.0
45927,39.0,2016-06-27,123,1.0,2.0,21.0,0.0,0.0,0.29411764705882354,17.0,60.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.6842105263157895,19.0,64.0,0.0,0.0,0.4166666666666667,24.0,154.0,0.0,0.0,0.25,24.0,0.0,1.0
45785,35.0,2016-06-06,119,1.0,2.0,60.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.6842105263157895,19.0,64.0,0.0,0.0,0.4166666666666667,24.0,154.0,0.0,0.0,0.25,24.0,27.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
45219,21.0,2016-04-07,114,1.0,0.0,2.0,1.0,1.0,0.6842105263157895,19.0,64.0,0.0,0.0,0.4166666666666667,24.0,154.0,0.0,0.0,0.25,24.0,27.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.3333333333333333,0.35714285714285715,28.0,1.0,0.0
45212,21.0,2016-04-05,114,1.0,0.0,64.0,0.0,0.0,0.4166666666666667,24.0,154.0,0.0,0.0,0.25,24.0,27.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.3333333333333333,0.35714285714285715,28.0,13.0,0.0,0.3333333333333333,0.5,32.0,0.0,1.0
44669,7.0,2016-02-01,109,0.0,3.0,154.0,0.0,0.0,0.25,24.0,27.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.3333333333333333,0.35714285714285715,28.0,13.0,0.0,0.3333333333333333,0.5,32.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,0.0,0.0
43856,52.0,2015-08-31,116,1.0,3.0,27.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.3333333333333333,0.35714285714285715,28.0,13.0,0.0,0.3333333333333333,0.5,32.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,15.0,0.0,0.4,0.42857142857142855,49.0,0.0,0.0
43651,48.0,2015-08-04,117,1.0,3.0,7.0,0.0,0.3333333333333333,0.35714285714285715,28.0,13.0,0.0,0.3333333333333333,0.5,32.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,15.0,0.0,0.4,0.42857142857142855,49.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,0.0
43533,44.0,2015-07-28,102,1.0,3.0,13.0,0.0,0.3333333333333333,0.5,32.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,15.0,0.0,0.4,0.42857142857142855,49.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,20.0,0.0,0.0,0.21739130434782608,23.0,0.0,0.0
43436,40.0,2015-07-15,93,1.0,2.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,15.0,0.0,0.4,0.42857142857142855,49.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,20.0,0.0,0.0,0.21739130434782608,23.0,99.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
43424,40.0,2015-07-14,93,1.0,2.0,15.0,0.0,0.4,0.42857142857142855,49.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,20.0,0.0,0.0,0.21739130434782608,23.0,99.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
43309,39.0,2015-06-29,94,1.0,2.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,20.0,0.0,0.0,0.21739130434782608,23.0,99.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
43185,36.0,2015-06-15,94,1.0,2.0,20.0,0.0,0.0,0.21739130434782608,23.0,99.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.0,0.14285714285714285,14.0,12.0,0.0,0.25,0.4,40.0,0.0,0.0
43049,33.0,2015-05-26,94,1.0,0.0,99.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.0,0.14285714285714285,14.0,12.0,0.0,0.25,0.4,40.0,2.0,1.0,0.6,0.58,50.0,0.0,0.0
42204,13.0,2015-02-16,87,1.0,3.0,6.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.0,0.14285714285714285,14.0,12.0,0.0,0.25,0.4,40.0,2.0,1.0,0.6,0.58,50.0,13.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
42123,10.0,2015-02-10,91,0.0,3.0,8.0,0.0,0.0,0.14285714285714285,14.0,12.0,0.0,0.25,0.4,40.0,2.0,1.0,0.6,0.58,50.0,13.0,0.0,0.0,0.4090909090909091,22.0,83.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
