,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46641,54.0,2016-09-22,73,0.0,3.0,2.0,1.0,0.6666666666666666,0.56,25.0,22.0,0.0,0.4,0.45454545454545453,44.0,16.0,0.0,0.0,0.3,10.0,1.0,1.0,1.0,0.56,25.0,1.0,1.0,0.6666666666666666,0.5,32.0,1.0,0.0
46631,54.0,2016-09-20,73,0.0,3.0,22.0,0.0,0.4,0.45454545454545453,44.0,16.0,0.0,0.0,0.3,10.0,1.0,1.0,1.0,0.56,25.0,1.0,1.0,0.6666666666666666,0.5,32.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
46488,52.0,2016-08-29,59,1.0,3.0,16.0,0.0,0.0,0.3,10.0,1.0,1.0,1.0,0.56,25.0,1.0,1.0,0.6666666666666666,0.5,32.0,1.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
46366,49.0,2016-08-13,72,1.0,3.0,1.0,1.0,1.0,0.56,25.0,1.0,1.0,0.6666666666666666,0.5,32.0,1.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.0,0.43478260869565216,23.0,11.0,0.0,0.0,0.25,16.0,3.0,0.0
46363,49.0,2016-08-12,72,1.0,3.0,1.0,1.0,0.6666666666666666,0.5,32.0,1.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.0,0.43478260869565216,23.0,11.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0
46359,49.0,2016-08-11,72,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.0,0.43478260869565216,23.0,11.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0
46351,49.0,2016-08-10,72,1.0,3.0,8.0,0.0,0.0,0.43478260869565216,23.0,11.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.65,20.0,0.0,1.0
46325,48.0,2016-08-02,70,1.0,3.0,11.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.65,20.0,21.0,0.0,0.4,0.46808510638297873,47.0,0.0,0.0
46183,44.0,2016-07-22,83,1.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.65,20.0,21.0,0.0,0.4,0.46808510638297873,47.0,21.0,0.0,0.0,0.14285714285714285,14.0,3.0,0.0
46180,44.0,2016-07-21,83,1.0,0.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.65,20.0,21.0,0.0,0.4,0.46808510638297873,47.0,21.0,0.0,0.0,0.14285714285714285,14.0,13.0,0.0,0.3333333333333333,0.35714285714285715,28.0,2.0,1.0
