,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
44700,8.0,2016-02-01,222,1.0,0.0,362.0,0.0,0.3333333333333333,0.4,30.0,1652.0,0.0,0.0,0.44,25.0,44.0,0.0,0.3333333333333333,0.45714285714285713,35.0,236.0,0.0,0.0,0.2,15.0,51.0,0.0,0.4,0.44680851063829785,47.0,0.0,0.0
42076,8.0,2015-02-04,307,1.0,0.0,1652.0,0.0,0.0,0.44,25.0,44.0,0.0,0.3333333333333333,0.45714285714285713,35.0,236.0,0.0,0.0,0.2,15.0,51.0,0.0,0.4,0.44680851063829785,47.0,146.0,0.0,0.3333333333333333,0.38095238095238093,21.0,0.0,0.0
30397,43.0,2010-07-28,278,1.0,3.0,44.0,0.0,0.3333333333333333,0.45714285714285713,35.0,236.0,0.0,0.0,0.2,15.0,51.0,0.0,0.4,0.44680851063829785,47.0,146.0,0.0,0.3333333333333333,0.38095238095238093,21.0,50.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
30021,34.0,2010-06-14,255,1.0,2.0,236.0,0.0,0.0,0.2,15.0,51.0,0.0,0.4,0.44680851063829785,47.0,146.0,0.0,0.3333333333333333,0.38095238095238093,21.0,50.0,0.0,0.0,0.3333333333333333,18.0,1074.0,0.0,0.3333333333333333,0.43333333333333335,30.0,0.0,0.0
28347,57.0,2009-10-21,224,0.0,3.0,51.0,0.0,0.4,0.44680851063829785,47.0,146.0,0.0,0.3333333333333333,0.38095238095238093,21.0,50.0,0.0,0.0,0.3333333333333333,18.0,1074.0,0.0,0.3333333333333333,0.43333333333333335,30.0,219.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
27949,49.0,2009-08-31,182,1.0,3.0,146.0,0.0,0.3333333333333333,0.38095238095238093,21.0,50.0,0.0,0.0,0.3333333333333333,18.0,1074.0,0.0,0.3333333333333333,0.43333333333333335,30.0,219.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
26721,22.0,2009-04-07,190,1.0,0.0,50.0,0.0,0.0,0.3333333333333333,18.0,1074.0,0.0,0.3333333333333333,0.43333333333333335,30.0,219.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,11.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
26307,13.0,2009-02-16,213,1.0,0.0,1074.0,0.0,0.3333333333333333,0.43333333333333335,30.0,219.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,11.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,0.0,0.0
18084,19.0,2006-03-10,289,1.0,3.0,219.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,11.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
16568,47.0,2005-08-03,130,1.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,11.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,1.0,1.0,1.0,0.5909090909090909,22.0,13.0,0.0,0.5,0.4666666666666667,30.0,1.0,0.0
