,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
9333,15.0,2003-02-27,184,0.0,3.0,2.0,1.0,1.0,0.8571428571428571,14.0,42.0,0.0,0.4,0.41304347826086957,46.0,106.0,0.0,0.0,0.44,25.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,1.0,1.0,0.65,20.0,1.0,0.0
9318,15.0,2003-02-25,184,0.0,3.0,42.0,0.0,0.4,0.41304347826086957,46.0,106.0,0.0,0.0,0.44,25.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,1.0,1.0,0.65,20.0,0.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
8977,6.0,2003-01-14,155,1.0,3.0,106.0,0.0,0.0,0.44,25.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,1.0,1.0,0.65,20.0,0.0,1.0,1.0,0.6190476190476191,21.0,7.0,0.0,0.0,0.4,20.0,0.0,0.0
8510,58.0,2002-09-30,174,1.0,3.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,1.0,1.0,0.65,20.0,0.0,1.0,1.0,0.6190476190476191,21.0,7.0,0.0,0.0,0.4,20.0,42.0,0.0,0.3333333333333333,0.4411764705882353,34.0,3.0,0.0
8504,58.0,2002-09-30,174,1.0,3.0,0.0,1.0,1.0,0.65,20.0,0.0,1.0,1.0,0.6190476190476191,21.0,7.0,0.0,0.0,0.4,20.0,42.0,0.0,0.3333333333333333,0.4411764705882353,34.0,35.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0
8492,58.0,2002-09-30,174,1.0,3.0,0.0,1.0,1.0,0.6190476190476191,21.0,7.0,0.0,0.0,0.4,20.0,42.0,0.0,0.3333333333333333,0.4411764705882353,34.0,35.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.4,0.46153846153846156,52.0,1.0,1.0
8474,58.0,2002-09-30,174,1.0,3.0,7.0,0.0,0.0,0.4,20.0,42.0,0.0,0.3333333333333333,0.4411764705882353,34.0,35.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.4,0.46153846153846156,52.0,7.0,0.0,0.3333333333333333,0.45714285714285713,35.0,0.0,1.0
8371,55.0,2002-09-23,156,1.0,3.0,42.0,0.0,0.3333333333333333,0.4411764705882353,34.0,35.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.4,0.46153846153846156,52.0,7.0,0.0,0.3333333333333333,0.45714285714285713,35.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
8002,48.0,2002-08-12,160,1.0,3.0,35.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.4,0.46153846153846156,52.0,7.0,0.0,0.3333333333333333,0.45714285714285713,35.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
7576,37.0,2002-07-08,160,1.0,0.0,14.0,0.0,0.4,0.46153846153846156,52.0,7.0,0.0,0.3333333333333333,0.45714285714285713,35.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.3333333333333333,0.45714285714285713,35.0,0.0,0.0
7499,36.0,2002-06-24,131,1.0,2.0,7.0,0.0,0.3333333333333333,0.45714285714285713,35.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.3333333333333333,0.45714285714285713,35.0,119.0,0.0,0.3333333333333333,0.4857142857142857,35.0,0.0,0.0
7408,34.0,2002-06-17,146,1.0,2.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.3333333333333333,0.45714285714285713,35.0,119.0,0.0,0.3333333333333333,0.4857142857142857,35.0,0.0,1.0,1.0,0.7058823529411765,17.0,2.0,0.0
