,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
25886,2.0,2009-01-05,115,1.0,3.0,96.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,1.0,0.7058823529411765,17.0,5.0,0.0,0.3333333333333333,0.4230769230769231,26.0,16.0,0.0,0.0,0.35,20.0,13.0,0.0,0.4,0.4791666666666667,48.0,0.0,0.0
25523,56.0,2008-10-01,155,1.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,5.0,0.0,0.3333333333333333,0.4230769230769231,26.0,16.0,0.0,0.0,0.35,20.0,13.0,0.0,0.4,0.4791666666666667,48.0,64.0,0.0,0.3333333333333333,0.4,30.0,1.0,0.0
25509,56.0,2008-09-29,155,1.0,3.0,5.0,0.0,0.3333333333333333,0.4230769230769231,26.0,16.0,0.0,0.0,0.35,20.0,13.0,0.0,0.4,0.4791666666666667,48.0,64.0,0.0,0.3333333333333333,0.4,30.0,14.0,0.0,0.0,0.375,8.0,0.0,1.0
25458,54.0,2008-09-24,154,1.0,3.0,16.0,0.0,0.0,0.35,20.0,13.0,0.0,0.4,0.4791666666666667,48.0,64.0,0.0,0.3333333333333333,0.4,30.0,14.0,0.0,0.0,0.375,8.0,12.0,0.0,0.25,0.37142857142857144,35.0,0.0,0.0
25395,52.0,2008-09-08,142,1.0,0.0,13.0,0.0,0.4,0.4791666666666667,48.0,64.0,0.0,0.3333333333333333,0.4,30.0,14.0,0.0,0.0,0.375,8.0,12.0,0.0,0.25,0.37142857142857144,35.0,2.0,1.0,1.0,0.6206896551724138,29.0,0.0,0.0
25298,51.0,2008-08-26,101,1.0,3.0,64.0,0.0,0.3333333333333333,0.4,30.0,14.0,0.0,0.0,0.375,8.0,12.0,0.0,0.25,0.37142857142857144,35.0,2.0,1.0,1.0,0.6206896551724138,29.0,21.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
24723,37.0,2008-06-23,56,1.0,2.0,14.0,0.0,0.0,0.375,8.0,12.0,0.0,0.25,0.37142857142857144,35.0,2.0,1.0,1.0,0.6206896551724138,29.0,21.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,1.0,0.43478260869565216,23.0,0.0,0.0
24557,33.0,2008-06-09,55,1.0,2.0,12.0,0.0,0.25,0.37142857142857144,35.0,2.0,1.0,1.0,0.6206896551724138,29.0,21.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,1.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
24462,31.0,2008-05-28,52,1.0,0.0,2.0,1.0,1.0,0.6206896551724138,29.0,21.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,1.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,1.0,0.0
24415,31.0,2008-05-26,52,1.0,0.0,21.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,1.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,7.0,0.0,0.0,0.2777777777777778,18.0,0.0,1.0
