,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
19053,36.0,2006-06-29,252,1.0,2.0,1.0,1.0,1.0,0.5882352941176471,34.0,16.0,0.0,0.0,0.29411764705882354,17.0,1084.0,0.0,0.25,0.3870967741935484,31.0,316.0,0.0,0.3333333333333333,0.4482758620689655,29.0,21.0,0.0,0.0,0.44,25.0,1.0,0.0
19024,36.0,2006-06-28,252,1.0,2.0,16.0,0.0,0.0,0.29411764705882354,17.0,1084.0,0.0,0.25,0.3870967741935484,31.0,316.0,0.0,0.3333333333333333,0.4482758620689655,29.0,21.0,0.0,0.0,0.44,25.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
18868,33.0,2006-06-12,256,1.0,2.0,1084.0,0.0,0.25,0.3870967741935484,31.0,316.0,0.0,0.3333333333333333,0.4482758620689655,29.0,21.0,0.0,0.0,0.44,25.0,0.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.25,16.0,0.0,0.0
10340,36.0,2003-06-24,332,1.0,2.0,316.0,0.0,0.3333333333333333,0.4482758620689655,29.0,21.0,0.0,0.0,0.44,25.0,0.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.25,16.0,0.0,1.0,0.6666666666666666,0.52,25.0,0.0,0.0
8048,49.0,2002-08-12,167,1.0,3.0,21.0,0.0,0.0,0.44,25.0,0.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.25,16.0,0.0,1.0,0.6666666666666666,0.52,25.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,0.0,0.0
7822,44.0,2002-07-22,163,1.0,3.0,0.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.25,16.0,0.0,1.0,0.6666666666666666,0.52,25.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,14.0,0.0,0.0,0.3870967741935484,31.0,1.0,0.0
7811,44.0,2002-07-22,163,1.0,3.0,14.0,0.0,0.0,0.25,16.0,0.0,1.0,0.6666666666666666,0.52,25.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,14.0,0.0,0.0,0.3870967741935484,31.0,7.0,0.0,0.3333333333333333,0.4666666666666667,30.0,0.0,1.0
7658,39.0,2002-07-08,127,1.0,2.0,0.0,1.0,0.6666666666666666,0.52,25.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,14.0,0.0,0.0,0.3870967741935484,31.0,7.0,0.0,0.3333333333333333,0.4666666666666667,30.0,7.0,0.0,0.0,0.3157894736842105,19.0,2.0,0.0
7653,39.0,2002-07-08,127,1.0,2.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,14.0,0.0,0.0,0.3870967741935484,31.0,7.0,0.0,0.3333333333333333,0.4666666666666667,30.0,7.0,0.0,0.0,0.3157894736842105,19.0,14.0,0.0,0.0,0.3125,16.0,1.0,1.0
7642,39.0,2002-07-08,127,1.0,2.0,14.0,0.0,0.0,0.3870967741935484,31.0,7.0,0.0,0.3333333333333333,0.4666666666666667,30.0,7.0,0.0,0.0,0.3157894736842105,19.0,14.0,0.0,0.0,0.3125,16.0,35.0,0.0,0.0,0.2,15.0,0.0,1.0
7492,36.0,2002-06-24,116,1.0,2.0,7.0,0.0,0.3333333333333333,0.4666666666666667,30.0,7.0,0.0,0.0,0.3157894736842105,19.0,14.0,0.0,0.0,0.3125,16.0,35.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
7423,35.0,2002-06-17,94,1.0,2.0,7.0,0.0,0.0,0.3157894736842105,19.0,14.0,0.0,0.0,0.3125,16.0,35.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.29411764705882354,17.0,35.0,0.0,0.3333333333333333,0.42424242424242425,33.0,0.0,0.0
7341,33.0,2002-06-10,94,1.0,2.0,14.0,0.0,0.0,0.3125,16.0,35.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.29411764705882354,17.0,35.0,0.0,0.3333333333333333,0.42424242424242425,33.0,14.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
7213,31.0,2002-05-27,97,1.0,0.0,35.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.29411764705882354,17.0,35.0,0.0,0.3333333333333333,0.42424242424242425,33.0,14.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0,1.0,0.5384615384615384,26.0,0.0,0.0
6930,25.0,2002-04-22,100,1.0,0.0,14.0,0.0,0.0,0.29411764705882354,17.0,35.0,0.0,0.3333333333333333,0.42424242424242425,33.0,14.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
6772,22.0,2002-04-08,100,1.0,0.0,35.0,0.0,0.3333333333333333,0.42424242424242425,33.0,14.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.0,0.38095238095238093,21.0,28.0,0.0,0.0,0.2692307692307692,26.0,0.0,0.0
6557,18.0,2002-03-04,96,1.0,3.0,14.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.0,0.38095238095238093,21.0,28.0,0.0,0.0,0.2692307692307692,26.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
6413,13.0,2002-02-18,102,0.0,3.0,0.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.0,0.38095238095238093,21.0,28.0,0.0,0.0,0.2692307692307692,26.0,14.0,0.0,0.0,0.3684210526315789,19.0,91.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
6403,13.0,2002-02-18,102,0.0,3.0,7.0,0.0,0.0,0.38095238095238093,21.0,28.0,0.0,0.0,0.2692307692307692,26.0,14.0,0.0,0.0,0.3684210526315789,19.0,91.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.0,0.25,16.0,0.0,1.0
6252,8.0,2002-02-11,102,0.0,3.0,28.0,0.0,0.0,0.2692307692307692,26.0,14.0,0.0,0.0,0.3684210526315789,19.0,91.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.0,0.25,16.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
6091,6.0,2002-01-14,103,1.0,3.0,14.0,0.0,0.0,0.3684210526315789,19.0,91.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.0,0.25,16.0,0.0,1.0,1.0,0.6666666666666666,18.0,14.0,0.0,0.4,0.48936170212765956,47.0,0.0,0.0
5967,2.0,2001-12-31,105,1.0,3.0,91.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.0,0.25,16.0,0.0,1.0,1.0,0.6666666666666666,18.0,14.0,0.0,0.4,0.48936170212765956,47.0,14.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
5619,61.0,2001-10-01,115,1.0,3.0,21.0,0.0,0.0,0.25,16.0,0.0,1.0,1.0,0.6666666666666666,18.0,14.0,0.0,0.4,0.48936170212765956,47.0,14.0,0.0,0.0,0.43478260869565216,23.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,0.0
