,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
38487,48.0,2013-08-07,132,1.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.44,25.0,23.0,0.0,0.0,0.4166666666666667,24.0,11.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,0.5,0.5227272727272727,44.0,1.0,0.0
38463,48.0,2013-08-06,132,1.0,3.0,6.0,0.0,0.0,0.44,25.0,23.0,0.0,0.0,0.4166666666666667,24.0,11.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,0.5,0.5227272727272727,44.0,15.0,0.0,0.0,0.4,20.0,0.0,1.0
38420,47.0,2013-07-31,124,1.0,3.0,23.0,0.0,0.0,0.4166666666666667,24.0,11.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,0.5,0.5227272727272727,44.0,15.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.21739130434782608,23.0,0.0,0.0
38170,39.0,2013-07-08,123,1.0,2.0,11.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,0.5,0.5227272727272727,44.0,15.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.21739130434782608,23.0,21.0,0.0,0.0,0.25,16.0,0.0,0.0
38097,37.0,2013-06-27,112,1.0,2.0,2.0,1.0,0.5,0.5227272727272727,44.0,15.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.21739130434782608,23.0,21.0,0.0,0.0,0.25,16.0,27.0,0.0,0.3333333333333333,0.45714285714285713,35.0,1.0,0.0
38051,37.0,2013-06-25,112,1.0,2.0,15.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.21739130434782608,23.0,21.0,0.0,0.0,0.25,16.0,27.0,0.0,0.3333333333333333,0.45714285714285713,35.0,19.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0
37903,34.0,2013-06-10,107,1.0,2.0,14.0,0.0,0.0,0.21739130434782608,23.0,21.0,0.0,0.0,0.25,16.0,27.0,0.0,0.3333333333333333,0.45714285714285713,35.0,19.0,0.0,0.3333333333333333,0.46875,32.0,22.0,0.0,0.3333333333333333,0.4857142857142857,35.0,0.0,0.0
37762,32.0,2013-05-27,90,1.0,0.0,21.0,0.0,0.0,0.25,16.0,27.0,0.0,0.3333333333333333,0.45714285714285713,35.0,19.0,0.0,0.3333333333333333,0.46875,32.0,22.0,0.0,0.3333333333333333,0.4857142857142857,35.0,13.0,0.0,0.0,0.25,16.0,0.0,0.0
37589,28.0,2013-05-06,92,1.0,0.0,27.0,0.0,0.3333333333333333,0.45714285714285713,35.0,19.0,0.0,0.3333333333333333,0.46875,32.0,22.0,0.0,0.3333333333333333,0.4857142857142857,35.0,13.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.65,20.0,0.0,0.0
37378,22.0,2013-04-09,96,1.0,0.0,19.0,0.0,0.3333333333333333,0.46875,32.0,22.0,0.0,0.3333333333333333,0.4857142857142857,35.0,13.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.65,20.0,26.0,0.0,0.25,0.4473684210526316,38.0,0.0,0.0
