,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
28862,7.0,2010-02-02,118,1.0,3.0,27.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,1.0,1.0,0.8571428571428571,14.0,208.0,0.0,0.0,0.38095238095238093,21.0,246.0,0.0,0.0,0.3684210526315789,19.0,174.0,0.0,0.0,0.4,20.0,0.0,0.0
28601,1.0,2010-01-06,119,1.0,3.0,2.0,1.0,1.0,0.8571428571428571,14.0,208.0,0.0,0.0,0.38095238095238093,21.0,246.0,0.0,0.0,0.3684210526315789,19.0,174.0,0.0,0.0,0.4,20.0,93.0,0.0,0.0,0.28,25.0,1.0,0.0
28584,1.0,2010-01-04,119,1.0,3.0,208.0,0.0,0.0,0.38095238095238093,21.0,246.0,0.0,0.0,0.3684210526315789,19.0,174.0,0.0,0.0,0.4,20.0,93.0,0.0,0.0,0.28,25.0,111.0,0.0,0.3333333333333333,0.47058823529411764,34.0,0.0,1.0
27225,32.0,2009-06-10,231,1.0,2.0,246.0,0.0,0.0,0.3684210526315789,19.0,174.0,0.0,0.0,0.4,20.0,93.0,0.0,0.0,0.28,25.0,111.0,0.0,0.3333333333333333,0.47058823529411764,34.0,434.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
25560,57.0,2008-10-07,194,0.0,1.0,174.0,0.0,0.0,0.4,20.0,93.0,0.0,0.0,0.28,25.0,111.0,0.0,0.3333333333333333,0.47058823529411764,34.0,434.0,0.0,0.0,0.38095238095238093,21.0,182.0,0.0,0.0,0.3076923076923077,26.0,0.0,0.0
24030,22.0,2008-04-16,167,1.0,0.0,93.0,0.0,0.0,0.28,25.0,111.0,0.0,0.3333333333333333,0.47058823529411764,34.0,434.0,0.0,0.0,0.38095238095238093,21.0,182.0,0.0,0.0,0.3076923076923077,26.0,467.0,0.0,0.3333333333333333,0.5161290322580645,31.0,0.0,0.0
23315,6.0,2008-01-14,160,1.0,3.0,111.0,0.0,0.3333333333333333,0.47058823529411764,34.0,434.0,0.0,0.0,0.38095238095238093,21.0,182.0,0.0,0.0,0.3076923076923077,26.0,467.0,0.0,0.3333333333333333,0.5161290322580645,31.0,3.0,1.0,1.0,0.5384615384615384,26.0,0.0,0.0
22714,54.0,2007-09-25,203,0.0,3.0,434.0,0.0,0.0,0.38095238095238093,21.0,182.0,0.0,0.0,0.3076923076923077,26.0,467.0,0.0,0.3333333333333333,0.5161290322580645,31.0,3.0,1.0,1.0,0.5384615384615384,26.0,5.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
19241,41.0,2006-07-18,244,1.0,3.0,182.0,0.0,0.0,0.3076923076923077,26.0,467.0,0.0,0.3333333333333333,0.5161290322580645,31.0,3.0,1.0,1.0,0.5384615384615384,26.0,5.0,0.0,0.0,0.3684210526315789,19.0,42.0,0.0,0.3333333333333333,0.36,25.0,0.0,0.0
17624,6.0,2006-01-17,218,1.0,3.0,467.0,0.0,0.3333333333333333,0.5161290322580645,31.0,3.0,1.0,1.0,0.5384615384615384,26.0,5.0,0.0,0.0,0.3684210526315789,19.0,42.0,0.0,0.3333333333333333,0.36,25.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,0.0,0.0
14205,58.0,2004-10-07,187,1.0,3.0,3.0,1.0,1.0,0.5384615384615384,26.0,5.0,0.0,0.0,0.3684210526315789,19.0,42.0,0.0,0.3333333333333333,0.36,25.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,42.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
14176,58.0,2004-10-04,187,1.0,3.0,5.0,0.0,0.0,0.3684210526315789,19.0,42.0,0.0,0.3333333333333333,0.36,25.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,42.0,0.0,0.0,0.3333333333333333,18.0,43.0,0.0,0.0,0.3076923076923077,26.0,0.0,1.0
