,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
17962,15.0,2006-02-21,134,0.0,3.0,218.0,0.0,0.0,0.3333333333333333,18.0,82.0,0.0,0.3333333333333333,0.4642857142857143,28.0,371.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.6190476190476191,21.0,180.0,0.0,0.0,0.35,20.0,0.0,0.0
16318,41.0,2005-07-18,106,1.0,3.0,82.0,0.0,0.3333333333333333,0.4642857142857143,28.0,371.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.6190476190476191,21.0,180.0,0.0,0.0,0.35,20.0,408.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
15617,27.0,2005-04-27,102,1.0,0.0,371.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.6190476190476191,21.0,180.0,0.0,0.0,0.35,20.0,408.0,0.0,0.0,0.43478260869565216,23.0,14.0,0.0,0.0,0.3076923076923077,26.0,0.0,0.0
12593,23.0,2004-04-21,135,1.0,0.0,2.0,1.0,1.0,0.6190476190476191,21.0,180.0,0.0,0.0,0.35,20.0,408.0,0.0,0.0,0.43478260869565216,23.0,14.0,0.0,0.0,0.3076923076923077,26.0,0.0,1.0,0.3333333333333333,0.5277777777777778,36.0,1.0,0.0
12554,23.0,2004-04-19,135,1.0,0.0,180.0,0.0,0.0,0.35,20.0,408.0,0.0,0.0,0.43478260869565216,23.0,14.0,0.0,0.0,0.3076923076923077,26.0,0.0,1.0,0.3333333333333333,0.5277777777777778,36.0,35.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
11531,64.0,2003-10-22,94,0.0,3.0,408.0,0.0,0.0,0.43478260869565216,23.0,14.0,0.0,0.0,0.3076923076923077,26.0,0.0,1.0,0.3333333333333333,0.5277777777777778,36.0,35.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
8281,52.0,2002-09-09,107,1.0,0.0,14.0,0.0,0.0,0.3076923076923077,26.0,0.0,1.0,0.3333333333333333,0.5277777777777778,36.0,35.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,0.0
8216,51.0,2002-08-26,126,1.0,3.0,0.0,1.0,0.3333333333333333,0.5277777777777778,36.0,35.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,56.0,0.0,0.0,0.3448275862068966,29.0,1.0,0.0
8182,51.0,2002-08-26,126,1.0,3.0,35.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,56.0,0.0,0.0,0.3448275862068966,29.0,49.0,0.0,0.3333333333333333,0.5,32.0,0.0,1.0
7789,43.0,2002-07-22,127,1.0,0.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,56.0,0.0,0.0,0.3448275862068966,29.0,49.0,0.0,0.3333333333333333,0.5,32.0,0.0,1.0,1.0,0.7058823529411765,17.0,2.0,0.0
7782,43.0,2002-07-22,127,1.0,0.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,56.0,0.0,0.0,0.3448275862068966,29.0,49.0,0.0,0.3333333333333333,0.5,32.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,0.6666666666666666,0.6153846153846154,26.0,1.0,1.0
7763,43.0,2002-07-22,127,1.0,0.0,56.0,0.0,0.0,0.3448275862068966,29.0,49.0,0.0,0.3333333333333333,0.5,32.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,0.6666666666666666,0.6153846153846154,26.0,315.0,0.0,0.0,0.25,24.0,0.0,1.0
