,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
34800,23.0,2012-04-15,53,1.0,0.0,47.0,0.0,0.0,0.35,20.0,4.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,0.6666666666666666,0.5625,32.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
34534,18.0,2012-02-28,39,1.0,3.0,4.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,0.6666666666666666,0.5625,32.0,7.0,0.0,0.0,0.4090909090909091,22.0,12.0,0.0,0.0,0.4,20.0,0.0,0.0
34428,14.0,2012-02-24,42,0.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,0.6666666666666666,0.5625,32.0,7.0,0.0,0.0,0.4090909090909091,22.0,12.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,0.0
34420,14.0,2012-02-22,42,0.0,3.0,2.0,1.0,0.6666666666666666,0.5625,32.0,7.0,0.0,0.0,0.4090909090909091,22.0,12.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,14.0,0.0,0.4,0.4791666666666667,48.0,1.0,1.0
34405,14.0,2012-02-20,42,0.0,3.0,7.0,0.0,0.0,0.4090909090909091,22.0,12.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,14.0,0.0,0.4,0.4791666666666667,48.0,74.0,0.0,0.0,0.25,16.0,0.0,1.0
34291,10.0,2012-02-13,41,0.0,3.0,12.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,14.0,0.0,0.4,0.4791666666666667,48.0,74.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
34276,9.0,2012-02-01,32,0.0,3.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,14.0,0.0,0.4,0.4791666666666667,48.0,74.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,21.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
34260,9.0,2012-01-30,32,0.0,3.0,14.0,0.0,0.4,0.4791666666666667,48.0,74.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,21.0,0.0,0.0,0.3333333333333333,18.0,3.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
34099,6.0,2012-01-16,30,1.0,3.0,74.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,21.0,0.0,0.0,0.3333333333333333,18.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,0.0,0.0
33828,62.0,2011-11-03,31,0.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,21.0,0.0,0.0,0.3333333333333333,18.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,2.0,1.0,0.6666666666666666,0.6086956521739131,23.0,1.0,0.0
