,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46645,54.0,2016-09-23,35,0.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,17.0,0.0,0.25,0.42857142857142855,42.0,2.0,1.0,0.6,0.5490196078431373,51.0,2.0,1.0,1.0,0.72,25.0,2.0,0.0
46640,54.0,2016-09-22,35,0.0,3.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,17.0,0.0,0.25,0.42857142857142855,42.0,2.0,1.0,0.6,0.5490196078431373,51.0,2.0,1.0,1.0,0.72,25.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0
46629,54.0,2016-09-20,35,0.0,3.0,17.0,0.0,0.25,0.42857142857142855,42.0,2.0,1.0,0.6,0.5490196078431373,51.0,2.0,1.0,1.0,0.72,25.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,31.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
46578,52.0,2016-09-03,40,1.0,3.0,2.0,1.0,0.6,0.5490196078431373,51.0,2.0,1.0,1.0,0.72,25.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,31.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5384615384615384,26.0,2.0,0.0
46557,52.0,2016-09-01,40,1.0,3.0,2.0,1.0,1.0,0.72,25.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,31.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,1.0,1.0
46530,52.0,2016-08-30,40,1.0,3.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,31.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,1.0,1.0,1.0,0.75,16.0,0.0,1.0
46444,51.0,2016-08-23,39,1.0,3.0,31.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,1.0,1.0,1.0,0.75,16.0,23.0,0.0,0.25,0.4318181818181818,44.0,0.0,0.0
46185,44.0,2016-07-23,48,1.0,0.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,1.0,1.0,1.0,0.75,16.0,23.0,0.0,0.25,0.4318181818181818,44.0,6.0,0.0,0.0,0.25,16.0,3.0,1.0
46184,44.0,2016-07-22,48,1.0,0.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,1.0,1.0,1.0,0.75,16.0,23.0,0.0,0.25,0.4318181818181818,44.0,6.0,0.0,0.0,0.25,16.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0
46181,44.0,2016-07-21,48,1.0,0.0,1.0,1.0,1.0,0.75,16.0,23.0,0.0,0.25,0.4318181818181818,44.0,6.0,0.0,0.0,0.25,16.0,6.0,0.0,0.0,0.29411764705882354,17.0,22.0,0.0,0.0,0.21739130434782608,23.0,1.0,1.0
