,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46523,52.0,2016-08-30,73,1.0,3.0,5.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.5909090909090909,22.0,26.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
46466,51.0,2016-08-25,72,1.0,3.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.5909090909090909,22.0,26.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,3.0,0.0
46457,51.0,2016-08-24,72,1.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.5909090909090909,22.0,26.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0
46451,51.0,2016-08-23,72,1.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,26.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0
46427,51.0,2016-08-22,72,1.0,3.0,26.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.65,20.0,19.0,0.0,0.0,0.25,24.0,0.0,1.0
46298,47.0,2016-07-27,70,1.0,3.0,1.0,1.0,1.0,0.6190476190476191,21.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.65,20.0,19.0,0.0,0.0,0.25,24.0,2.0,1.0,1.0,0.6666666666666666,27.0,1.0,0.0
46273,47.0,2016-07-26,70,1.0,3.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.65,20.0,19.0,0.0,0.0,0.25,24.0,2.0,1.0,1.0,0.6666666666666666,27.0,35.0,0.0,0.0,0.25,24.0,0.0,1.0
46238,46.0,2016-07-20,71,1.0,3.0,1.0,1.0,1.0,0.65,20.0,19.0,0.0,0.0,0.25,24.0,2.0,1.0,1.0,0.6666666666666666,27.0,35.0,0.0,0.0,0.25,24.0,225.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
46224,46.0,2016-07-19,71,1.0,3.0,19.0,0.0,0.0,0.25,24.0,2.0,1.0,1.0,0.6666666666666666,27.0,35.0,0.0,0.0,0.25,24.0,225.0,0.0,0.0,0.3333333333333333,18.0,3.0,0.0,0.0,0.25,16.0,0.0,1.0
46006,39.0,2016-06-30,76,1.0,2.0,2.0,1.0,1.0,0.6666666666666666,27.0,35.0,0.0,0.0,0.25,24.0,225.0,0.0,0.0,0.3333333333333333,18.0,3.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
45958,39.0,2016-06-28,76,1.0,2.0,35.0,0.0,0.0,0.25,24.0,225.0,0.0,0.0,0.3333333333333333,18.0,3.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
45678,33.0,2016-05-24,95,1.0,0.0,225.0,0.0,0.0,0.3333333333333333,18.0,3.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.7058823529411765,17.0,36.0,0.0,0.0,0.2857142857142857,21.0,0.0,0.0
44149,59.0,2015-10-12,91,1.0,3.0,3.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.7058823529411765,17.0,36.0,0.0,0.0,0.2857142857142857,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
44106,57.0,2015-10-09,100,1.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.7058823529411765,17.0,36.0,0.0,0.0,0.2857142857142857,21.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.46875,32.0,2.0,0.0
44096,57.0,2015-10-07,100,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,36.0,0.0,0.0,0.2857142857142857,21.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.46875,32.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0
44087,57.0,2015-10-06,100,1.0,3.0,36.0,0.0,0.0,0.2857142857142857,21.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.46875,32.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
43849,52.0,2015-08-31,97,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.46875,32.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,6.0,0.0,0.3333333333333333,0.45161290322580644,31.0,0.0,0.0
43839,51.0,2015-08-27,106,1.0,3.0,1.0,1.0,0.6666666666666666,0.46875,32.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,6.0,0.0,0.3333333333333333,0.45161290322580644,31.0,6.0,0.0,0.0,0.3684210526315789,19.0,3.0,0.0
43830,51.0,2015-08-26,106,1.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,6.0,0.0,0.3333333333333333,0.45161290322580644,31.0,6.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0
43818,51.0,2015-08-25,106,1.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,6.0,0.0,0.3333333333333333,0.45161290322580644,31.0,6.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0
43800,51.0,2015-08-23,106,1.0,3.0,6.0,0.0,0.3333333333333333,0.45161290322580644,31.0,6.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,1.0,0.65,20.0,0.0,1.0
43754,50.0,2015-08-17,88,1.0,3.0,6.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,1.0,0.65,20.0,27.0,0.0,0.25,0.45,40.0,0.0,0.0
43710,49.0,2015-08-11,82,1.0,3.0,7.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,1.0,0.65,20.0,27.0,0.0,0.25,0.45,40.0,5.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,0.0
43647,48.0,2015-08-04,76,1.0,3.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,1.0,0.65,20.0,27.0,0.0,0.25,0.45,40.0,5.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
43542,44.0,2015-07-29,76,1.0,3.0,2.0,1.0,1.0,0.65,20.0,27.0,0.0,0.25,0.45,40.0,5.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
43529,44.0,2015-07-27,76,1.0,3.0,27.0,0.0,0.25,0.45,40.0,5.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0,1.0,0.6,20.0,0.0,1.0
43323,39.0,2015-06-30,61,1.0,2.0,5.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0,1.0,0.6,20.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
43286,38.0,2015-06-25,61,1.0,2.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0,1.0,0.6,20.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.3684210526315789,19.0,3.0,0.0
