,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
22217,44.0,2007-07-25,111,1.0,0.0,16.0,0.0,0.3333333333333333,0.41379310344827586,29.0,84.0,0.0,0.3333333333333333,0.375,24.0,103.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,99.0,0.0,0.0,0.2,15.0,0.0,0.0
21993,37.0,2007-07-09,105,1.0,0.0,84.0,0.0,0.3333333333333333,0.375,24.0,103.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,99.0,0.0,0.0,0.2,15.0,249.0,0.0,0.0,0.40625,32.0,0.0,0.0
21251,23.0,2007-04-16,133,1.0,0.0,103.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,99.0,0.0,0.0,0.2,15.0,249.0,0.0,0.0,0.40625,32.0,2.0,1.0,1.0,0.6551724137931034,29.0,0.0,0.0
20417,3.0,2007-01-03,147,1.0,3.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,99.0,0.0,0.0,0.2,15.0,249.0,0.0,0.0,0.40625,32.0,2.0,1.0,1.0,0.6551724137931034,29.0,7.0,0.0,0.0,0.35,20.0,1.0,0.0
20408,3.0,2007-01-02,147,1.0,3.0,99.0,0.0,0.0,0.2,15.0,249.0,0.0,0.0,0.40625,32.0,2.0,1.0,1.0,0.6551724137931034,29.0,7.0,0.0,0.0,0.35,20.0,279.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0
19936,56.0,2006-09-25,150,1.0,0.0,249.0,0.0,0.0,0.40625,32.0,2.0,1.0,1.0,0.6551724137931034,29.0,7.0,0.0,0.0,0.35,20.0,279.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,1.0,0.5384615384615384,26.0,0.0,0.0
17667,6.0,2006-01-19,186,1.0,3.0,2.0,1.0,1.0,0.6551724137931034,29.0,7.0,0.0,0.0,0.35,20.0,279.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,1.0,0.5384615384615384,26.0,55.0,0.0,0.3333333333333333,0.4166666666666667,24.0,1.0,0.0
17618,6.0,2006-01-17,186,1.0,3.0,7.0,0.0,0.0,0.35,20.0,279.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,1.0,0.5384615384615384,26.0,55.0,0.0,0.3333333333333333,0.4166666666666667,24.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,1.0
17531,4.0,2006-01-10,176,1.0,3.0,279.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,1.0,0.5384615384615384,26.0,55.0,0.0,0.3333333333333333,0.4166666666666667,24.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,1.0,1.0,0.6842105263157895,19.0,0.0,0.0
15412,22.0,2005-04-06,193,1.0,0.0,1.0,1.0,1.0,0.5384615384615384,26.0,55.0,0.0,0.3333333333333333,0.4166666666666667,24.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,1.0,1.0,0.6842105263157895,19.0,15.0,0.0,0.4,0.4146341463414634,41.0,1.0,0.0
