,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
38662,51.0,2013-08-28,113,1.0,3.0,22.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,14.0,0.0,0.3333333333333333,0.34782608695652173,23.0,22.0,0.0,0.25,0.38461538461538464,39.0,0.0,0.0
38463,48.0,2013-08-06,118,1.0,3.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,14.0,0.0,0.3333333333333333,0.34782608695652173,23.0,22.0,0.0,0.25,0.38461538461538464,39.0,3.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
38425,47.0,2013-07-31,100,1.0,3.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,14.0,0.0,0.3333333333333333,0.34782608695652173,23.0,22.0,0.0,0.25,0.38461538461538464,39.0,3.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6,20.0,1.0,0.0
38413,47.0,2013-07-30,100,1.0,3.0,14.0,0.0,0.3333333333333333,0.34782608695652173,23.0,22.0,0.0,0.25,0.38461538461538464,39.0,3.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,0.0,1.0
38234,41.0,2013-07-16,90,1.0,0.0,22.0,0.0,0.25,0.38461538461538464,39.0,3.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
38035,37.0,2013-06-24,61,1.0,2.0,3.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.3333333333333333,0.53125,32.0,0.0,0.0
38011,36.0,2013-06-21,60,1.0,2.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.3333333333333333,0.53125,32.0,1.0,1.0,0.6666666666666666,0.53125,32.0,3.0,0.0
38009,36.0,2013-06-20,60,1.0,2.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.3333333333333333,0.53125,32.0,1.0,1.0,0.6666666666666666,0.53125,32.0,15.0,0.0,0.25,0.37142857142857144,35.0,2.0,1.0
38005,36.0,2013-06-19,60,1.0,2.0,1.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.3333333333333333,0.53125,32.0,1.0,1.0,0.6666666666666666,0.53125,32.0,15.0,0.0,0.25,0.37142857142857144,35.0,13.0,0.0,0.0,0.25,12.0,1.0,1.0
37994,36.0,2013-06-18,60,1.0,2.0,7.0,0.0,0.3333333333333333,0.53125,32.0,1.0,1.0,0.6666666666666666,0.53125,32.0,15.0,0.0,0.25,0.37142857142857144,35.0,13.0,0.0,0.0,0.25,12.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
37925,34.0,2013-06-11,56,1.0,2.0,1.0,1.0,0.6666666666666666,0.53125,32.0,15.0,0.0,0.25,0.37142857142857144,35.0,13.0,0.0,0.0,0.25,12.0,7.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.2,15.0,1.0,0.0
37907,34.0,2013-06-10,56,1.0,2.0,15.0,0.0,0.25,0.37142857142857144,35.0,13.0,0.0,0.0,0.25,12.0,7.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.2,15.0,9.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
37749,32.0,2013-05-26,56,1.0,0.0,13.0,0.0,0.0,0.25,12.0,7.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.2,15.0,9.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.35,20.0,0.0,0.0
37646,29.0,2013-05-13,55,1.0,0.0,7.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.2,15.0,9.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
37587,28.0,2013-05-06,56,1.0,0.0,13.0,0.0,0.0,0.2,15.0,9.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,0.0,0.0
37511,25.0,2013-04-23,54,1.0,0.0,9.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,13.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,0.0
37401,23.0,2013-04-14,53,1.0,0.0,21.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,13.0,0.0,0.3333333333333333,0.4444444444444444,27.0,7.0,0.0,0.3333333333333333,0.4838709677419355,31.0,0.0,0.0
37315,20.0,2013-03-24,53,1.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,13.0,0.0,0.3333333333333333,0.4444444444444444,27.0,7.0,0.0,0.3333333333333333,0.4838709677419355,31.0,3.0,1.0,1.0,0.6666666666666666,18.0,2.0,0.0
37282,20.0,2013-03-22,53,1.0,3.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,13.0,0.0,0.3333333333333333,0.4444444444444444,27.0,7.0,0.0,0.3333333333333333,0.4838709677419355,31.0,3.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.5,0.16666666666666666,6.0,1.0,1.0
37254,20.0,2013-03-20,53,1.0,3.0,13.0,0.0,0.3333333333333333,0.4444444444444444,27.0,7.0,0.0,0.3333333333333333,0.4838709677419355,31.0,3.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.5,0.16666666666666666,6.0,5.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
37160,19.0,2013-03-07,50,1.0,3.0,7.0,0.0,0.3333333333333333,0.4838709677419355,31.0,3.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.5,0.16666666666666666,6.0,5.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5135135135135135,37.0,0.0,0.0
