,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
25528,56.0,2008-10-01,420,1.0,3.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,1097.0,0.0,0.0,0.4117647058823529,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,63.0,0.0,0.3333333333333333,0.46153846153846156,26.0,508.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,0.0
25519,56.0,2008-09-30,420,1.0,3.0,1097.0,0.0,0.0,0.4117647058823529,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,63.0,0.0,0.3333333333333333,0.46153846153846156,26.0,508.0,0.0,0.3333333333333333,0.4074074074074074,27.0,3.0,1.0,0.6666666666666666,0.64,25.0,0.0,1.0
17008,55.0,2005-09-29,227,0.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,63.0,0.0,0.3333333333333333,0.46153846153846156,26.0,508.0,0.0,0.3333333333333333,0.4074074074074074,27.0,3.0,1.0,0.6666666666666666,0.64,25.0,20.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
16995,55.0,2005-09-27,227,0.0,3.0,63.0,0.0,0.3333333333333333,0.46153846153846156,26.0,508.0,0.0,0.3333333333333333,0.4074074074074074,27.0,3.0,1.0,0.6666666666666666,0.64,25.0,20.0,0.0,0.0,0.3684210526315789,19.0,22.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
16465,44.0,2005-07-26,236,1.0,3.0,508.0,0.0,0.3333333333333333,0.4074074074074074,27.0,3.0,1.0,0.6666666666666666,0.64,25.0,20.0,0.0,0.0,0.3684210526315789,19.0,22.0,0.0,0.0,0.3333333333333333,18.0,113.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
12254,17.0,2004-03-05,193,1.0,3.0,3.0,1.0,0.6666666666666666,0.64,25.0,20.0,0.0,0.0,0.3684210526315789,19.0,22.0,0.0,0.0,0.3333333333333333,18.0,113.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.4411764705882353,34.0,1.0,0.0
12242,17.0,2004-03-02,193,1.0,3.0,20.0,0.0,0.0,0.3684210526315789,19.0,22.0,0.0,0.0,0.3333333333333333,18.0,113.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.4411764705882353,34.0,55.0,0.0,0.0,0.2777777777777778,18.0,0.0,1.0
11963,8.0,2004-02-11,192,0.0,3.0,22.0,0.0,0.0,0.3333333333333333,18.0,113.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.4411764705882353,34.0,55.0,0.0,0.0,0.2777777777777778,18.0,9.0,0.0,0.0,0.25,16.0,0.0,0.0
11852,6.0,2004-01-20,195,1.0,3.0,113.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.4411764705882353,34.0,55.0,0.0,0.0,0.2777777777777778,18.0,9.0,0.0,0.0,0.25,16.0,14.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
11339,59.0,2003-09-29,178,1.0,3.0,6.0,0.0,0.3333333333333333,0.4411764705882353,34.0,55.0,0.0,0.0,0.2777777777777778,18.0,9.0,0.0,0.0,0.25,16.0,14.0,0.0,0.0,0.3333333333333333,18.0,26.0,0.0,0.0,0.4,20.0,0.0,0.0
