,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
22266,45.0,2007-07-24,421,1.0,0.0,8.0,0.0,0.0,0.29411764705882354,17.0,82.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,0.6666666666666666,0.5652173913043478,23.0,602.0,0.0,0.0,0.3448275862068966,29.0,26.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,0.0
22084,40.0,2007-07-16,435,1.0,0.0,82.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,0.6666666666666666,0.5652173913043478,23.0,602.0,0.0,0.0,0.3448275862068966,29.0,26.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,1.0,0.6666666666666666,0.6923076923076923,26.0,0.0,0.0
21328,24.0,2007-04-25,1008,1.0,0.0,2.0,1.0,0.6666666666666666,0.5652173913043478,23.0,602.0,0.0,0.0,0.3448275862068966,29.0,26.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,1.0,0.6666666666666666,0.6923076923076923,26.0,6.0,0.0,0.3333333333333333,0.375,24.0,1.0,0.0
21308,24.0,2007-04-23,1008,1.0,0.0,602.0,0.0,0.0,0.3448275862068966,29.0,26.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,1.0,0.6666666666666666,0.6923076923076923,26.0,6.0,0.0,0.3333333333333333,0.375,24.0,1.0,1.0,1.0,0.8,15.0,0.0,1.0
16789,51.0,2005-08-29,105,1.0,3.0,26.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,1.0,0.6666666666666666,0.6923076923076923,26.0,6.0,0.0,0.3333333333333333,0.375,24.0,1.0,1.0,1.0,0.8,15.0,35.0,0.0,0.0,0.4444444444444444,9.0,0.0,0.0
16540,46.0,2005-08-03,87,1.0,0.0,1.0,1.0,0.6666666666666666,0.6923076923076923,26.0,6.0,0.0,0.3333333333333333,0.375,24.0,1.0,1.0,1.0,0.8,15.0,35.0,0.0,0.0,0.4444444444444444,9.0,25.0,0.0,0.0,0.3793103448275862,29.0,1.0,0.0
16531,46.0,2005-08-02,87,1.0,0.0,6.0,0.0,0.3333333333333333,0.375,24.0,1.0,1.0,1.0,0.8,15.0,35.0,0.0,0.0,0.4444444444444444,9.0,25.0,0.0,0.0,0.3793103448275862,29.0,2.0,1.0,0.6,0.5,44.0,0.0,1.0
16508,45.0,2005-07-27,88,1.0,0.0,1.0,1.0,1.0,0.8,15.0,35.0,0.0,0.0,0.4444444444444444,9.0,25.0,0.0,0.0,0.3793103448275862,29.0,2.0,1.0,0.6,0.5,44.0,2.0,1.0,1.0,0.75,24.0,1.0,0.0
16498,45.0,2005-07-26,88,1.0,0.0,35.0,0.0,0.0,0.4444444444444444,9.0,25.0,0.0,0.0,0.3793103448275862,29.0,2.0,1.0,0.6,0.5,44.0,2.0,1.0,1.0,0.75,24.0,4.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
16123,36.0,2005-06-21,76,1.0,2.0,25.0,0.0,0.0,0.3793103448275862,29.0,2.0,1.0,0.6,0.5,44.0,2.0,1.0,1.0,0.75,24.0,4.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,0.0,0.0
