,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
26692,21.0,2009-04-07,464,1.0,0.0,322.0,0.0,0.3333333333333333,0.4827586206896552,29.0,35.0,0.0,0.0,0.25,16.0,173.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5384615384615384,26.0,20.0,0.0,0.3333333333333333,0.4,25.0,0.0,0.0
24369,30.0,2008-05-20,183,1.0,0.0,35.0,0.0,0.0,0.25,16.0,173.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5384615384615384,26.0,20.0,0.0,0.3333333333333333,0.4,25.0,71.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
23992,21.0,2008-04-15,164,1.0,0.0,173.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5384615384615384,26.0,20.0,0.0,0.3333333333333333,0.4,25.0,71.0,0.0,0.0,0.4090909090909091,22.0,147.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
23038,63.0,2007-10-25,157,0.0,1.0,2.0,1.0,1.0,0.5384615384615384,26.0,20.0,0.0,0.3333333333333333,0.4,25.0,71.0,0.0,0.0,0.4090909090909091,22.0,147.0,0.0,0.0,0.3684210526315789,19.0,127.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,0.0
23026,63.0,2007-10-23,157,0.0,1.0,20.0,0.0,0.3333333333333333,0.4,25.0,71.0,0.0,0.0,0.4090909090909091,22.0,147.0,0.0,0.0,0.3684210526315789,19.0,127.0,0.0,0.3333333333333333,0.4444444444444444,27.0,11.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
22783,56.0,2007-10-03,151,0.0,3.0,71.0,0.0,0.0,0.4090909090909091,22.0,147.0,0.0,0.0,0.3684210526315789,19.0,127.0,0.0,0.3333333333333333,0.4444444444444444,27.0,11.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.48484848484848486,33.0,0.0,0.0
22215,44.0,2007-07-24,124,1.0,0.0,147.0,0.0,0.0,0.3684210526315789,19.0,127.0,0.0,0.3333333333333333,0.4444444444444444,27.0,11.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.48484848484848486,33.0,13.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
20938,17.0,2007-02-27,132,1.0,3.0,127.0,0.0,0.3333333333333333,0.4444444444444444,27.0,11.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.48484848484848486,33.0,13.0,0.0,0.0,0.29411764705882354,17.0,29.0,0.0,0.0,0.3448275862068966,29.0,0.0,0.0
20213,64.0,2006-10-23,98,0.0,1.0,11.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.48484848484848486,33.0,13.0,0.0,0.0,0.29411764705882354,17.0,29.0,0.0,0.0,0.3448275862068966,29.0,24.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
20123,61.0,2006-10-12,102,0.0,3.0,3.0,1.0,0.6666666666666666,0.48484848484848486,33.0,13.0,0.0,0.0,0.29411764705882354,17.0,29.0,0.0,0.0,0.3448275862068966,29.0,24.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,1.0,0.0
