,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46617,53.0,2016-09-22,50,0.0,3.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,16.0,0.0,0.25,0.38461538461538464,39.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,2.0,1.0,1.0,0.6666666666666666,27.0,2.0,1.0,0.75,0.5681818181818182,44.0,1.0,0.0
46605,53.0,2016-09-21,50,0.0,3.0,16.0,0.0,0.25,0.38461538461538464,39.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,2.0,1.0,1.0,0.6666666666666666,27.0,2.0,1.0,0.75,0.5681818181818182,44.0,9.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
46588,52.0,2016-09-05,63,1.0,3.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,2.0,1.0,1.0,0.6666666666666666,27.0,2.0,1.0,0.75,0.5681818181818182,44.0,9.0,0.0,0.0,0.4090909090909091,22.0,56.0,0.0,0.0,0.3870967741935484,31.0,3.0,0.0
46582,52.0,2016-09-04,63,1.0,3.0,2.0,1.0,1.0,0.6666666666666666,27.0,2.0,1.0,0.75,0.5681818181818182,44.0,9.0,0.0,0.0,0.4090909090909091,22.0,56.0,0.0,0.0,0.3870967741935484,31.0,21.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0
46564,52.0,2016-09-02,63,1.0,3.0,2.0,1.0,0.75,0.5681818181818182,44.0,9.0,0.0,0.0,0.4090909090909091,22.0,56.0,0.0,0.0,0.3870967741935484,31.0,21.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.3870967741935484,31.0,1.0,1.0
46533,52.0,2016-08-31,63,1.0,3.0,9.0,0.0,0.0,0.4090909090909091,22.0,56.0,0.0,0.0,0.3870967741935484,31.0,21.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.3870967741935484,31.0,8.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
46427,51.0,2016-08-22,65,1.0,3.0,56.0,0.0,0.0,0.3870967741935484,31.0,21.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.3870967741935484,31.0,8.0,0.0,0.0,0.43478260869565216,23.0,18.0,0.0,0.3333333333333333,0.43333333333333335,30.0,0.0,0.0
45936,39.0,2016-06-27,84,1.0,2.0,21.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.3870967741935484,31.0,8.0,0.0,0.0,0.43478260869565216,23.0,18.0,0.0,0.3333333333333333,0.43333333333333335,30.0,1.0,1.0,0.6666666666666666,0.6,25.0,0.0,0.0
45757,34.0,2016-06-06,73,1.0,2.0,13.0,0.0,0.0,0.3870967741935484,31.0,8.0,0.0,0.0,0.43478260869565216,23.0,18.0,0.0,0.3333333333333333,0.43333333333333335,30.0,1.0,1.0,0.6666666666666666,0.6,25.0,6.0,0.0,0.0,0.35,20.0,0.0,0.0
45664,33.0,2016-05-24,71,1.0,0.0,8.0,0.0,0.0,0.43478260869565216,23.0,18.0,0.0,0.3333333333333333,0.43333333333333335,30.0,1.0,1.0,0.6666666666666666,0.6,25.0,6.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,0.0,0.0
