,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
21311,24.0,2007-04-24,259,1.0,0.0,211.0,0.0,0.0,0.4090909090909091,22.0,63.0,0.0,0.3333333333333333,0.5,32.0,5.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.65,20.0,50.0,0.0,0.0,0.36666666666666664,30.0,0.0,0.0
19932,56.0,2006-09-25,156,1.0,0.0,63.0,0.0,0.3333333333333333,0.5,32.0,5.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.65,20.0,50.0,0.0,0.0,0.36666666666666664,30.0,26.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
19328,43.0,2006-07-24,123,1.0,0.0,5.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.65,20.0,50.0,0.0,0.0,0.36666666666666664,30.0,26.0,0.0,0.0,0.3684210526315789,19.0,8.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
19214,40.0,2006-07-19,122,1.0,0.0,2.0,1.0,1.0,0.65,20.0,50.0,0.0,0.0,0.36666666666666664,30.0,26.0,0.0,0.0,0.3684210526315789,19.0,8.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
19197,40.0,2006-07-17,122,1.0,0.0,50.0,0.0,0.0,0.36666666666666664,30.0,26.0,0.0,0.0,0.3684210526315789,19.0,8.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.0,0.29411764705882354,17.0,40.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
18703,31.0,2006-05-28,120,1.0,0.0,26.0,0.0,0.0,0.3684210526315789,19.0,8.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.0,0.29411764705882354,17.0,40.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,0.0,0.0
18489,26.0,2006-05-02,118,1.0,0.0,8.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.0,0.29411764705882354,17.0,40.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,7.0,0.0,0.3333333333333333,0.42857142857142855,28.0,0.0,0.0
18406,24.0,2006-04-24,100,1.0,0.0,14.0,0.0,0.0,0.29411764705882354,17.0,40.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,7.0,0.0,0.3333333333333333,0.42857142857142855,28.0,4.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
18271,21.0,2006-04-10,97,1.0,0.0,40.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,7.0,0.0,0.3333333333333333,0.42857142857142855,28.0,4.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8571428571428571,14.0,0.0,0.0
18005,16.0,2006-03-01,103,1.0,0.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,7.0,0.0,0.3333333333333333,0.42857142857142855,28.0,4.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8571428571428571,14.0,13.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
