,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
13853,50.0,2004-08-31,96,1.0,3.0,7.0,0.0,0.3333333333333333,0.48,25.0,8.0,0.0,0.3333333333333333,0.48717948717948717,39.0,52.0,0.0,0.25,0.3888888888888889,36.0,1.0,1.0,0.6,0.5172413793103449,58.0,15.0,0.0,0.3333333333333333,0.45161290322580644,31.0,0.0,0.0
13805,49.0,2004-08-24,98,1.0,3.0,8.0,0.0,0.3333333333333333,0.48717948717948717,39.0,52.0,0.0,0.25,0.3888888888888889,36.0,1.0,1.0,0.6,0.5172413793103449,58.0,15.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
13774,48.0,2004-08-16,96,1.0,0.0,52.0,0.0,0.25,0.3888888888888889,36.0,1.0,1.0,0.6,0.5172413793103449,58.0,15.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0,1.0,0.631578947368421,19.0,15.0,0.0,0.0,0.42857142857142855,35.0,0.0,0.0
13252,35.0,2004-06-25,72,1.0,2.0,1.0,1.0,0.6,0.5172413793103449,58.0,15.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0,1.0,0.631578947368421,19.0,15.0,0.0,0.0,0.42857142857142855,35.0,20.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,0.0
13208,35.0,2004-06-24,72,1.0,2.0,15.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0,1.0,0.631578947368421,19.0,15.0,0.0,0.0,0.42857142857142855,35.0,20.0,0.0,0.3333333333333333,0.4666666666666667,30.0,6.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
13073,32.0,2004-06-09,70,1.0,2.0,1.0,1.0,1.0,0.631578947368421,19.0,15.0,0.0,0.0,0.42857142857142855,35.0,20.0,0.0,0.3333333333333333,0.4666666666666667,30.0,6.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,0.0
13065,32.0,2004-06-08,70,1.0,2.0,15.0,0.0,0.0,0.42857142857142855,35.0,20.0,0.0,0.3333333333333333,0.4666666666666667,30.0,6.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,9.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
12905,30.0,2004-05-24,63,1.0,0.0,20.0,0.0,0.3333333333333333,0.4666666666666667,30.0,6.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,9.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5384615384615384,26.0,0.0,0.0
12716,26.0,2004-05-04,65,1.0,0.0,6.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,9.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5384615384615384,26.0,2.0,1.0,1.0,0.8,15.0,0.0,0.0
12643,24.0,2004-04-28,65,1.0,0.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,9.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5384615384615384,26.0,2.0,1.0,1.0,0.8,15.0,14.0,0.0,0.0,0.46153846153846156,26.0,1.0,0.0
