,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
20012,58.0,2006-10-04,240,1.0,3.0,2.0,1.0,1.0,0.75,16.0,5.0,0.0,0.3333333333333333,0.4,30.0,15.0,0.0,0.3333333333333333,0.46875,32.0,41.0,0.0,0.5,0.45454545454545453,22.0,1.0,1.0,1.0,0.75,16.0,1.0,0.0
19995,58.0,2006-10-02,240,1.0,3.0,5.0,0.0,0.3333333333333333,0.4,30.0,15.0,0.0,0.3333333333333333,0.46875,32.0,41.0,0.0,0.5,0.45454545454545453,22.0,1.0,1.0,1.0,0.75,16.0,5.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
19877,54.0,2006-09-27,247,0.0,3.0,15.0,0.0,0.3333333333333333,0.46875,32.0,41.0,0.0,0.5,0.45454545454545453,22.0,1.0,1.0,1.0,0.75,16.0,5.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5384615384615384,26.0,0.0,0.0
19846,53.0,2006-09-12,323,1.0,0.0,41.0,0.0,0.5,0.45454545454545453,22.0,1.0,1.0,1.0,0.75,16.0,5.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.5,32.0,0.0,0.0
19485,47.0,2006-08-02,343,1.0,3.0,1.0,1.0,1.0,0.75,16.0,5.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.5,32.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
19474,47.0,2006-08-01,343,1.0,3.0,5.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.5,32.0,6.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
19358,43.0,2006-07-27,403,1.0,0.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.5,32.0,6.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,48.0,0.0,0.0,0.28,25.0,2.0,0.0
19342,43.0,2006-07-26,403,1.0,0.0,1.0,1.0,0.6666666666666666,0.5,32.0,6.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,48.0,0.0,0.0,0.28,25.0,462.0,0.0,0.0,0.42857142857142855,14.0,1.0,1.0
19333,43.0,2006-07-25,403,1.0,0.0,6.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,48.0,0.0,0.0,0.28,25.0,462.0,0.0,0.0,0.42857142857142855,14.0,5.0,0.0,0.3333333333333333,0.46153846153846156,26.0,0.0,1.0
19213,40.0,2006-07-19,450,1.0,0.0,2.0,1.0,1.0,0.631578947368421,19.0,48.0,0.0,0.0,0.28,25.0,462.0,0.0,0.0,0.42857142857142855,14.0,5.0,0.0,0.3333333333333333,0.46153846153846156,26.0,0.0,1.0,0.6666666666666666,0.5757575757575758,33.0,1.0,0.0
