,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46603,53.0,2016-09-20,69,0.0,3.0,19.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,1.0,0.8571428571428571,21.0,8.0,0.0,0.3333333333333333,0.38461538461538464,26.0,30.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,0.0,0.0
46551,52.0,2016-09-01,70,1.0,3.0,2.0,1.0,1.0,0.8571428571428571,21.0,8.0,0.0,0.3333333333333333,0.38461538461538464,26.0,30.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
46518,52.0,2016-08-30,70,1.0,3.0,8.0,0.0,0.3333333333333333,0.38461538461538464,26.0,30.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6842105263157895,19.0,0.0,1.0
46428,51.0,2016-08-22,69,1.0,3.0,30.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6842105263157895,19.0,4.0,0.0,0.0,0.35,20.0,0.0,0.0
46157,43.0,2016-07-23,60,1.0,0.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6842105263157895,19.0,4.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,3.0,0.0
46155,43.0,2016-07-22,60,1.0,0.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6842105263157895,19.0,4.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,2.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0
46147,43.0,2016-07-20,60,1.0,0.0,1.0,1.0,1.0,0.6842105263157895,19.0,4.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,2.0,1.0,1.0,0.5652173913043478,23.0,12.0,0.0,0.0,0.3333333333333333,27.0,1.0,1.0
46142,43.0,2016-07-19,60,1.0,0.0,4.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,2.0,1.0,1.0,0.5652173913043478,23.0,12.0,0.0,0.0,0.3333333333333333,27.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0
46098,41.0,2016-07-15,66,1.0,0.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,2.0,1.0,1.0,0.5652173913043478,23.0,12.0,0.0,0.0,0.3333333333333333,27.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,2.0,0.0
46093,41.0,2016-07-13,66,1.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,12.0,0.0,0.0,0.3333333333333333,27.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0
