,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
43645,48.0,2015-08-03,169,1.0,3.0,35.0,0.0,0.4,0.4375,48.0,21.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.0,0.28,25.0,7.0,0.0,0.0,0.38095238095238093,21.0,20.0,0.0,0.0,0.35,20.0,0.0,0.0
43290,39.0,2015-06-29,138,1.0,2.0,21.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.0,0.28,25.0,7.0,0.0,0.0,0.38095238095238093,21.0,20.0,0.0,0.0,0.35,20.0,8.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
43129,34.0,2015-06-08,122,1.0,2.0,14.0,0.0,0.0,0.28,25.0,7.0,0.0,0.0,0.38095238095238093,21.0,20.0,0.0,0.0,0.35,20.0,8.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.2,5.0,0.0,0.0
43033,33.0,2015-05-25,100,1.0,0.0,7.0,0.0,0.0,0.38095238095238093,21.0,20.0,0.0,0.0,0.35,20.0,8.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.2,5.0,13.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
42950,31.0,2015-05-18,100,1.0,0.0,20.0,0.0,0.0,0.35,20.0,8.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.2,5.0,13.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.3333333333333333,0.45161290322580644,31.0,0.0,0.0
42761,26.0,2015-04-28,82,1.0,0.0,8.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.2,5.0,13.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.3333333333333333,0.45161290322580644,31.0,14.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
42688,24.0,2015-04-20,81,1.0,0.0,13.0,0.0,0.0,0.2,5.0,13.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.3333333333333333,0.45161290322580644,31.0,14.0,0.0,0.0,0.43478260869565216,23.0,3.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
42601,22.0,2015-04-07,78,1.0,0.0,13.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.3333333333333333,0.45161290322580644,31.0,14.0,0.0,0.0,0.43478260869565216,23.0,3.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.0,0.25,16.0,0.0,0.0
42486,20.0,2015-03-25,76,1.0,3.0,13.0,0.0,0.3333333333333333,0.45161290322580644,31.0,14.0,0.0,0.0,0.43478260869565216,23.0,3.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6,20.0,0.0,0.0
42393,19.0,2015-03-12,74,1.0,3.0,14.0,0.0,0.0,0.43478260869565216,23.0,3.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6,20.0,9.0,0.0,0.0,0.4,20.0,0.0,0.0
42316,16.0,2015-02-26,80,1.0,3.0,3.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6,20.0,9.0,0.0,0.0,0.4,20.0,19.0,0.0,0.0,0.25,24.0,1.0,0.0
42294,16.0,2015-02-23,80,1.0,3.0,4.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6,20.0,9.0,0.0,0.0,0.4,20.0,19.0,0.0,0.0,0.25,24.0,2.0,1.0,0.6,0.5370370370370371,54.0,0.0,1.0
42226,13.0,2015-02-19,78,1.0,3.0,1.0,1.0,1.0,0.6,20.0,9.0,0.0,0.0,0.4,20.0,19.0,0.0,0.0,0.25,24.0,2.0,1.0,0.6,0.5370370370370371,54.0,7.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
42219,13.0,2015-02-18,78,1.0,3.0,9.0,0.0,0.0,0.4,20.0,19.0,0.0,0.0,0.25,24.0,2.0,1.0,0.6,0.5370370370370371,54.0,7.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.3333333333333333,0.5151515151515151,33.0,0.0,1.0
42121,10.0,2015-02-09,78,0.0,3.0,19.0,0.0,0.0,0.25,24.0,2.0,1.0,0.6,0.5370370370370371,54.0,7.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.3333333333333333,0.5151515151515151,33.0,84.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,0.0
41980,6.0,2015-01-21,81,1.0,3.0,2.0,1.0,0.6,0.5370370370370371,54.0,7.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.3333333333333333,0.5151515151515151,33.0,84.0,0.0,0.3333333333333333,0.4444444444444444,27.0,18.0,0.0,0.0,0.2,15.0,1.0,0.0
41916,6.0,2015-01-19,81,1.0,3.0,7.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.3333333333333333,0.5151515151515151,33.0,84.0,0.0,0.3333333333333333,0.4444444444444444,27.0,18.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
41886,5.0,2015-01-12,77,1.0,3.0,6.0,0.0,0.3333333333333333,0.5151515151515151,33.0,84.0,0.0,0.3333333333333333,0.4444444444444444,27.0,18.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.5384615384615384,26.0,0.0,0.0
