,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46522,52.0,2016-08-30,58,1.0,3.0,50.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.0,0.40625,32.0,10.0,1.0,0.6666666666666666,0.5862068965517241,29.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
46075,41.0,2016-07-11,77,1.0,0.0,12.0,0.0,0.0,0.40625,32.0,10.0,1.0,0.6666666666666666,0.5862068965517241,29.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
45973,39.0,2016-06-29,80,1.0,2.0,10.0,1.0,0.6666666666666666,0.5862068965517241,29.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.56,25.0,0.0,0.0
45841,36.0,2016-06-19,192,1.0,2.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.56,25.0,4.0,0.0,0.0,0.46153846153846156,26.0,4.0,1.0
45840,36.0,2016-06-18,192,1.0,2.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.56,25.0,4.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,3.0,1.0
45838,36.0,2016-06-17,192,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.56,25.0,4.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0
45827,36.0,2016-06-15,192,1.0,2.0,1.0,1.0,1.0,0.56,25.0,4.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.25,0.38235294117647056,34.0,1.0,1.0
45816,36.0,2016-06-14,192,1.0,2.0,4.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.25,0.38235294117647056,34.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
45778,34.0,2016-06-10,226,1.0,2.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.25,0.38235294117647056,34.0,7.0,0.0,0.0,0.29411764705882354,17.0,19.0,0.0,0.0,0.29411764705882354,17.0,2.0,0.0
45769,34.0,2016-06-08,226,1.0,2.0,1.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.25,0.38235294117647056,34.0,7.0,0.0,0.0,0.29411764705882354,17.0,19.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.6,20.0,1.0,1.0
45759,34.0,2016-06-07,226,1.0,2.0,14.0,0.0,0.25,0.38235294117647056,34.0,7.0,0.0,0.0,0.29411764705882354,17.0,19.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.6,20.0,239.0,0.0,0.3333333333333333,0.38235294117647056,34.0,0.0,1.0
45660,33.0,2016-05-24,236,1.0,0.0,7.0,0.0,0.0,0.29411764705882354,17.0,19.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.6,20.0,239.0,0.0,0.3333333333333333,0.38235294117647056,34.0,32.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,0.0
45586,31.0,2016-05-17,236,1.0,0.0,19.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.6,20.0,239.0,0.0,0.3333333333333333,0.38235294117647056,34.0,32.0,0.0,0.3333333333333333,0.4074074074074074,27.0,3.0,1.0,0.6666666666666666,0.6153846153846154,26.0,0.0,0.0
45457,28.0,2016-04-28,267,1.0,0.0,2.0,1.0,1.0,0.6,20.0,239.0,0.0,0.3333333333333333,0.38235294117647056,34.0,32.0,0.0,0.3333333333333333,0.4074074074074074,27.0,3.0,1.0,0.6666666666666666,0.6153846153846154,26.0,28.0,0.0,0.0,0.28,25.0,1.0,0.0
