,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46182,44.0,2016-07-21,421,1.0,0.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.5652173913043478,23.0,320.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,1.0,0.6785714285714286,28.0,27.0,0.0,0.0,0.44,25.0,2.0,0.0
46178,44.0,2016-07-20,421,1.0,0.0,1.0,1.0,1.0,0.5652173913043478,23.0,320.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,1.0,0.6785714285714286,28.0,27.0,0.0,0.0,0.44,25.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0
46170,44.0,2016-07-19,421,1.0,0.0,320.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,1.0,0.6785714285714286,28.0,27.0,0.0,0.0,0.44,25.0,1.0,1.0,1.0,0.5909090909090909,22.0,54.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
43938,52.0,2015-09-03,132,1.0,3.0,2.0,1.0,1.0,0.6785714285714286,28.0,27.0,0.0,0.0,0.44,25.0,1.0,1.0,1.0,0.5909090909090909,22.0,54.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.5625,32.0,1.0,0.0
43879,52.0,2015-09-01,132,1.0,3.0,27.0,0.0,0.0,0.44,25.0,1.0,1.0,1.0,0.5909090909090909,22.0,54.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.5625,32.0,12.0,0.0,0.25,0.4318181818181818,44.0,0.0,1.0
43633,47.0,2015-08-05,130,1.0,0.0,1.0,1.0,1.0,0.5909090909090909,22.0,54.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.5625,32.0,12.0,0.0,0.25,0.4318181818181818,44.0,3.0,1.0,1.0,0.5714285714285714,35.0,1.0,0.0
43623,47.0,2015-08-04,130,1.0,0.0,54.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.5625,32.0,12.0,0.0,0.25,0.4318181818181818,44.0,3.0,1.0,1.0,0.5714285714285714,35.0,5.0,0.0,0.0,0.4,20.0,0.0,1.0
43146,34.0,2015-06-11,109,1.0,2.0,2.0,1.0,0.6666666666666666,0.5625,32.0,12.0,0.0,0.25,0.4318181818181818,44.0,3.0,1.0,1.0,0.5714285714285714,35.0,5.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
43136,34.0,2015-06-09,109,1.0,2.0,12.0,0.0,0.25,0.4318181818181818,44.0,3.0,1.0,1.0,0.5714285714285714,35.0,5.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,19.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0
43085,33.0,2015-05-28,110,1.0,0.0,3.0,1.0,1.0,0.5714285714285714,35.0,5.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,19.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,0.0,0.7142857142857143,7.0,1.0,0.0
43040,33.0,2015-05-25,110,1.0,0.0,5.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,19.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,0.0,0.7142857142857143,7.0,31.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
42961,31.0,2015-05-20,104,1.0,0.0,2.0,1.0,1.0,0.7058823529411765,17.0,19.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,0.0,0.7142857142857143,7.0,31.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
42951,31.0,2015-05-18,104,1.0,0.0,19.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,0.0,0.7142857142857143,7.0,31.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5909090909090909,22.0,11.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
42795,27.0,2015-04-29,83,1.0,0.0,1.0,1.0,0.0,0.7142857142857143,7.0,31.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5909090909090909,22.0,11.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,1.0,0.6,20.0,1.0,0.0
42788,27.0,2015-04-28,83,1.0,0.0,31.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5909090909090909,22.0,11.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,1.0,0.6,20.0,36.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
42533,20.0,2015-03-28,79,1.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,11.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,1.0,0.6,20.0,36.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.0,0.3448275862068966,29.0,1.0,0.0
42506,20.0,2015-03-26,79,1.0,3.0,11.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,1.0,0.6,20.0,36.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,1.0,0.72,25.0,0.0,1.0
42426,19.0,2015-03-15,86,1.0,3.0,3.0,1.0,1.0,0.6,20.0,36.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,1.0,0.72,25.0,13.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,0.0
42392,19.0,2015-03-12,86,1.0,3.0,36.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,1.0,0.72,25.0,13.0,0.0,0.3333333333333333,0.42424242424242425,33.0,69.0,0.0,0.3333333333333333,0.38461538461538464,26.0,0.0,1.0
42102,9.0,2015-02-04,93,0.0,3.0,14.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,1.0,0.72,25.0,13.0,0.0,0.3333333333333333,0.42424242424242425,33.0,69.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
41975,6.0,2015-01-21,108,1.0,3.0,2.0,1.0,1.0,0.72,25.0,13.0,0.0,0.3333333333333333,0.42424242424242425,33.0,69.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,1.0,1.0,0.7058823529411765,17.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
41934,6.0,2015-01-19,108,1.0,3.0,13.0,0.0,0.3333333333333333,0.42424242424242425,33.0,69.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,1.0,1.0,0.7058823529411765,17.0,5.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
41780,1.0,2015-01-06,110,1.0,3.0,69.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,1.0,1.0,0.7058823529411765,17.0,5.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,0.0
