,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46527,52.0,2016-08-30,66,1.0,3.0,3.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,0.6666666666666666,0.6296296296296297,27.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,0.0,0.0
46469,51.0,2016-08-27,81,1.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,0.6666666666666666,0.6296296296296297,27.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,6.0,0.0,0.0,0.3157894736842105,19.0,4.0,0.0
46464,51.0,2016-08-25,81,1.0,3.0,1.0,1.0,0.6666666666666666,0.6296296296296297,27.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,6.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,3.0,1.0
46458,51.0,2016-08-24,81,1.0,3.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,6.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,21.0,0.0,0.0,0.4117647058823529,17.0,2.0,1.0
46447,51.0,2016-08-23,81,1.0,3.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,6.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,21.0,0.0,0.0,0.4117647058823529,17.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0
46438,51.0,2016-08-23,81,1.0,3.0,6.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,21.0,0.0,0.0,0.4117647058823529,17.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.7222222222222222,18.0,0.0,1.0
46394,50.0,2016-08-17,91,1.0,3.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,21.0,0.0,0.0,0.4117647058823529,17.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.7222222222222222,18.0,17.0,0.0,0.0,0.3448275862068966,29.0,1.0,0.0
46381,50.0,2016-08-16,91,1.0,3.0,21.0,0.0,0.0,0.4117647058823529,17.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.7222222222222222,18.0,17.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,0.75,0.575,40.0,0.0,1.0
46274,47.0,2016-07-26,67,1.0,3.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.7222222222222222,18.0,17.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,0.75,0.575,40.0,2.0,1.0,0.6,0.5283018867924528,53.0,0.0,0.0
46244,46.0,2016-07-21,65,1.0,3.0,2.0,1.0,1.0,0.7222222222222222,18.0,17.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,0.75,0.575,40.0,2.0,1.0,0.6,0.5283018867924528,53.0,7.0,0.0,0.0,0.25,16.0,1.0,0.0
46216,46.0,2016-07-19,65,1.0,3.0,17.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,0.75,0.575,40.0,2.0,1.0,0.6,0.5283018867924528,53.0,7.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,0.0,1.0
46022,39.0,2016-07-02,67,1.0,2.0,2.0,1.0,0.75,0.575,40.0,2.0,1.0,0.6,0.5283018867924528,53.0,7.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,11.0,0.0,0.0,0.4,20.0,2.0,0.0
46003,39.0,2016-06-30,67,1.0,2.0,2.0,1.0,0.6,0.5283018867924528,53.0,7.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,11.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5625,32.0,1.0,1.0
45961,39.0,2016-06-28,67,1.0,2.0,7.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,11.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5625,32.0,14.0,0.0,0.25,0.47058823529411764,51.0,0.0,1.0
45902,38.0,2016-06-21,67,1.0,2.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,11.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5625,32.0,14.0,0.0,0.25,0.47058823529411764,51.0,59.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
45879,38.0,2016-06-20,67,1.0,2.0,11.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5625,32.0,14.0,0.0,0.25,0.47058823529411764,51.0,59.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
45776,34.0,2016-06-09,66,1.0,2.0,2.0,1.0,0.6666666666666666,0.5625,32.0,14.0,0.0,0.25,0.47058823529411764,51.0,59.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,10.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
45762,34.0,2016-06-07,66,1.0,2.0,14.0,0.0,0.25,0.47058823529411764,51.0,59.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,10.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8571428571428571,14.0,0.0,1.0
45670,33.0,2016-05-24,61,1.0,0.0,59.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,10.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8571428571428571,14.0,17.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
45164,20.0,2016-03-26,69,1.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,10.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8571428571428571,14.0,17.0,0.0,0.0,0.3333333333333333,18.0,8.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,0.0
45125,20.0,2016-03-24,69,1.0,3.0,10.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8571428571428571,14.0,17.0,0.0,0.0,0.3333333333333333,18.0,8.0,0.0,0.3333333333333333,0.47058823529411764,34.0,5.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
45074,19.0,2016-03-14,74,1.0,3.0,2.0,1.0,1.0,0.8571428571428571,14.0,17.0,0.0,0.0,0.3333333333333333,18.0,8.0,0.0,0.3333333333333333,0.47058823529411764,34.0,5.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,1.0,0.0
45038,19.0,2016-03-12,74,1.0,3.0,17.0,0.0,0.0,0.3333333333333333,18.0,8.0,0.0,0.3333333333333333,0.47058823529411764,34.0,5.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,4.0,0.0,0.3333333333333333,0.47058823529411764,34.0,0.0,1.0
44937,16.0,2016-02-24,61,1.0,3.0,8.0,0.0,0.3333333333333333,0.47058823529411764,34.0,5.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,4.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,0.0,0.0
44840,13.0,2016-02-16,63,1.0,3.0,5.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,4.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,2.0,1.0,1.0,0.8,15.0,0.0,0.0
44794,11.0,2016-02-11,66,0.0,3.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,4.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,2.0,1.0,1.0,0.8,15.0,10.0,0.0,0.0,0.3870967741935484,31.0,1.0,0.0
44782,11.0,2016-02-09,66,0.0,3.0,4.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,2.0,1.0,1.0,0.8,15.0,10.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,0.6,0.54,50.0,0.0,1.0
44689,7.0,2016-02-05,78,0.0,3.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,2.0,1.0,1.0,0.8,15.0,10.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,0.6,0.54,50.0,2.0,1.0,0.3333333333333333,0.5128205128205128,39.0,2.0,0.0
44687,7.0,2016-02-04,78,0.0,3.0,2.0,1.0,1.0,0.8,15.0,10.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,0.6,0.54,50.0,2.0,1.0,0.3333333333333333,0.5128205128205128,39.0,8.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0
