,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46613,53.0,2016-09-22,162,0.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,63.0,0.0,0.3333333333333333,0.43333333333333335,30.0,128.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,0.75,16.0,23.0,0.0,0.3333333333333333,0.48,25.0,1.0,0.0
46604,53.0,2016-09-20,162,0.0,3.0,63.0,0.0,0.3333333333333333,0.43333333333333335,30.0,128.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,0.75,16.0,23.0,0.0,0.3333333333333333,0.48,25.0,1.0,1.0,0.6666666666666666,0.6,30.0,0.0,1.0
46220,46.0,2016-07-19,147,1.0,3.0,128.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,0.75,16.0,23.0,0.0,0.3333333333333333,0.48,25.0,1.0,1.0,0.6666666666666666,0.6,30.0,148.0,0.0,0.0,0.35,20.0,0.0,0.0
45064,19.0,2016-03-13,166,1.0,3.0,1.0,1.0,1.0,0.75,16.0,23.0,0.0,0.3333333333333333,0.48,25.0,1.0,1.0,0.6666666666666666,0.6,30.0,148.0,0.0,0.0,0.35,20.0,84.0,0.0,0.4,0.49122807017543857,57.0,1.0,0.0
45039,19.0,2016-03-12,166,1.0,3.0,23.0,0.0,0.3333333333333333,0.48,25.0,1.0,1.0,0.6666666666666666,0.6,30.0,148.0,0.0,0.0,0.35,20.0,84.0,0.0,0.4,0.49122807017543857,57.0,148.0,0.0,0.3333333333333333,0.4827586206896552,29.0,0.0,1.0
44881,14.0,2016-02-18,196,0.0,3.0,1.0,1.0,0.6666666666666666,0.6,30.0,148.0,0.0,0.0,0.35,20.0,84.0,0.0,0.4,0.49122807017543857,57.0,148.0,0.0,0.3333333333333333,0.4827586206896552,29.0,363.0,0.0,0.0,0.4,20.0,1.0,0.0
44875,14.0,2016-02-17,196,0.0,3.0,148.0,0.0,0.0,0.35,20.0,84.0,0.0,0.4,0.49122807017543857,57.0,148.0,0.0,0.3333333333333333,0.4827586206896552,29.0,363.0,0.0,0.0,0.4,20.0,19.0,0.0,0.0,0.32142857142857145,28.0,0.0,1.0
43975,53.0,2015-09-22,198,0.0,3.0,84.0,0.0,0.4,0.49122807017543857,57.0,148.0,0.0,0.3333333333333333,0.4827586206896552,29.0,363.0,0.0,0.0,0.4,20.0,19.0,0.0,0.0,0.32142857142857145,28.0,2.0,1.0,0.6,0.5686274509803921,51.0,0.0,0.0
43334,39.0,2015-06-30,213,1.0,2.0,148.0,0.0,0.3333333333333333,0.4827586206896552,29.0,363.0,0.0,0.0,0.4,20.0,19.0,0.0,0.0,0.32142857142857145,28.0,2.0,1.0,0.6,0.5686274509803921,51.0,481.0,0.0,0.0,0.2,15.0,0.0,0.0
42038,7.0,2015-02-02,175,0.0,3.0,363.0,0.0,0.0,0.4,20.0,19.0,0.0,0.0,0.32142857142857145,28.0,2.0,1.0,0.6,0.5686274509803921,51.0,481.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.6,20.0,0.0,0.0
39440,7.0,2014-02-04,203,0.0,3.0,19.0,0.0,0.0,0.32142857142857145,28.0,2.0,1.0,0.6,0.5686274509803921,51.0,481.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.6,20.0,485.0,0.0,0.4,0.42,50.0,0.0,0.0
39405,6.0,2014-01-16,267,1.0,3.0,2.0,1.0,0.6,0.5686274509803921,51.0,481.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.6,20.0,485.0,0.0,0.4,0.42,50.0,33.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
39365,6.0,2014-01-14,267,1.0,3.0,481.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.6,20.0,485.0,0.0,0.4,0.42,50.0,33.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
36123,52.0,2012-09-20,222,0.0,3.0,2.0,1.0,1.0,0.6,20.0,485.0,0.0,0.4,0.42,50.0,33.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.3333333333333333,18.0,84.0,0.0,0.0,0.3076923076923077,26.0,1.0,0.0
36111,52.0,2012-09-18,222,0.0,3.0,485.0,0.0,0.4,0.42,50.0,33.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.3333333333333333,18.0,84.0,0.0,0.0,0.3076923076923077,26.0,435.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
32473,31.0,2011-05-22,152,1.0,0.0,33.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.3333333333333333,18.0,84.0,0.0,0.0,0.3076923076923077,26.0,435.0,0.0,0.0,0.4090909090909091,22.0,12.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
