,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
35567,38.0,2012-07-12,216,1.0,0.0,2.0,1.0,1.0,0.56,25.0,1078.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.3333333333333333,0.5161290322580645,31.0,20.0,0.0,0.4,0.48,50.0,1.0,0.0
35558,38.0,2012-07-10,216,1.0,0.0,1078.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.3333333333333333,0.5161290322580645,31.0,20.0,0.0,0.4,0.48,50.0,2.0,1.0,0.75,0.5945945945945946,37.0,0.0,1.0
27662,42.0,2009-07-28,65,1.0,0.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.3333333333333333,0.5161290322580645,31.0,20.0,0.0,0.4,0.48,50.0,2.0,1.0,0.75,0.5945945945945946,37.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
27586,40.0,2009-07-21,62,1.0,0.0,7.0,0.0,0.3333333333333333,0.5161290322580645,31.0,20.0,0.0,0.4,0.48,50.0,2.0,1.0,0.75,0.5945945945945946,37.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.3333333333333333,0.375,24.0,0.0,0.0
27547,39.0,2009-07-14,63,1.0,0.0,20.0,0.0,0.4,0.48,50.0,2.0,1.0,0.75,0.5945945945945946,37.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.3333333333333333,0.375,24.0,11.0,0.0,0.0,0.3448275862068966,29.0,0.0,0.0
27428,36.0,2009-06-24,78,1.0,2.0,2.0,1.0,0.75,0.5945945945945946,37.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.3333333333333333,0.375,24.0,11.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,1.0,0.6129032258064516,31.0,1.0,0.0
27358,36.0,2009-06-22,78,1.0,2.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.3333333333333333,0.375,24.0,11.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,1.0,0.6129032258064516,31.0,21.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
27300,34.0,2009-06-15,77,1.0,2.0,7.0,0.0,0.3333333333333333,0.375,24.0,11.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,1.0,0.6129032258064516,31.0,21.0,0.0,0.0,0.4090909090909091,22.0,88.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
27249,33.0,2009-06-08,77,1.0,2.0,11.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,1.0,0.6129032258064516,31.0,21.0,0.0,0.0,0.4090909090909091,22.0,88.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
27175,31.0,2009-05-28,85,1.0,0.0,3.0,1.0,1.0,0.6129032258064516,31.0,21.0,0.0,0.0,0.4090909090909091,22.0,88.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5652173913043478,23.0,15.0,0.0,0.25,0.45,40.0,1.0,0.0
27126,31.0,2009-05-25,85,1.0,0.0,21.0,0.0,0.0,0.4090909090909091,22.0,88.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5652173913043478,23.0,15.0,0.0,0.25,0.45,40.0,11.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
26968,28.0,2009-05-04,81,1.0,0.0,88.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5652173913043478,23.0,15.0,0.0,0.25,0.45,40.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.8,15.0,0.0,0.0
26145,7.0,2009-02-05,93,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,15.0,0.0,0.25,0.45,40.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.8,15.0,91.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
26131,7.0,2009-02-03,93,1.0,3.0,15.0,0.0,0.25,0.45,40.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.8,15.0,91.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.3333333333333333,0.48717948717948717,39.0,0.0,1.0
26008,6.0,2009-01-19,102,1.0,3.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.8,15.0,91.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.3333333333333333,0.48717948717948717,39.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,0.0,0.0
25897,2.0,2009-01-08,97,1.0,3.0,2.0,1.0,1.0,0.8,15.0,91.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.3333333333333333,0.48717948717948717,39.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
25892,2.0,2009-01-06,97,1.0,3.0,91.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.3333333333333333,0.48717948717948717,39.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,0.0,1.0
25595,58.0,2008-10-07,102,0.0,3.0,6.0,0.0,0.3333333333333333,0.48717948717948717,39.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,26.0,0.0,0.4,0.4489795918367347,49.0,0.0,0.0
25536,56.0,2008-10-01,102,1.0,3.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,26.0,0.0,0.4,0.4489795918367347,49.0,3.0,1.0,0.6666666666666666,0.625,32.0,1.0,0.0
25510,56.0,2008-09-29,102,1.0,3.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,26.0,0.0,0.4,0.4489795918367347,49.0,3.0,1.0,0.6666666666666666,0.625,32.0,6.0,0.0,0.0,0.25,16.0,0.0,1.0
25463,54.0,2008-09-25,105,1.0,3.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,26.0,0.0,0.4,0.4489795918367347,49.0,3.0,1.0,0.6666666666666666,0.625,32.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,0.0
25458,54.0,2008-09-24,105,1.0,3.0,26.0,0.0,0.4,0.4489795918367347,49.0,3.0,1.0,0.6666666666666666,0.625,32.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,0.0,1.0
25344,51.0,2008-08-29,81,1.0,3.0,3.0,1.0,0.6666666666666666,0.625,32.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,32.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
25307,51.0,2008-08-26,81,1.0,3.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,32.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.6,25.0,0.0,1.0
25255,50.0,2008-08-20,82,1.0,3.0,1.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,32.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.6,25.0,8.0,0.0,0.0,0.4090909090909091,22.0,2.0,0.0
