,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
24140,25.0,2008-04-28,260,1.0,0.0,43.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.5833333333333334,24.0,23.0,0.0,0.3333333333333333,0.45454545454545453,33.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
23851,19.0,2008-03-16,206,1.0,3.0,2.0,1.0,1.0,0.5833333333333334,24.0,23.0,0.0,0.3333333333333333,0.45454545454545453,33.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6190476190476191,21.0,44.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
23818,19.0,2008-03-14,206,1.0,3.0,23.0,0.0,0.3333333333333333,0.45454545454545453,33.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6190476190476191,21.0,44.0,0.0,0.0,0.29411764705882354,17.0,69.0,0.0,0.0,0.25,16.0,0.0,1.0
23622,13.0,2008-02-20,209,0.0,3.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6190476190476191,21.0,44.0,0.0,0.0,0.29411764705882354,17.0,69.0,0.0,0.0,0.25,16.0,13.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
23507,9.0,2008-02-14,214,1.0,3.0,1.0,1.0,1.0,0.6190476190476191,21.0,44.0,0.0,0.0,0.29411764705882354,17.0,69.0,0.0,0.0,0.25,16.0,13.0,0.0,0.0,0.29411764705882354,17.0,41.0,0.0,0.25,0.42857142857142855,42.0,1.0,0.0
23496,9.0,2008-02-13,214,1.0,3.0,44.0,0.0,0.0,0.29411764705882354,17.0,69.0,0.0,0.0,0.25,16.0,13.0,0.0,0.0,0.29411764705882354,17.0,41.0,0.0,0.25,0.42857142857142855,42.0,3.0,1.0,0.75,0.5348837209302325,43.0,0.0,1.0
23208,3.0,2007-12-31,152,1.0,3.0,69.0,0.0,0.0,0.25,16.0,13.0,0.0,0.0,0.29411764705882354,17.0,41.0,0.0,0.25,0.42857142857142855,42.0,3.0,1.0,0.75,0.5348837209302325,43.0,20.0,0.0,0.3333333333333333,0.46875,32.0,3.0,0.0
23058,64.0,2007-10-23,121,0.0,1.0,13.0,0.0,0.0,0.29411764705882354,17.0,41.0,0.0,0.25,0.42857142857142855,42.0,3.0,1.0,0.75,0.5348837209302325,43.0,20.0,0.0,0.3333333333333333,0.46875,32.0,15.0,0.0,0.3333333333333333,0.5,32.0,0.0,0.0
22892,59.0,2007-10-10,98,0.0,3.0,41.0,0.0,0.25,0.42857142857142855,42.0,3.0,1.0,0.75,0.5348837209302325,43.0,20.0,0.0,0.3333333333333333,0.46875,32.0,15.0,0.0,0.3333333333333333,0.5,32.0,6.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
22590,51.0,2007-08-30,106,1.0,3.0,3.0,1.0,0.75,0.5348837209302325,43.0,20.0,0.0,0.3333333333333333,0.46875,32.0,15.0,0.0,0.3333333333333333,0.5,32.0,6.0,0.0,0.0,0.3333333333333333,18.0,19.0,0.0,0.25,0.43478260869565216,46.0,1.0,0.0
22521,51.0,2007-08-27,106,1.0,3.0,20.0,0.0,0.3333333333333333,0.46875,32.0,15.0,0.0,0.3333333333333333,0.5,32.0,6.0,0.0,0.0,0.3333333333333333,18.0,19.0,0.0,0.25,0.43478260869565216,46.0,2.0,1.0,1.0,0.6363636363636364,22.0,0.0,1.0
22379,48.0,2007-08-07,96,1.0,3.0,15.0,0.0,0.3333333333333333,0.5,32.0,6.0,0.0,0.0,0.3333333333333333,18.0,19.0,0.0,0.25,0.43478260869565216,46.0,2.0,1.0,1.0,0.6363636363636364,22.0,7.0,0.0,0.3333333333333333,0.4666666666666667,30.0,0.0,0.0
22210,44.0,2007-07-23,89,1.0,0.0,6.0,0.0,0.0,0.3333333333333333,18.0,19.0,0.0,0.25,0.43478260869565216,46.0,2.0,1.0,1.0,0.6363636363636364,22.0,7.0,0.0,0.3333333333333333,0.4666666666666667,30.0,4.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
22150,42.0,2007-07-17,90,1.0,0.0,19.0,0.0,0.25,0.43478260869565216,46.0,2.0,1.0,1.0,0.6363636363636364,22.0,7.0,0.0,0.3333333333333333,0.4666666666666667,30.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5757575757575758,33.0,0.0,0.0
21951,36.0,2007-06-28,57,1.0,2.0,2.0,1.0,1.0,0.6363636363636364,22.0,7.0,0.0,0.3333333333333333,0.4666666666666667,30.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5757575757575758,33.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,0.0
21894,36.0,2007-06-26,57,1.0,2.0,7.0,0.0,0.3333333333333333,0.4666666666666667,30.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5757575757575758,33.0,2.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.0,0.28,25.0,0.0,1.0
21838,35.0,2007-06-19,54,1.0,2.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5757575757575758,33.0,2.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.0,0.28,25.0,8.0,0.0,0.0,0.4,20.0,0.0,0.0
21790,33.0,2007-06-15,58,1.0,2.0,2.0,1.0,0.6666666666666666,0.5757575757575758,33.0,2.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.0,0.28,25.0,8.0,0.0,0.0,0.4,20.0,20.0,0.0,0.0,0.3333333333333333,18.0,2.0,0.0
