,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46528,52.0,2016-08-30,94,1.0,3.0,12.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6,20.0,29.0,0.0,0.0,0.35,20.0,18.0,0.0,0.0,0.3076923076923077,26.0,3.0,1.0,0.75,0.5897435897435898,39.0,0.0,0.0
46407,50.0,2016-08-18,104,1.0,3.0,1.0,1.0,1.0,0.6,20.0,29.0,0.0,0.0,0.35,20.0,18.0,0.0,0.0,0.3076923076923077,26.0,3.0,1.0,0.75,0.5897435897435898,39.0,33.0,0.0,0.25,0.4,40.0,1.0,0.0
46392,50.0,2016-08-17,104,1.0,3.0,29.0,0.0,0.0,0.35,20.0,18.0,0.0,0.0,0.3076923076923077,26.0,3.0,1.0,0.75,0.5897435897435898,39.0,33.0,0.0,0.25,0.4,40.0,2.0,1.0,0.75,0.55,40.0,0.0,1.0
46141,43.0,2016-07-19,94,1.0,0.0,18.0,0.0,0.0,0.3076923076923077,26.0,3.0,1.0,0.75,0.5897435897435898,39.0,33.0,0.0,0.25,0.4,40.0,2.0,1.0,0.75,0.55,40.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
46014,39.0,2016-07-01,97,1.0,2.0,3.0,1.0,0.75,0.5897435897435898,39.0,33.0,0.0,0.25,0.4,40.0,2.0,1.0,0.75,0.55,40.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.5625,32.0,1.0,0.0
45953,39.0,2016-06-28,97,1.0,2.0,33.0,0.0,0.25,0.4,40.0,2.0,1.0,0.75,0.55,40.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.5625,32.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,0.0,1.0
45725,33.0,2016-05-26,92,1.0,0.0,2.0,1.0,0.75,0.55,40.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.5625,32.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,2.0,1.0,1.0,0.6,20.0,1.0,0.0
45689,33.0,2016-05-24,92,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.5625,32.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,2.0,1.0,1.0,0.6,20.0,7.0,0.0,0.0,0.44,25.0,0.0,1.0
45569,30.0,2016-05-13,114,1.0,0.0,1.0,1.0,0.6666666666666666,0.5625,32.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,2.0,1.0,1.0,0.6,20.0,7.0,0.0,0.0,0.44,25.0,21.0,1.0,0.6666666666666666,0.5333333333333333,30.0,3.0,0.0
45563,30.0,2016-05-12,114,1.0,0.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,2.0,1.0,1.0,0.6,20.0,7.0,0.0,0.0,0.44,25.0,21.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0
