,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46166,44.0,2016-07-19,122,1.0,0.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,14.0,0.0,0.4,0.4716981132075472,53.0,36.0,0.0,0.0,0.4117647058823529,34.0,32.0,0.0,0.0,0.25,16.0,0.0,0.0
46061,40.0,2016-07-13,125,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,18.0,14.0,0.0,0.4,0.4716981132075472,53.0,36.0,0.0,0.0,0.4117647058823529,34.0,32.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.75,16.0,1.0,0.0
46053,40.0,2016-07-12,125,1.0,0.0,14.0,0.0,0.4,0.4716981132075472,53.0,36.0,0.0,0.0,0.4117647058823529,34.0,32.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
45961,39.0,2016-06-28,120,1.0,2.0,36.0,0.0,0.0,0.4117647058823529,34.0,32.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.6666666666666666,18.0,9.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
45645,33.0,2016-05-23,98,1.0,0.0,32.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.6666666666666666,18.0,9.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.6842105263157895,19.0,0.0,0.0
45343,24.0,2016-04-21,104,1.0,0.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.6666666666666666,18.0,9.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.6842105263157895,19.0,2.0,1.0,1.0,0.6,20.0,2.0,0.0
45337,24.0,2016-04-20,104,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,18.0,9.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.6842105263157895,19.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.6,20.0,1.0,1.0
45317,24.0,2016-04-18,104,1.0,0.0,9.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.6842105263157895,19.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.6,20.0,56.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
45253,22.0,2016-04-09,123,1.0,0.0,1.0,1.0,1.0,0.6842105263157895,19.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.6,20.0,56.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.3333333333333333,18.0,3.0,0.0
45249,22.0,2016-04-08,123,1.0,0.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.6,20.0,56.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,1.0
