,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
22825,57.0,2007-10-03,157,1.0,3.0,2.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,54.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.631578947368421,19.0,13.0,0.0,0.0,0.18181818181818182,11.0,1.0,0.0
22803,57.0,2007-10-01,157,1.0,3.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,54.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.631578947368421,19.0,13.0,0.0,0.0,0.18181818181818182,11.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
22738,55.0,2007-09-24,150,0.0,3.0,54.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.631578947368421,19.0,13.0,0.0,0.0,0.18181818181818182,11.0,1.0,1.0,1.0,0.7058823529411765,17.0,3.0,0.0,0.3333333333333333,0.4090909090909091,22.0,0.0,0.0
22337,47.0,2007-08-01,107,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,13.0,0.0,0.0,0.18181818181818182,11.0,1.0,1.0,1.0,0.7058823529411765,17.0,3.0,0.0,0.3333333333333333,0.4090909090909091,22.0,1.0,1.0,1.0,0.6,20.0,1.0,0.0
22324,47.0,2007-07-31,107,1.0,3.0,13.0,0.0,0.0,0.18181818181818182,11.0,1.0,1.0,1.0,0.7058823529411765,17.0,3.0,0.0,0.3333333333333333,0.4090909090909091,22.0,1.0,1.0,1.0,0.6,20.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,0.0,1.0
22128,41.0,2007-07-18,110,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,3.0,0.0,0.3333333333333333,0.4090909090909091,22.0,1.0,1.0,1.0,0.6,20.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
22121,41.0,2007-07-17,110,1.0,3.0,3.0,0.0,0.3333333333333333,0.4090909090909091,22.0,1.0,1.0,1.0,0.6,20.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,2.0,1.0,1.0,0.631578947368421,19.0,27.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
22079,39.0,2007-07-14,137,1.0,2.0,1.0,1.0,1.0,0.6,20.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,2.0,1.0,1.0,0.631578947368421,19.0,27.0,0.0,0.0,0.4090909090909091,22.0,93.0,0.0,0.0,0.3333333333333333,18.0,3.0,0.0
22076,39.0,2007-07-13,137,1.0,2.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,2.0,1.0,1.0,0.631578947368421,19.0,27.0,0.0,0.0,0.4090909090909091,22.0,93.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0
22066,39.0,2007-07-11,137,1.0,2.0,2.0,1.0,1.0,0.631578947368421,19.0,27.0,0.0,0.0,0.4090909090909091,22.0,93.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,134.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,1.0
22052,39.0,2007-07-09,137,1.0,2.0,27.0,0.0,0.0,0.4090909090909091,22.0,93.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,134.0,0.0,0.3333333333333333,0.4444444444444444,27.0,2.0,1.0,0.0,0.35714285714285715,14.0,0.0,1.0
21722,32.0,2007-06-12,139,1.0,2.0,93.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,134.0,0.0,0.3333333333333333,0.4444444444444444,27.0,2.0,1.0,0.0,0.35714285714285715,14.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,0.0,0.0
21039,19.0,2007-03-11,142,1.0,3.0,1.0,1.0,1.0,0.6190476190476191,21.0,134.0,0.0,0.3333333333333333,0.4444444444444444,27.0,2.0,1.0,0.0,0.35714285714285715,14.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,12.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
21008,19.0,2007-03-10,142,1.0,3.0,134.0,0.0,0.3333333333333333,0.4444444444444444,27.0,2.0,1.0,0.0,0.35714285714285715,14.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,12.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.2,15.0,0.0,1.0
20268,65.0,2006-10-27,135,0.0,1.0,2.0,1.0,0.0,0.35714285714285715,14.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,12.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,0.0
20261,65.0,2006-10-25,135,0.0,1.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,12.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0
20243,65.0,2006-10-23,135,0.0,1.0,12.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,0.6666666666666666,0.5,32.0,0.0,1.0
20051,59.0,2006-10-11,133,0.0,1.0,6.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,0.6666666666666666,0.5,32.0,23.0,0.0,0.0,0.4444444444444444,36.0,0.0,0.0
20026,58.0,2006-10-05,73,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,0.6666666666666666,0.5,32.0,23.0,0.0,0.0,0.4444444444444444,36.0,3.0,1.0,0.75,0.5384615384615384,39.0,1.0,0.0
20013,58.0,2006-10-04,73,1.0,3.0,6.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,0.6666666666666666,0.5,32.0,23.0,0.0,0.0,0.4444444444444444,36.0,3.0,1.0,0.75,0.5384615384615384,39.0,1.0,1.0,0.6,0.5283018867924528,53.0,0.0,1.0
