,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
45029,19.0,2016-03-11,69,1.0,3.0,15.0,0.0,0.3333333333333333,0.4074074074074074,27.0,3.0,1.0,0.6666666666666666,0.5925925925925926,27.0,6.0,0.0,0.3333333333333333,0.4230769230769231,26.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,21.0,0.0,0.4,0.4489795918367347,49.0,0.0,0.0
45004,18.0,2016-02-25,72,0.0,0.0,3.0,1.0,0.6666666666666666,0.5925925925925926,27.0,6.0,0.0,0.3333333333333333,0.4230769230769231,26.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,21.0,0.0,0.4,0.4489795918367347,49.0,13.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,0.0
44986,18.0,2016-02-22,72,0.0,0.0,6.0,0.0,0.3333333333333333,0.4230769230769231,26.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,21.0,0.0,0.4,0.4489795918367347,49.0,13.0,0.0,0.3333333333333333,0.47058823529411764,34.0,2.0,1.0,0.6666666666666666,0.5,34.0,0.0,1.0
44905,15.0,2016-02-16,72,1.0,0.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,21.0,0.0,0.4,0.4489795918367347,49.0,13.0,0.0,0.3333333333333333,0.47058823529411764,34.0,2.0,1.0,0.6666666666666666,0.5,34.0,668.0,0.0,0.3333333333333333,0.4,25.0,0.0,0.0
44754,10.0,2016-02-09,74,1.0,0.0,21.0,0.0,0.4,0.4489795918367347,49.0,13.0,0.0,0.3333333333333333,0.47058823529411764,34.0,2.0,1.0,0.6666666666666666,0.5,34.0,668.0,0.0,0.3333333333333333,0.4,25.0,241.0,0.0,0.3333333333333333,0.4375,32.0,0.0,0.0
44602,6.0,2016-01-19,71,1.0,3.0,13.0,0.0,0.3333333333333333,0.47058823529411764,34.0,2.0,1.0,0.6666666666666666,0.5,34.0,668.0,0.0,0.3333333333333333,0.4,25.0,241.0,0.0,0.3333333333333333,0.4375,32.0,44.0,0.0,0.0,0.36666666666666664,30.0,0.0,0.0
44478,3.0,2016-01-06,75,1.0,3.0,2.0,1.0,0.6666666666666666,0.5,34.0,668.0,0.0,0.3333333333333333,0.4,25.0,241.0,0.0,0.3333333333333333,0.4375,32.0,44.0,0.0,0.0,0.36666666666666664,30.0,78.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
44461,3.0,2016-01-04,75,1.0,3.0,668.0,0.0,0.3333333333333333,0.4,25.0,241.0,0.0,0.3333333333333333,0.4375,32.0,44.0,0.0,0.0,0.36666666666666664,30.0,78.0,0.0,0.0,0.38095238095238093,21.0,8.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
39805,19.0,2014-03-07,287,1.0,3.0,241.0,0.0,0.3333333333333333,0.4375,32.0,44.0,0.0,0.0,0.36666666666666664,30.0,78.0,0.0,0.0,0.38095238095238093,21.0,8.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,0.0,0.0
38201,40.0,2013-07-09,149,1.0,0.0,44.0,0.0,0.0,0.36666666666666664,30.0,78.0,0.0,0.0,0.38095238095238093,21.0,8.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,0.0,0.0
37756,32.0,2013-05-26,145,1.0,0.0,78.0,0.0,0.0,0.38095238095238093,21.0,8.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,43.0,0.0,0.25,0.4146341463414634,41.0,0.0,0.0
37186,19.0,2013-03-09,135,1.0,3.0,8.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,43.0,0.0,0.25,0.4146341463414634,41.0,179.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
37117,17.0,2013-03-01,154,1.0,3.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,43.0,0.0,0.25,0.4146341463414634,41.0,179.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,0.6666666666666666,0.5,26.0,2.0,0.0
