,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46585,52.0,2016-09-04,5,1.0,3.0,1.0,1.0,1.0,0.72,25.0,2.0,1.0,1.0,0.76,25.0,3.0,1.0,1.0,0.72,25.0,11.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.65,20.0,3.0,0.0
46574,52.0,2016-09-03,5,1.0,3.0,2.0,1.0,1.0,0.76,25.0,3.0,1.0,1.0,0.72,25.0,11.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.65,20.0,81.0,0.0,0.0,0.0,0.0,2.0,1.0
46550,52.0,2016-09-01,5,1.0,3.0,3.0,1.0,1.0,0.72,25.0,11.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.65,20.0,81.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.75,24.0,1.0,1.0
46484,52.0,2016-08-29,5,1.0,3.0,11.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.65,20.0,81.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.75,24.0,2.0,1.0,1.0,0.8571428571428571,21.0,0.0,1.0
46412,50.0,2016-08-18,5,1.0,3.0,1.0,1.0,1.0,0.65,20.0,81.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.75,24.0,2.0,1.0,1.0,0.8571428571428571,21.0,11.0,0.0,0.0,0.44,25.0,1.0,0.0
46400,50.0,2016-08-17,5,1.0,3.0,81.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.75,24.0,2.0,1.0,1.0,0.8571428571428571,21.0,11.0,0.0,0.0,0.44,25.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,0.0,1.0
45734,33.0,2016-05-28,5,1.0,0.0,2.0,1.0,1.0,0.75,24.0,2.0,1.0,1.0,0.8571428571428571,21.0,11.0,0.0,0.0,0.44,25.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,0.0
45716,33.0,2016-05-26,5,1.0,0.0,2.0,1.0,1.0,0.8571428571428571,21.0,11.0,0.0,0.0,0.44,25.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,1.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0
45668,33.0,2016-05-24,5,1.0,0.0,11.0,0.0,0.0,0.44,25.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,1.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.64,25.0,0.0,1.0
45571,30.0,2016-05-13,5,1.0,0.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,1.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.64,25.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,0.0
45564,30.0,2016-05-12,5,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.64,25.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0
45560,30.0,2016-05-11,5,1.0,0.0,4.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.64,25.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.6666666666666666,18.0,9.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
45518,29.0,2016-05-07,5,1.0,0.0,1.0,1.0,0.6666666666666666,0.64,25.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.6666666666666666,18.0,9.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.6666666666666666,18.0,3.0,0.0
45516,29.0,2016-05-06,5,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.6666666666666666,18.0,9.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0
45512,29.0,2016-05-05,5,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,18.0,9.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0
45490,29.0,2016-05-03,5,1.0,0.0,9.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
45357,24.0,2016-04-24,5,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.7058823529411765,17.0,3.0,1.0,0.6666666666666666,0.6,30.0,4.0,1.0
45356,24.0,2016-04-23,5,1.0,0.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.7058823529411765,17.0,3.0,1.0,0.6666666666666666,0.6,30.0,1.0,1.0,0.6666666666666666,0.5384615384615384,26.0,3.0,1.0
