,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46596,52.0,2016-09-09,7,1.0,3.0,2.0,1.0,0.6,0.5217391304347826,46.0,2.0,1.0,1.0,0.59375,32.0,2.0,1.0,0.75,0.6666666666666666,33.0,2.0,1.0,0.75,0.5641025641025641,39.0,2.0,1.0,0.75,0.65625,32.0,5.0,0.0
46593,52.0,2016-09-07,7,1.0,3.0,2.0,1.0,1.0,0.59375,32.0,2.0,1.0,0.75,0.6666666666666666,33.0,2.0,1.0,0.75,0.5641025641025641,39.0,2.0,1.0,0.75,0.65625,32.0,12.0,0.0,0.0,0.46153846153846156,26.0,4.0,1.0
46589,52.0,2016-09-05,7,1.0,3.0,2.0,1.0,0.75,0.6666666666666666,33.0,2.0,1.0,0.75,0.5641025641025641,39.0,2.0,1.0,0.75,0.65625,32.0,12.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.7058823529411765,17.0,3.0,1.0
46580,52.0,2016-09-03,7,1.0,3.0,2.0,1.0,0.75,0.5641025641025641,39.0,2.0,1.0,0.75,0.65625,32.0,12.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.7058823529411765,17.0,17.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0
46552,52.0,2016-09-01,7,1.0,3.0,2.0,1.0,0.75,0.65625,32.0,12.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.7058823529411765,17.0,17.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0
46506,52.0,2016-08-30,7,1.0,3.0,12.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.7058823529411765,17.0,17.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,0.0,1.0
46413,50.0,2016-08-18,7,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,17.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
46393,50.0,2016-08-17,7,1.0,3.0,17.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
46314,47.0,2016-07-31,6,1.0,3.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5909090909090909,22.0,23.0,0.0,0.0,0.15384615384615385,13.0,4.0,0.0
46312,47.0,2016-07-30,6,1.0,3.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5909090909090909,22.0,23.0,0.0,0.0,0.15384615384615385,13.0,2.0,1.0,1.0,0.6060606060606061,33.0,3.0,1.0
