,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46491,52.0,2016-08-29,85,1.0,3.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,17.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5833333333333334,24.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,0.0,0.0
46438,51.0,2016-08-23,86,1.0,3.0,17.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5833333333333334,24.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,13.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
46339,48.0,2016-08-06,97,1.0,3.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5833333333333334,24.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,13.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.7142857142857143,14.0,3.0,0.0
46335,48.0,2016-08-05,97,1.0,3.0,1.0,1.0,0.6666666666666666,0.5833333333333334,24.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,13.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.7142857142857143,14.0,22.0,0.0,0.0,0.3793103448275862,29.0,2.0,1.0
46331,48.0,2016-08-04,97,1.0,3.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,13.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.7142857142857143,14.0,22.0,0.0,0.0,0.3793103448275862,29.0,21.0,0.0,0.3333333333333333,0.4166666666666667,24.0,1.0,1.0
46320,48.0,2016-08-02,97,1.0,3.0,13.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.7142857142857143,14.0,22.0,0.0,0.0,0.3793103448275862,29.0,21.0,0.0,0.3333333333333333,0.4166666666666667,24.0,71.0,0.0,0.0,0.25,16.0,0.0,1.0
46234,46.0,2016-07-20,93,1.0,3.0,1.0,1.0,1.0,0.7142857142857143,14.0,22.0,0.0,0.0,0.3793103448275862,29.0,21.0,0.0,0.3333333333333333,0.4166666666666667,24.0,71.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.6,20.0,1.0,0.0
46225,46.0,2016-07-19,93,1.0,3.0,22.0,0.0,0.0,0.3793103448275862,29.0,21.0,0.0,0.3333333333333333,0.4166666666666667,24.0,71.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
45922,39.0,2016-06-27,122,1.0,2.0,21.0,0.0,0.3333333333333333,0.4166666666666667,24.0,71.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.631578947368421,19.0,40.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
45786,35.0,2016-06-06,117,1.0,2.0,71.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.631578947368421,19.0,40.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.75,16.0,0.0,0.0
45172,20.0,2016-03-27,124,1.0,3.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.631578947368421,19.0,40.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.631578947368421,19.0,2.0,0.0
45143,20.0,2016-03-25,124,1.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,40.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.631578947368421,19.0,21.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0
45119,20.0,2016-03-23,124,1.0,3.0,40.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.631578947368421,19.0,21.0,0.0,0.0,0.36666666666666664,30.0,13.0,0.0,0.3333333333333333,0.45161290322580644,31.0,0.0,1.0
