,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
27347,35.0,2009-06-17,263,1.0,2.0,2.0,1.0,1.0,0.6666666666666666,18.0,702.0,0.0,0.3333333333333333,0.41935483870967744,31.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
27338,35.0,2009-06-15,263,1.0,2.0,702.0,0.0,0.3333333333333333,0.41935483870967744,31.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,1.0,1.0,1.0,0.5909090909090909,22.0,257.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
22078,39.0,2007-07-14,140,1.0,2.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,1.0,1.0,1.0,0.5909090909090909,22.0,257.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.5909090909090909,22.0,3.0,0.0
22074,39.0,2007-07-13,140,1.0,2.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,1.0,1.0,1.0,0.5909090909090909,22.0,257.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.5909090909090909,22.0,92.0,0.0,0.0,0.25,16.0,2.0,1.0
22069,39.0,2007-07-11,140,1.0,2.0,1.0,1.0,1.0,0.5909090909090909,22.0,257.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.5909090909090909,22.0,92.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0
22056,39.0,2007-07-10,140,1.0,2.0,257.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.5909090909090909,22.0,92.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
20235,64.0,2006-10-26,90,0.0,1.0,2.0,1.0,1.0,0.5909090909090909,22.0,92.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.0,0.4117647058823529,34.0,1.0,0.0
20218,64.0,2006-10-24,90,0.0,1.0,92.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.0,0.4117647058823529,34.0,15.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
19329,43.0,2006-07-24,118,1.0,0.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.0,0.4117647058823529,34.0,15.0,0.0,0.0,0.43478260869565216,23.0,12.0,0.0,0.4,0.42,50.0,0.0,0.0
19281,42.0,2006-07-17,120,1.0,0.0,7.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.0,0.4117647058823529,34.0,15.0,0.0,0.0,0.43478260869565216,23.0,12.0,0.0,0.4,0.42,50.0,2.0,1.0,1.0,0.72,25.0,0.0,0.0
19137,38.0,2006-07-10,122,1.0,0.0,12.0,0.0,0.0,0.4117647058823529,34.0,15.0,0.0,0.0,0.43478260869565216,23.0,12.0,0.0,0.4,0.42,50.0,2.0,1.0,1.0,0.72,25.0,131.0,0.0,0.4,0.4666666666666667,60.0,0.0,0.0
19024,36.0,2006-06-28,118,1.0,2.0,15.0,0.0,0.0,0.43478260869565216,23.0,12.0,0.0,0.4,0.42,50.0,2.0,1.0,1.0,0.72,25.0,131.0,0.0,0.4,0.4666666666666667,60.0,2.0,1.0,0.6,0.48,50.0,0.0,0.0
18876,33.0,2006-06-13,117,1.0,2.0,12.0,0.0,0.4,0.42,50.0,2.0,1.0,1.0,0.72,25.0,131.0,0.0,0.4,0.4666666666666667,60.0,2.0,1.0,0.6,0.48,50.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,0.0
18786,31.0,2006-06-01,110,1.0,0.0,2.0,1.0,1.0,0.72,25.0,131.0,0.0,0.4,0.4666666666666667,60.0,2.0,1.0,0.6,0.48,50.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,99.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
18756,31.0,2006-05-30,110,1.0,0.0,131.0,0.0,0.4,0.4666666666666667,60.0,2.0,1.0,0.6,0.48,50.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,99.0,0.0,0.0,0.43478260869565216,23.0,13.0,0.0,0.0,0.44,25.0,0.0,1.0
17668,6.0,2006-01-19,104,1.0,3.0,2.0,1.0,0.6,0.48,50.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,99.0,0.0,0.0,0.43478260869565216,23.0,13.0,0.0,0.0,0.44,25.0,15.0,0.0,0.0,0.35714285714285715,28.0,1.0,0.0
17621,6.0,2006-01-17,104,1.0,3.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,99.0,0.0,0.0,0.43478260869565216,23.0,13.0,0.0,0.0,0.44,25.0,15.0,0.0,0.0,0.35714285714285715,28.0,34.0,0.0,0.0,0.0,12.0,0.0,1.0
17469,2.0,2006-01-03,108,1.0,3.0,99.0,0.0,0.0,0.43478260869565216,23.0,13.0,0.0,0.0,0.44,25.0,15.0,0.0,0.0,0.35714285714285715,28.0,34.0,0.0,0.0,0.0,12.0,8.0,0.0,0.3333333333333333,0.4,30.0,0.0,0.0
16962,54.0,2005-09-26,113,0.0,3.0,13.0,0.0,0.0,0.44,25.0,15.0,0.0,0.0,0.35714285714285715,28.0,34.0,0.0,0.0,0.0,12.0,8.0,0.0,0.3333333333333333,0.4,30.0,13.0,0.0,0.3333333333333333,0.48,25.0,0.0,0.0
16906,52.0,2005-09-13,113,1.0,3.0,15.0,0.0,0.0,0.35714285714285715,28.0,34.0,0.0,0.0,0.0,12.0,8.0,0.0,0.3333333333333333,0.4,30.0,13.0,0.0,0.3333333333333333,0.48,25.0,15.0,0.0,0.4,0.4642857142857143,56.0,0.0,0.0
16781,51.0,2005-08-29,112,1.0,3.0,34.0,0.0,0.0,0.0,12.0,8.0,0.0,0.3333333333333333,0.4,30.0,13.0,0.0,0.3333333333333333,0.48,25.0,15.0,0.0,0.4,0.4642857142857143,56.0,11.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
16501,45.0,2005-07-26,104,1.0,0.0,8.0,0.0,0.3333333333333333,0.4,30.0,13.0,0.0,0.3333333333333333,0.48,25.0,15.0,0.0,0.4,0.4642857142857143,56.0,11.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,0.0,0.0
16292,40.0,2005-07-18,101,1.0,0.0,13.0,0.0,0.3333333333333333,0.48,25.0,15.0,0.0,0.4,0.4642857142857143,56.0,11.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,12.0,0.0,0.0,0.35714285714285715,28.0,0.0,0.0
16269,39.0,2005-07-05,101,1.0,2.0,15.0,0.0,0.4,0.4642857142857143,56.0,11.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,12.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,1.0,0.75,24.0,0.0,0.0
16070,36.0,2005-06-20,105,1.0,2.0,11.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,12.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,1.0,0.75,24.0,210.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
15942,32.0,2005-06-09,118,1.0,2.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,12.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,1.0,0.75,24.0,210.0,0.0,0.0,0.43478260869565216,23.0,43.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,0.0
15927,32.0,2005-06-07,118,1.0,2.0,12.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,1.0,0.75,24.0,210.0,0.0,0.0,0.43478260869565216,23.0,43.0,0.0,0.3333333333333333,0.4838709677419355,31.0,42.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
15887,31.0,2005-05-26,130,1.0,0.0,2.0,1.0,1.0,0.75,24.0,210.0,0.0,0.0,0.43478260869565216,23.0,43.0,0.0,0.3333333333333333,0.4838709677419355,31.0,42.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.0,0.25,16.0,1.0,0.0
15831,31.0,2005-05-24,130,1.0,0.0,210.0,0.0,0.0,0.43478260869565216,23.0,43.0,0.0,0.3333333333333333,0.4838709677419355,31.0,42.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,1.0
14369,63.0,2004-10-26,157,0.0,1.0,43.0,0.0,0.3333333333333333,0.4838709677419355,31.0,42.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,7.0,0.0,0.0,0.2777777777777778,18.0,0.0,0.0
14021,53.0,2004-09-13,150,1.0,3.0,42.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,7.0,0.0,0.0,0.2777777777777778,18.0,6.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
13678,46.0,2004-08-02,157,1.0,3.0,12.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,7.0,0.0,0.0,0.2777777777777778,18.0,6.0,0.0,0.0,0.4090909090909091,22.0,126.0,0.0,0.3333333333333333,0.5,32.0,0.0,0.0
13556,43.0,2004-07-21,167,1.0,0.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,7.0,0.0,0.0,0.2777777777777778,18.0,6.0,0.0,0.0,0.4090909090909091,22.0,126.0,0.0,0.3333333333333333,0.5,32.0,153.0,0.0,0.3333333333333333,0.5,36.0,1.0,0.0
13545,43.0,2004-07-19,167,1.0,0.0,7.0,0.0,0.0,0.2777777777777778,18.0,6.0,0.0,0.0,0.4090909090909091,22.0,126.0,0.0,0.3333333333333333,0.5,32.0,153.0,0.0,0.3333333333333333,0.5,36.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
13445,41.0,2004-07-12,168,1.0,0.0,6.0,0.0,0.0,0.4090909090909091,22.0,126.0,0.0,0.3333333333333333,0.5,32.0,153.0,0.0,0.3333333333333333,0.5,36.0,2.0,1.0,1.0,0.5909090909090909,22.0,5.0,0.0,0.0,0.44,25.0,0.0,0.0
13351,38.0,2004-07-06,171,1.0,2.0,126.0,0.0,0.3333333333333333,0.5,32.0,153.0,0.0,0.3333333333333333,0.5,36.0,2.0,1.0,1.0,0.5909090909090909,22.0,5.0,0.0,0.0,0.44,25.0,92.0,0.0,0.0,0.4444444444444444,36.0,0.0,0.0
12174,15.0,2004-03-02,106,1.0,0.0,153.0,0.0,0.3333333333333333,0.5,36.0,2.0,1.0,1.0,0.5909090909090909,22.0,5.0,0.0,0.0,0.44,25.0,92.0,0.0,0.0,0.4444444444444444,36.0,12.0,0.0,0.3333333333333333,0.5,32.0,0.0,0.0
11360,59.0,2003-10-01,123,1.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,5.0,0.0,0.0,0.44,25.0,92.0,0.0,0.0,0.4444444444444444,36.0,12.0,0.0,0.3333333333333333,0.5,32.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
11333,59.0,2003-09-29,123,1.0,3.0,5.0,0.0,0.0,0.44,25.0,92.0,0.0,0.0,0.4444444444444444,36.0,12.0,0.0,0.3333333333333333,0.5,32.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.5384615384615384,26.0,0.0,1.0
11188,54.0,2003-09-24,125,0.0,3.0,92.0,0.0,0.0,0.4444444444444444,36.0,12.0,0.0,0.3333333333333333,0.5,32.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.5384615384615384,26.0,15.0,0.0,0.4,0.4888888888888889,45.0,0.0,0.0
10350,36.0,2003-06-24,112,1.0,2.0,12.0,0.0,0.3333333333333333,0.5,32.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.5384615384615384,26.0,15.0,0.0,0.4,0.4888888888888889,45.0,133.0,0.0,0.0,0.3870967741935484,31.0,0.0,0.0
10221,33.0,2003-06-12,118,1.0,2.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.5384615384615384,26.0,15.0,0.0,0.4,0.4888888888888889,45.0,133.0,0.0,0.0,0.3870967741935484,31.0,13.0,0.0,0.3333333333333333,0.4074074074074074,27.0,2.0,0.0
10210,33.0,2003-06-11,118,1.0,2.0,1.0,1.0,1.0,0.5384615384615384,26.0,15.0,0.0,0.4,0.4888888888888889,45.0,133.0,0.0,0.0,0.3870967741935484,31.0,13.0,0.0,0.3333333333333333,0.4074074074074074,27.0,92.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0
10202,33.0,2003-06-10,118,1.0,2.0,15.0,0.0,0.4,0.4888888888888889,45.0,133.0,0.0,0.0,0.3870967741935484,31.0,13.0,0.0,0.3333333333333333,0.4074074074074074,27.0,92.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
10029,31.0,2003-05-26,119,1.0,0.0,133.0,0.0,0.0,0.3870967741935484,31.0,13.0,0.0,0.3333333333333333,0.4074074074074074,27.0,92.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.0,0.3870967741935484,31.0,0.0,0.0
8958,6.0,2003-01-13,98,1.0,3.0,13.0,0.0,0.3333333333333333,0.4074074074074074,27.0,92.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.0,0.3870967741935484,31.0,0.0,1.0,0.6,0.5094339622641509,53.0,0.0,0.0
8819,2.0,2002-12-31,107,1.0,3.0,92.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.0,0.3870967741935484,31.0,0.0,1.0,0.6,0.5094339622641509,53.0,49.0,0.0,0.3333333333333333,0.4827586206896552,29.0,0.0,0.0
8478,58.0,2002-09-30,114,1.0,3.0,21.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.0,0.3870967741935484,31.0,0.0,1.0,0.6,0.5094339622641509,53.0,49.0,0.0,0.3333333333333333,0.4827586206896552,29.0,28.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
8275,52.0,2002-09-09,117,1.0,0.0,14.0,0.0,0.0,0.3870967741935484,31.0,0.0,1.0,0.6,0.5094339622641509,53.0,49.0,0.0,0.3333333333333333,0.4827586206896552,29.0,28.0,0.0,0.0,0.4090909090909091,22.0,329.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
