,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
11262,56.0,2003-09-26,75,1.0,3.0,2.0,1.0,1.0,0.56,25.0,2.0,1.0,1.0,0.631578947368421,19.0,12.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.4,0.4791666666666667,48.0,29.0,0.0,0.0,0.3333333333333333,18.0,2.0,0.0
11254,56.0,2003-09-24,75,1.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,12.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.4,0.4791666666666667,48.0,29.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0
11237,56.0,2003-09-22,75,1.0,3.0,12.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.4,0.4791666666666667,48.0,29.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.5384615384615384,26.0,0.0,1.0
11128,52.0,2003-09-10,77,1.0,0.0,14.0,0.0,0.4,0.4791666666666667,48.0,29.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,0.0
11046,51.0,2003-08-27,77,1.0,3.0,29.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
10757,46.0,2003-07-29,77,1.0,0.0,4.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
10714,44.0,2003-07-25,86,1.0,0.0,2.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.4090909090909091,22.0,42.0,0.0,0.0,0.3076923076923077,26.0,2.0,0.0
10705,44.0,2003-07-23,86,1.0,0.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.4090909090909091,22.0,42.0,0.0,0.0,0.3076923076923077,26.0,22.0,0.0,0.0,0.44,25.0,1.0,1.0
10700,44.0,2003-07-22,86,1.0,0.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.4090909090909091,22.0,42.0,0.0,0.0,0.3076923076923077,26.0,22.0,0.0,0.0,0.44,25.0,7.0,0.0,0.3333333333333333,0.47058823529411764,34.0,0.0,1.0
10563,41.0,2003-07-15,88,1.0,0.0,7.0,0.0,0.0,0.4090909090909091,22.0,42.0,0.0,0.0,0.3076923076923077,26.0,22.0,0.0,0.0,0.44,25.0,7.0,0.0,0.3333333333333333,0.47058823529411764,34.0,7.0,0.0,0.0,0.35,20.0,0.0,0.0
10433,37.0,2003-07-08,79,1.0,0.0,42.0,0.0,0.0,0.3076923076923077,26.0,22.0,0.0,0.0,0.44,25.0,7.0,0.0,0.3333333333333333,0.47058823529411764,34.0,7.0,0.0,0.0,0.35,20.0,4.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
10059,31.0,2003-05-27,82,1.0,0.0,22.0,0.0,0.0,0.44,25.0,7.0,0.0,0.3333333333333333,0.47058823529411764,34.0,7.0,0.0,0.0,0.35,20.0,4.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,0.0,0.0
9879,28.0,2003-05-05,83,1.0,0.0,7.0,0.0,0.3333333333333333,0.47058823529411764,34.0,7.0,0.0,0.0,0.35,20.0,4.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
9837,27.0,2003-04-28,82,1.0,0.0,7.0,0.0,0.0,0.35,20.0,4.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,2.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,0.0
9717,24.0,2003-04-21,81,1.0,0.0,4.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,2.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.53125,32.0,0.0,0.0
9709,23.0,2003-04-17,94,1.0,0.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,2.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.53125,32.0,40.0,0.0,0.3333333333333333,0.45714285714285713,35.0,2.0,0.0
9696,23.0,2003-04-16,94,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.53125,32.0,40.0,0.0,0.3333333333333333,0.45714285714285713,35.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0
9664,23.0,2003-04-14,94,1.0,0.0,4.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.53125,32.0,40.0,0.0,0.3333333333333333,0.45714285714285713,35.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.56,25.0,0.0,1.0
9613,21.0,2003-04-10,92,1.0,0.0,1.0,1.0,0.6666666666666666,0.53125,32.0,40.0,0.0,0.3333333333333333,0.45714285714285713,35.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.56,25.0,6.0,0.0,0.0,0.4,20.0,1.0,0.0
9607,21.0,2003-04-09,92,1.0,0.0,40.0,0.0,0.3333333333333333,0.45714285714285713,35.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.56,25.0,6.0,0.0,0.0,0.4,20.0,2.0,1.0,0.0,0.4,10.0,0.0,1.0
9334,15.0,2003-02-28,98,0.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.56,25.0,6.0,0.0,0.0,0.4,20.0,2.0,1.0,0.0,0.4,10.0,7.0,0.0,0.3333333333333333,0.5,34.0,2.0,0.0
9332,15.0,2003-02-27,98,0.0,3.0,1.0,1.0,1.0,0.56,25.0,6.0,0.0,0.0,0.4,20.0,2.0,1.0,0.0,0.4,10.0,7.0,0.0,0.3333333333333333,0.5,34.0,113.0,0.0,0.0,0.25,16.0,1.0,1.0
9323,15.0,2003-02-26,98,0.0,3.0,6.0,0.0,0.0,0.4,20.0,2.0,1.0,0.0,0.4,10.0,7.0,0.0,0.3333333333333333,0.5,34.0,113.0,0.0,0.0,0.25,16.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,1.0
9236,12.0,2003-02-20,101,0.0,3.0,2.0,1.0,0.0,0.4,10.0,7.0,0.0,0.3333333333333333,0.5,34.0,113.0,0.0,0.0,0.25,16.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,1.0,0.6666666666666666,0.5588235294117647,34.0,1.0,0.0
9224,12.0,2003-02-18,101,0.0,3.0,7.0,0.0,0.3333333333333333,0.5,34.0,113.0,0.0,0.0,0.25,16.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,1.0,0.6666666666666666,0.5588235294117647,34.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
9124,9.0,2003-02-11,102,0.0,3.0,113.0,0.0,0.0,0.25,16.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,1.0,0.6666666666666666,0.5588235294117647,34.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
8687,64.0,2002-10-21,107,0.0,3.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,1.0,0.6666666666666666,0.5588235294117647,34.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.56,25.0,0.0,0.0
8600,61.0,2002-10-14,120,0.0,3.0,0.0,1.0,0.6666666666666666,0.5588235294117647,34.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.56,25.0,0.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
8588,61.0,2002-10-14,120,0.0,3.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.56,25.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
8515,58.0,2002-09-30,212,1.0,3.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.56,25.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0,1.0,0.8,15.0,5.0,0.0
8514,58.0,2002-09-30,212,1.0,3.0,0.0,1.0,1.0,0.56,25.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0,1.0,0.8,15.0,7.0,0.0,0.0,0.3684210526315789,19.0,4.0,1.0
8510,58.0,2002-09-30,212,1.0,3.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0,1.0,0.8,15.0,7.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.3333333333333333,0.48484848484848486,33.0,3.0,1.0
8506,58.0,2002-09-30,212,1.0,3.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0,1.0,0.8,15.0,7.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.3333333333333333,0.48484848484848486,33.0,14.0,0.0,0.25,0.4166666666666667,36.0,2.0,1.0
8495,58.0,2002-09-30,212,1.0,3.0,0.0,1.0,1.0,0.8,15.0,7.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.3333333333333333,0.48484848484848486,33.0,14.0,0.0,0.25,0.4166666666666667,36.0,7.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0
8479,58.0,2002-09-30,212,1.0,3.0,7.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.3333333333333333,0.48484848484848486,33.0,14.0,0.0,0.25,0.4166666666666667,36.0,7.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
8370,55.0,2002-09-23,210,1.0,3.0,14.0,0.0,0.3333333333333333,0.48484848484848486,33.0,14.0,0.0,0.25,0.4166666666666667,36.0,7.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
8347,54.0,2002-09-09,208,1.0,3.0,14.0,0.0,0.25,0.4166666666666667,36.0,7.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.5652173913043478,23.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
8157,51.0,2002-08-26,208,1.0,3.0,7.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.5652173913043478,23.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.2,15.0,0.0,0.0
8112,50.0,2002-08-19,216,1.0,3.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.5652173913043478,23.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.35,20.0,0.0,0.0
8019,48.0,2002-08-12,232,1.0,3.0,0.0,1.0,1.0,0.5652173913043478,23.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.35,20.0,0.0,1.0,0.0,0.6,5.0,1.0,0.0
8005,48.0,2002-08-12,232,1.0,3.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.35,20.0,0.0,1.0,0.0,0.6,5.0,7.0,0.0,0.3333333333333333,0.46153846153846156,26.0,0.0,1.0
7938,47.0,2002-08-05,227,1.0,3.0,7.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.35,20.0,0.0,1.0,0.0,0.6,5.0,7.0,0.0,0.3333333333333333,0.46153846153846156,26.0,0.0,1.0,0.6666666666666666,0.5384615384615384,26.0,0.0,0.0
7867,46.0,2002-07-29,198,1.0,3.0,14.0,0.0,0.0,0.35,20.0,0.0,1.0,0.0,0.6,5.0,7.0,0.0,0.3333333333333333,0.46153846153846156,26.0,0.0,1.0,0.6666666666666666,0.5384615384615384,26.0,0.0,1.0,0.6666666666666666,0.5,26.0,0.0,0.0
7683,40.0,2002-07-15,177,1.0,0.0,0.0,1.0,0.0,0.6,5.0,7.0,0.0,0.3333333333333333,0.46153846153846156,26.0,0.0,1.0,0.6666666666666666,0.5384615384615384,26.0,0.0,1.0,0.6666666666666666,0.5,26.0,42.0,0.0,0.4,0.46938775510204084,49.0,1.0,0.0
7671,40.0,2002-07-15,177,1.0,0.0,7.0,0.0,0.3333333333333333,0.46153846153846156,26.0,0.0,1.0,0.6666666666666666,0.5384615384615384,26.0,0.0,1.0,0.6666666666666666,0.5,26.0,42.0,0.0,0.4,0.46938775510204084,49.0,21.0,0.0,1.0,0.7272727272727273,11.0,0.0,1.0
7597,37.0,2002-07-08,159,1.0,0.0,0.0,1.0,0.6666666666666666,0.5384615384615384,26.0,0.0,1.0,0.6666666666666666,0.5,26.0,42.0,0.0,0.4,0.46938775510204084,49.0,21.0,0.0,1.0,0.7272727272727273,11.0,7.0,0.0,0.3333333333333333,0.39285714285714285,28.0,2.0,0.0
